,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,"['29.671647', '-94.999981']",2016-12-20 16:30,"2000 Blue Wave 220 Classic. Yamaha 150 Saltwater Series engine. Aluminum McClain trailer. Standard Horizon VHF radio, GARMIN GPSMAP 740s GPS/depth sounder/fish finder. Engine only has 130 hours, water pump just replaced.. Trailer has all new springs and hardware, tires less than a year old. Boat cushions have new covers. Leave contact info for full details.",130,5910631689,29.671647,22,-94.999981,Blue Wave,"https://maps.google.com/maps/preview/@29.671647,-94.999981,16z",220 Classic,$20000,power, (La Porte),2000 Blue Wave 220 Classic,https://houston.craigslist.org/boa/5910631689.html,2000
1,,"['29.540500', '-95.320800']",2016-12-20 16:28,"17ft boat with in line inboard 4 cyl and outdrive, motor was last started a little over a year ago and at that time had a fresh tune up, title is lost, but will call new owner when it is found. Seats and floor need to be redone, Trailer is in excellent condition, Call or text show contact info",,5922919263,29.540500,17,-95.320800,,"https://maps.google.com/maps/preview/@29.540500,-95.320800,16z",,$450,power, (Pearland),Boat Project with trailer,https://houston.craigslist.org/boa/5922919263.html,
2,like new,"['30.123700', '-95.268600']",2016-12-20 16:25,"16 ft 5' 10""W Alumacraft, 30hp Johnson motor, motor guide 5 speed #39 thrust,10 gallon gas tank, 1 large battery, Hummingbird fish & depth finder Model #153, Garmin GPS #128, 6 fishing rod holders, 10 pole holders, 100 ft rope and anchor, belge pump V-750, fire extinguisher, running lights on boat, night light for fishing. Galvanized tilt trailer, 2 brand new tires and wheels, new bearings and races, new trailer brake lights, guide on's. Boat sticker good until 3-2018. Trailer plates good until 1-2017. Have clear titles: trailer, boat and title for motor. $2800.00 FIRM. CASH ONLY. NO EMAILS.  CALL OR TEXT show contact info No help selling, no trades, no payments, Serious inquires only. Location: Porter, Texas Ad will be removed when boat is sold.",,5923736665,30.123700,16,-95.268600,Alumacraft Craft,"https://maps.google.com/maps/preview/@30.123700,-95.268600,16z",Flat bottom,$2800,power, (Porter),16 Ft Alumacraft boat,https://houston.craigslist.org/boa/5923736665.html,1979
3,like new,,2016-12-20 16:24,"2016 ....16' 5"" ft. Long. Continental  Aluminum  Double Jet Ski Trailer.  Like new...less than 6 months old and used 1 time. 2500lb. Capacity and 2999lb. GVWR.  For any size jet skiis including the large ones. 105"" wide @ outside fenders. 82"" outside frame.  (4) bunks: 80"" long 2"" X 4"" Bunks.  4 1/2"" X 3"" Aluminum I-Beam construction. Trailer just had follow up service. Tires...205/65-10 (20.5 X 8.0 - 10) Radials. New Spare w/ new Galv. bracket and new S/S bearing buddies. Have Doc. of Origination, owners manual, warranty, etc. Paper work...Tags good till 05/17 Serious Inquires Only! $1495 Cash Only. Just Calls, no texting... show contact info Thank You",,5904052346,,16,,Continental,,AWC25E-2500,$1495,power, (Houston Area),2016 Continental  Aluminum (Wide) Double Jet Ski Trailer *Like New*,https://houston.craigslist.org/boa/5904052346.html,2016
4,excellent,,2016-12-20 16:22,"2002  31ft.  Nextrail Aluminum Tri-Axle Boat Trailer with New Tires & Brakes. In Excellent to close to like new condition.  8500lb. Capacity. For a boat 25' to 29' ft. long with a 8' to 9' 6"" ft. Beam. 29' 9"" hitch to end of frame and 31 foot w/ 15"" Aft bunk overhang.  101"" wide @ outside fenders. 79"" outside frame. 80"" inside fenders. Aft bunks: 14' X 10"" X 3.5"".  Fwd. bunks: 6' long (2 X 6 's). Trailer just serviced last two weeks with many new items as follows: All (7) Brand New Radial Tires. All new galvanized hubs, bearings and S/S bearing buddies. New axle springs with all new S/S hardware. All new aluminum bunk L-brackets. New fwd galv. bunk brackets. All New LED lights & reflectors. New alum. boat guides. New Kodiak brakes with new brake lines. All (3) Galv. Axles replaced less than 1 year ago.  New Galv. spare holder and all new bunk carpet.  New 12K safety cables. Stainless Steel fasteners (including SQ. U-Bolts) throughout trailer. Serious Inquires Only!  $3995 Cash Only. Just Calls, no texting... show contact info Thank You",0,5904061439,,31,,Nextrail,,Tri-Axle,$3995,power, (Houston Area),2002  31ft Nextrail Alum. Tri-Axle Boat Trailer w/ New Tires & Brakes,https://houston.craigslist.org/boa/5904061439.html,2002
5,,"['30.056300', '-95.210700']",2016-12-20 16:22,"I have 2 jet skis and a trailer that I need to sell.  I rarely ride them.  I rode them twice last summer so I can't justify keeping them.  They have all been stored in my garage and have never seen salt water.  Below are descriptions of what I have.  You can buy everything for a better deal or you can buy them individually.  If you are interested, give me a call. I'm negotiable.  I have clear titles and registrations for everything.  If you have a Harley-Davidson I may be willing to trade. I'm looking for a newer Softail, Road King, or Heritage Classic.  I will take $5500 for everything, otherwise please see the individual prices below.  For questions please call Danny show contact info Large Trailer:  It's a 2008 Yacht Club.  It's in perfect working order.  I changed the lights last year and the tires are in great shape.  As you can see it holds 2 sit downs and a standup.  The registration is good until March 2017.  $1200 2001 Yamaha GP 1200: It has 125 hours on it. Just got this back from the dealer. They replaced oil lines and went through the entire motor and everything is perfect.  The only thing they didn't do is clean and rebuild the carbs. This will need to be done.  I ran out of money to put into it.  I have the receipt and description of everything they did.  Yes, it does run but needs carb work. Nothing major. The only mod it has is a D-Plate. Registration is good until 2018. $1700 2002 Kawasaki Ultra 150:  This ski ran great the last time I took it out in August.  It has a brand new Blacktip seat. The entire ski is bone stock. It has 126 hours on it. Registration is good until 2018.  $3000 I also have a brand new Hydroturf mat for it that you can have for $50. 1992 Kawasaki 750 SX:  SOLD! I no longer have this ski. Tags: sea doo, waverunner, wave runner, boat, honda, suzuki, KTM, Harley Davidson, Yamaha, dirt bike, wave blaster, waveblaster",,5888304935,30.056300,20,-95.210700,,"https://maps.google.com/maps/preview/@30.056300,-95.210700,16z",,$5500,power, (Kingwood),****2 Jetskis and Trailer****,https://houston.craigslist.org/boa/5888304935.html,
6,excellent,"['26.966700', '-82.359900']",2016-12-20 16:19,"2008 Tidewater 2400 Bay max, 496 hrs, Yamaha F250 4 stroke, trim tabs, jack plate, Marine radio and antenna, am/fm/sirus stereo and 4 speakers T-top, Power pole,Garmin 4212 Chart plotter/fish finder/weather radar, Lowrance Elite TI side sonar/chart plotter/fish finder, Remote spot light, night fishing lights, deck lights, 2 live wells, fish box, ice chests, rod holders, All Coast Guard equipment. complete boat cover front to back. Boat will draft in 12"" of water comes with pole. Complete fishing package water ready, have service receipts and books on equipment. $30,000.00 Cash, Title in Hand",496,5927394344,26.966700,25,-82.359900,Tidewater,"https://maps.google.com/maps/preview/@26.966700,-82.359900,16z",2400 Baymax,$30000,power, (Englwood),2008 Tidewater 2400Baymax with Trailer,https://houston.craigslist.org/boa/5927394344.html,2008
7,good,[],2016-12-20 16:05,I am selling my16foot 1977 ranger 155-A boat with an Evinrude85 and Magnum custom trailer Mfg.Co. motor is strong starts right up I took it fishing on the 18 of December it runs great i am asking $2500 or best offer . thank you,,5927375238,,16,,Evinrude,https://maps.google.com/?q=loc%3A+%32%35%31%34+Old+Richmond+Rosenberg+TX+US,85,$2500,power, (Rosenberg tx),1977 ranger 155-A and trailer,https://houston.craigslist.org/boa/5927375238.html,
8,excellent,,2016-12-20 15:59,"1998 Triton Seaflight 20DV (20ft) Center Console 2001 Yamaha Saltwater Series II OX66 /fuel injected V6 2 Stroke Outboard (196 hrs) Original 80LB Thrust Riptide Trolling Motor On Board Battery Charger for Trolling Motor Perko Switch for Cranking Batteries 76 Gallon Fuel Tank 22 Gallon Live Well Stryker T-Top With Stryker E Box and 9 Rod Rocket Launcher Marine Stereo Fiberglass Swim Platform 1998 Aluminum Majic Tilt Trailer recently replaced winch and winch post, springs,hubs all done by Gulfcoast Trailers Custom Rims and Guideons for easy loading",196,5896445859,,20,,Triton,,Seaflight,$17000,power, (Baytown),Triton Seaflight 20DV,https://houston.craigslist.org/boa/5896445859.html,1998
9,fair,"['30.281000', '-87.581500']",2016-12-20 15:44,13' Boston whaler with a tohatsu 35hp four stroke. Recently had motor serviced. All new fuel system on the motor along w new injectors. The motor runs great. New steering system installed. Also has power tilt and trim. Contact Destin Williams with your best offer. Cell: show contact info,,5927347725,30.281000,13,-87.581500,Boston Whaler,"https://maps.google.com/maps/preview/@30.281000,-87.581500,16z",Destin Williams,$4000,power, (In Orange beach),13' Boston Whaler,https://houston.craigslist.org/boa/5927347725.html,
