,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 14:35,Boat has no leaks  trailer is only couple years old and the motor is a practically brand new ' 14 model but only maybe 6 hrs on it. 4 stroke motor,,5923100764,,14,,,,,$3200,power, (Cameron),14' boat with trailer 15 hp Mercury,https://killeen.craigslist.org/boa/5923100764.html,
1,,,2016-12-20 09:42,Need sold,,5926779423,,10,,,,,$165,human, (Killeen),10 ft kayak sit on,https://killeen.craigslist.org/boa/5926779423.html,
2,excellent,[],2016-12-20 01:51,"1988 Correct Craft Ski Nautique 2001, clean, runs great, low hours, no issues. 351 Ford engine 240hp only 286 original hours. 3rd owner, boat well maintained, never seen salt water, on a private ski lake come take it for a test ride. Wake board tower with racks, speakers and Fusion marine stereo Ipod dock sirius am/fm/usb, Kicker 10"" 300w Marine sub/amp sounds great. Must see to appreciate. Single axle trailer in great shape. Towable boat cover no tears. Interior has no rips or tears.",286,5926492109,,20,,Correct Craft,https://maps.google.com/?q=loc%3A+%36%37%31%34+Spray+Ln+Rosharon+Tx+TX+US,Ski Nautique 2001,$8647,power, (Rosharon Tx),Ski/ Wakeboard boat,https://killeen.craigslist.org/boa/5926492109.html,1988
3,good,"['31.064772', '-97.371268']",2016-12-19 19:53,"Reclining love seat couch. Both seats have leg rests that kick out and each seat can also individually recline to an almost flat position. Good condition, comfortable to sit or sleep on. Moving into smaller place and don't have space for it. New owner would need to be able to pick up. Please reply by email for more information. Thank you.",,5926265258,31.064772,81,-97.371268,,"https://maps.google.com/maps/preview/@31.064772,-97.371268,16z",,$175,human, (Temple),Dual Reclining Love Seat Couch,https://killeen.craigslist.org/boa/5926265258.html,
4,like new,,2016-12-19 09:29,"This boat is an older boat but has been totally restored has new transom and new floor new steering cable and gear box. Has a 60 hp Johnson with new carbs. Motor starts and runs great. Everything on the boat works, lights, trolly motor and depth/fish finder. I just had the top cap repainted with fresh gel coat. I'm asking 2000 obo",2000,5925369250,,16,,Glastron,,Fishing boat,$2000,power, (Morgan's point),71 glastron like new,https://killeen.craigslist.org/boa/5925369250.html,1971
5,,,2016-12-19 09:19,"Cobra tandem kayak, 14'. Great kayak, selling because I rarely use it anymore. Work is going to take me away for a bit so I figured someone should get some use out of it. I will include two paddles, anchor, cart to get it from the parking lot to the water, and a seat.",,5925355929,,14,,,,,$300,human,,Tandem Kayak,https://killeen.craigslist.org/boa/5925355929.html,
6,good,[],2016-12-19 01:40,I have a 1989  Wellcraft Scarab Excel 21 foot in great shape has a stereo system with amplifier and subwoofer the motor 383 stroker motor 430 hp top end rebuild Last Summer the boat and trailer are registered new trailer tires,50,5883573273,,21,,Wellcraft,https://maps.google.com/?q=loc%3A+%33%30%33+s%2E+%32%35th+st%2E+at+Ave+C+Temple+TX+US,Scarab Excel 21,$8500,power, (TEMPLE),89 Scarab Excel,https://killeen.craigslist.org/boa/5883573273.html,1989
7,,"['31.083300', '-97.594100']",2016-12-18 13:28,Ive got a precision turbo 141/4 22pitch 15spline prop great hull shot and speed prop only asking 60 bucks hurry wont last long..,,5918440644,31.083300,2,-97.594100,,"https://maps.google.com/maps/preview/@31.083300,-97.594100,16z",,$60,power,,Stainless Steel Polished Prop,https://killeen.craigslist.org/boa/5918440644.html,
8,excellent,"['31.028600', '-97.611500']",2016-12-18 12:25,2012 Cyprus cay 23 foot pontoon with trailer and 90 hp mercury 4 stoke outbound engine. Has troller electric motor and 14 life vest. Changing area and sound system. 18500 obro. Has less than 500 hours on engine.,90,5924387252,31.028600,23,-97.611500,Mercury,"https://maps.google.com/maps/preview/@31.028600,-97.611500,16z",4 stroke,$18500,power,,2012 Cyprus cay pontoon,https://killeen.craigslist.org/boa/5924387252.html,2011
9,,"['31.072300', '-97.472000']",2016-12-18 08:25,"OMC Shop Manual, good condition. $10.",,5883473113,31.072300,12,-97.472000,,"https://maps.google.com/maps/preview/@31.072300,-97.472000,16z",,$10,power, (Belton),OMC inboard outboard Shop Manual,https://killeen.craigslist.org/boa/5883473113.html,
