,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,,2016-12-20 13:40,5x10:utility trailer all metal asking $195,1000,5927164897,,5,,2016,,n,$195,human, (laredo),5x10 utility trailer,https://laredo.craigslist.org/boa/5927164897.html,2016
1,excellent,"['28.885626', '-96.841959']",2016-12-19 18:48,"2002 Baja 33 Outlaw SST with Air Conditioner Boat has twin Mercruiser 496 HO engines. These are the 8.1 liter fuel injected engines. New engines installed by Jasper marine in 2012 and 2013. They have close to 100 hours on them. Bravo 1 out drives rebuilt in 2013. Boat is very clean and ready to go. All safety equipment up to date. Boat will run 65 mph plus loaded down. Titles in hand for boat and trailer. Serious inquiries only. *Adjustable k planes *Stainless SST 28 pitch props. *Captains call exhaust (quiet mode with a switch) *Latham hydraulic steering *Bolster fold down seats *12 volt ac unit with digital thermostat *Tv with DVD player in cabin. *Two couches with bed in front. *Wet sounds sound system 4-12"" subs, 8-6"" speakers and two tower horns on deck, 4-8"" speakers and 4 wet sounds amps in cabin. *Installed new raw water impellers in 2015 *6 marine batteries installed in 2015 *Garmin with ultra hd freshwater lakes installed in 2015 *underwater led lighting installed. *led lighting on deck and in cabin. *snap-in carpet. *Aluminum triple axle trailer with electric winch and led lights. All new springs, hangers and wheel bearings installed 2016. *Trailer has hydraulic over electric pump and disc brakes on axles.",100,5923290521,28.885626,33,-96.841959,Baja,"https://maps.google.com/maps/preview/@28.885626,-96.841959,16z",33 Outlaw,$55000,power, (Victoria),2002 Baja 33 Outlaw SST,https://laredo.craigslist.org/boa/5923290521.html,2002
2,,,2016-12-17 09:38,"They are in perfect condition (see pics) and we always washed them before covering them and putting them away. The skis were used only in fresh water. They come with a 2006 double aluminum trailer and sea-doo covers. Due to personal financial issues, must sell the skis quickly. More pictures available on request.",,5906428683,,10,,,,,$3000,power,,%%%2 x 05 Jetskis and Trailer Sea DOO%%%,https://laredo.craigslist.org/boa/5906428683.html,
3,,,2016-12-16 18:23,"Mastercraft ski boat and tandem trailer for sale.  New tires, new sound system, freshly tuned up.  Ready to go!  Please contact Juan Carlos at show contact info",,5922398791,,19,,,,,$9850,power, (Laredo),1999 Mastercraft Prostar 190,https://laredo.craigslist.org/boa/5922398791.html,
4,like new,,2016-12-14 21:16,"Amazing 2016 Epic Boat For Sale. This particular boat was a Dealer Demo that was outfitted with every option available. Motor is new 200 Suzuki 4 stroke with 17.5 hours that packs a punch. First oil change has been performed by dealer. I am selling this boat because its to much of a boat for me. I have used it only 4 times on deep sea fishing trips, and 3 times on a lake.  Includes a dual axle McClain trailer. -Atlas Hydraulic Jack Plate -Uflex hydraulic steering -Bow and Stern Swivel Casting Seats -Bluetooth stereo w/ 4 speakers -Premium Lean Post w/ removable back rest -Trim Tabs -Battery switch A/B cranking -Digital Smart battery tender Canvas T-top w/ 3 spreader lights 6 interior lights & switch panel -infusion exterior window gills -anchor storage -Bait well w/led light 4 storage lockable boxes -Insulated fish box front deck -high speed live well pick up -lockable rod storage boxes -cushioned seat in front console -trolling motor mount pad ready -stainless steel pull up cleats, rubrail, vertical rod holders, drink holders -tournament live well w/ led light 2 jump seats rear Serious inquiries only. Boat is fishing ready and is a bargain for what its value is. Please contact me @ (956) Seven40-one983. Thank you",175,5919907617,,22,,EPIC,,22SC,$42500,power," (Laredo, Tx)",2016 EPIC 22SC For Sale,https://laredo.craigslist.org/boa/5919907617.html,2016
5,,"['29.211700', '-98.855200']",2016-12-13 12:43,"Asking $17,500k obo 50.4 hrs on motor. New trailer bunks and hubbs replaced Oct 15. Tires are 2nd set and in good shape, spare never used. Upgraded charger from 2 bank to 3 bank. Gear: net, paddle, throw float, life jackets, anchor, and few more things if wanted, so fish ready. Have original heavy duty shipping cover and after market ""dust"" cover, not for hauling. see pics and attached docs for details. length 18'8"" Priced to sell",50,5917856683,29.211700,18,-98.855200,NITRO,"https://maps.google.com/maps/preview/@29.211700,-98.855200,16z",,$17500,power, (Natalia),2010 NITRO Z-7 W/150 Optimax & trailer,https://laredo.craigslist.org/boa/5917856683.html,2010
6,,,2016-12-08 15:35,I NEED TO BUY! 9 KAYAKS ! 5 CANOES! 5 PADDLE BOARDS 10 SURF BOARDS! AND ANYTHING TO USE ON THE WATER! PLEASE E-MAIL ME INFO IM HERE IN LAREDO BUT IM WILLING TO TRAVEL IF IT'S WORTH WHILE!  RESON IM NOT POSTING MY PH NUMBER IS I GET CALLS LATE AT NIGHT,,5911293502,,12,,,,,,human,,wanted KAYAKS SURF BOARDS CANOES SUP.S ECT,https://laredo.craigslist.org/boa/5911293502.html,
7,,,2016-12-03 16:12,En buenas condiciones motor 90hp stickers al corriente carpeta nueva más información show contact info,,5904165089,,18,,,,,$5200,power, (Laredo tx),***Nitro 98***omo,https://laredo.craigslist.org/boa/5904165089.html,
8,,,2016-11-30 10:57,"300 hp engine, bimini top, bridge enclosure, GPS, dvd player, stereo, microwave oven, range, snap in carpet, stainless props, remote spotlight, vacuum flush head with holding tank and pump out... This boat is beautiful and does come with a Brand new 2014 Aluminum Trailer.... This is a freshwater boat!",,5892736429,,25,,,,,$12700,power,,Sea Ray 240 Sundancer (Fresh Water),https://laredo.craigslist.org/bod/5892736429.html,
9,,"['27.147145', '-99.426270']",2016-11-29 23:34,"1998 Stratos Bass Boat and Trailer 17 1/2 Footer Evenrude 150 Trolling Motor Plate 22 mo. Left Life Jackets Anchor New Axle Boat Cover New Trailer tires And more ..... Asking Price : $5,500 firm ""SERIOUS INQUIRIES ONLY"" Excellent condition / Very well taken care of Bass Boat . Call or text @ resonable hours show contact info Boat resides in San Ygnacio Tx **Will not deliver buyer pick-up Only ** Thank You",,5877629696,27.147145,18,-99.426270,,"https://maps.google.com/maps/preview/@27.147145,-99.426270,16z",,$4950,power," (SanYgnacio,Tx)",1998 Stratos Bass Boat & Trailer,https://laredo.craigslist.org/boa/5877629696.html,
