,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 14:24,Boat n trailer only.  No motor.  Have title. Calls only ay 956-219-ten74,,5913717929,,18,,,,,$700,power, (Edinburg),18ft boat with trailer,https://mcallen.craigslist.org/boa/5913717929.html,
1,excellent,"['26.167100', '-98.052900']",2016-12-20 14:02,"****JUST REDUCED**** Beautiful boat that has been re-done and refreshed. only 30 hours on the rebuilt engine. New Coastline Trailer New Controls New Water pump and Thermostat New wiring and hoses New Optima Battery New Steering Wheel New Gauges New Upholstery New Lights Yeti 110 Ice chest Lowrance Elite 7 Chirp Micro Power pole with remote Tilt/trim, CMC jack plate and customer compression plate It catches fish!!! Its a great boat that runs really skinny and dry. I'm open to trading for something interesting or maybe owner financing with big down payment.",30,5906525554,26.167100,14,-98.052900,Freedom,"https://maps.google.com/maps/preview/@26.167100,-98.052900,16z",Chiquita,$10500,power, (Donna),2005 Chiquita with 2009 Yamaha 70HP,https://mcallen.craigslist.org/boa/5906525554.html,2005
2,,,2016-12-20 09:58,"Up for sale 5 New Women Fishing Shirts or just for a outside. Size XXL. Brand: Boater's world. $10.00 each one. Se venden 5 Camisas para mujer, estilo para pescar o solo para estar afuera. Size XXL. $10.00 cada una. Call or text.",,5917397201,,8,,,,,$10,human, (mcallen),New Women fishing  Shirt XXL,https://mcallen.craigslist.org/boa/5917397201.html,
3,,"['26.255600', '-98.230300']",2016-12-20 09:57,"I have one Anchor for boat 15lb , . good condition, . Tengo una ancla para bote que pesa 15lb , , esta en buenas conditiones, . Interesados llamar (956) 624 siete cinco uno cero. Please call: (956) 624 seven five one zero. Tanks.",,5920253177,26.255600,1,-98.230300,,"https://maps.google.com/maps/preview/@26.255600,-98.230300,16z",,$12,human, (McAllen),Anchor/ancla para bote 15lb,https://mcallen.craigslist.org/boa/5920253177.html,
4,like new,,2016-12-20 09:38,Red Ascend Kayak without paddles. Only used once at south padre island. Like new condition.. email or call for more information.,,5926773937,,10,,,,,$350,human,,Red Kayak,https://mcallen.craigslist.org/boa/5926773937.html,
5,,,2016-12-20 09:05,A 150 johnson motor with a 4 blade prop Excellent conditions strong motor running like new very well taken care boat have title for boat trailer and motor if Intrested call show contact info,,5926726067,,19,,,,,$8500,power, (palmview),Blue wave 19ft 2004,https://mcallen.craigslist.org/boa/5926726067.html,
6,new,,2016-12-20 07:17,"FIBERGLASS REPAIR,CRACKS,FLOOR, COLOR WEBBING, GEL COAT, AND MORE FIBRA DE VIDRIO,RASPADURAS,FISURAS,REPARACION DE PISOS,PINTURA,ALFOMBRAS Y MAS JORGE show contact info",,5911999017,,12,,,,,,power,,Boat Services,https://mcallen.craigslist.org/boa/5911999017.html,
7,,,2016-12-20 01:29,"Like new less than 2 hours used title in hand, in video below 12 foot Jon boat planes with 2 ppl and gear $800 obo 956534O583 https://youtu.be/XJBdwrFZTfU",,5902347006,,25,,,,,$800,power, (Brownsville),2014 Mercury 2.5 HP like new *2 hours*,https://mcallen.craigslist.org/boa/5902347006.html,
8,excellent,"['26.215400', '-98.235900']",2016-12-19 23:22,"Residential Lot in McAllen. Close to Downtown, Close to everything. In Very nice neighborhood. Culdesac, Newer subdivision, Excellent location, no restrictions. Among Beautiful Modern Houses. Really Nice Subdivision, build your dream Home where you deserve. In the Heart of McAllen. Owner Finance. 500 N. 9TH. ST. LOT, RESIDENTIAL LOT. You would need to come and see for yourself. 20% Downpayment. Interest 10%. $49,500.00 Thank You. You are welcome to come and Take a Good Look at the place. Thank You.",,5915628524,26.215400,50,-98.235900,,"https://maps.google.com/maps/preview/@26.215400,-98.235900,16z",Residential,$49500,power, (McAllen),"Financiado por dueno. En McAllen, Solar..Residencial lot.",https://mcallen.craigslist.org/boa/5915628524.html,
9,,,2016-12-19 22:54,"Up for sale 5 New Women Fishing Shirts or just for a outside. Size XXL. Brand: Boater's world. $10.00 each one. Se venden 5 Camisas para mujer, estilo para pescar o solo para estar afuera. Size XXL. $10.00 cada una. Call or text.",,5921838014,,8,,,,,$10,human, (mcallen),New Women fishing  Shirt XXL,https://mcallen.craigslist.org/boa/5921838014.html,
