,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,"['32.383600', '-94.865300']",2016-12-18 12:57,"2016 Supra SA400 by Skiers Choice Boat has standard 400 Raptor motor with upgraded torque prop (Acme 2775) Boat is Gun Metal flake with Pro Red accents and interior is white with Auster and pro red accents. Fully loaded!!!!! Backup camera, steering wheel controls, rear transom remote, Full JL&Exile stereo system, Swell Surf System, Bimini, Rear Surf storage, and snap in carpet. #3200 of stock ballast with rider presets. Fully automated system and backup toggles Full towable cover Standard Boatmate trailer with tiedown straps in rear PMT clamp racks and Mirror Mastercraft Malibu Nautique G23 Call with any questions or concerns 903-985-453 zero",135,5891066589,32.383600,22,-94.865300,Skiers Choice Supra,"https://maps.google.com/maps/preview/@32.383600,-94.865300,16z",SA400,$87250,power, (Kilgore Texas),2016 Supra SA400,https://odessa.craigslist.org/boa/5891066589.html,2016
1,,,2016-12-17 19:31,"RXT has 35 hours and GTX has 31 hours.  I am also including Sea Doo covers for both, four life vests, Tatoo wakeboard, extra keys, including instructional keys, and all manuals. These skis have never been tied to docks, so they do not have scratches. We only put 6 hours on both last year and need the storage space in my garage.",,5920986737,,10,,,,,$3000,power,,Mint Condition RXT GTX Sea Doos and Trailer from 2005,https://odessa.craigslist.org/boa/5920986737.html,
2,excellent,,2016-12-17 08:16,"Check this out, a 1988 Bayliner 17 foot boat with a new power trim, all carbs cleaned and reset, new water pump, and timing reset and checked.  All of this comes to 2500.00 parts and labor.  No soft spots, new bimini top, new bearing and tires like new. Selling this due to back problems.  This boat has clean and clear titles and is lake ready .  You can here the engine run at my place.  Seats are weather cracked is the only thing wrong with this boat. If interested, please email. Thanks",,5922861306,,17,,Bayliner,,Siera,$4500,power," (Sweetwater, Texas)",1988 Bayliner with a 1988 85hp Force,https://odessa.craigslist.org/boa/5922861306.html,1988
3,fair,"['31.871157', '-102.302176']",2016-12-16 09:42,2- seadoo water craft 2003  I have had this set for about 4 years and have used them a lot up until this year and did not use them any this year last time they were in a lake was sept of 2015 cash value of item is $5500.00  trade value is somewhere around $6000.00 I have ran them both several times after that but only at my shop just to keep the gas from going bad and make shure they were still running I have them set up to run out of the water so I can test them for any one that wants to see them run they come with a very good trailer with tool box with lock and key and new tires also a new spare they had new seats put on about a year ago and new battery's about three months ago on both I might trade for motor cycle guns  or truck or enclosed trailer please call  1-432-661-04 six two any time I work every day and can not text very well thanks,,5921662206,31.871157,20,-102.302176,Seadoo,"https://maps.google.com/maps/preview/@31.871157,-102.302176,16z",,$5500,power, (Odessa texas),2003 seadoo water craft,https://odessa.craigslist.org/boa/5921662206.html,2003
4,excellent,[],2016-12-15 12:13,"45 x 50 Covered and Fenced RV Lot at Lazy D RV Park, Space 11.  Includes with it a 12 x 12 Bunkhouse that sleeps 4 and a toddler bed, Mobil Refrigerated AC, and a dressing vanity.  Also on site a storage house, Outdoor kitchen sink with disposal, Refrigerator, BBQ Grill, Outdoor Fire Pit, Outdoor table and chairs, 2 Recliners, A deck and enclosed pet kennel.  50 amp RV hook up Outside sights, Sewer and Water hooks ups",0,5890192638,,50,,,https://maps.google.com/?q=loc%3A+%32%34%37%38+FM+%33%35%31%39+Space+%31%31+Justiceburg+TX+US,,$25000,human," (Justiceburg, Tx)",45 x 50 RV Lot Lake Allen Henry,https://odessa.craigslist.org/boa/5890192638.html,
5,good,"['32.278700', '-101.457800']",2016-12-14 18:15,Saleing my bass boat 17 foot 90 horse trolling motor new seats two live wells new trailer lights after market tilt and trim new battery's runs good,,5919737859,32.278700,17,-101.457800,,"https://maps.google.com/maps/preview/@32.278700,-101.457800,16z",,$4500,power, (Big spring),bass boat,https://odessa.craigslist.org/boa/5919737859.html,
6,good,[],2016-12-14 15:29,"1992  VIP Vision nice boat all new interior new carpet new sound system with sub and amps all good equipment v-6 gm engine with mercury in board  out board with new stainless prop  has well maintained good battery has custom towable cover  monster wake board  tower with new speakers has new carpet on trailer bunks  two spare tires both are new and the tires on the trailer have only around 1000 miles had it to the lake 3 times and it runs perfect sound system is realy good this boat is to small for my needs I have done all the work my self and it looks very good just need a Bigger boat might trade for bigger boat , guns ,3/4 ton trucks 1ton  trucks deisel preferably welding machines please call no text thanks",,5897487421,,19,,VIP,https://maps.google.com/?q=loc%3A+%36%35%30%31+trunk+Odessa+TX+US,Vision,$5500,power, (Odessa texas),VIP 1992,https://odessa.craigslist.org/boa/5897487421.html,1992
7,,,2016-12-14 11:30,"I have an old Evinrude outboard motor. Not sure what year or model , but from what i can tell from photographs,its older than 1960s.. Its got a stand and in good shape, but a part of the shell may or may not be missing. I know that some folks are into refurbishing these things, so maybe someone out there would be interested. If so, please contact me and i will provide photos, and you could make an offer. Thank You",,5919144191,,01,,Evinrude,,,$1,power, (midland),Vintage Evinrude outboard motor,https://odessa.craigslist.org/boa/5919144191.html,
8,,"['32.278700', '-101.457800']",2016-12-13 14:43,"We have many phones to choose from edge s7 galaxy, only 540 free shipping http://toplinephones.simdif.com",,5905688592,32.278700,44,-101.457800,,"https://maps.google.com/maps/preview/@32.278700,-101.457800,16z",,$540,power,,Galaxy s 7 edge,https://odessa.craigslist.org/boa/5905688592.html,
9,,"['32.019900', '-102.147600']",2016-12-12 14:38,"2008 Kawasaki jet ski Ultra LX 250 - 3 seater.  Runs good.  Includes a 2007 Roadmaster trailer.  Located at Possum Kingdom Lake.  $5,000  Text or call 432-413-11 six four",,5882590757,32.019900,11,-102.147600,Kawasaki,"https://maps.google.com/maps/preview/@32.019900,-102.147600,16z",,$5000,power, (Midland),2008 Kawasaki Jet Ski,https://odessa.craigslist.org/boa/5882590757.html,2008
