,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,,2016-12-19 14:43,For Sale: 1990 Tracker Nitro Bass Boat 18 ft 10 in long with Johnson 150 Trolly Motor and trailer (BOAT AND MOTOR TITLE IN HAND) Needs starter and trailer needs trailer lights! Boat is in good condition with no leaks! Don't have time to invest on boat at this time! Serious inquiries only! Call or text show contact info leave a voicemail if no answer!,,5925885264,,18,,,,,$3000,power," (San Angelo, Texas)",1990 Tracker Nitro Bass Boat!,https://sanangelo.craigslist.org/boa/5925885264.html,
1,,"['31.416700', '-99.717100']",2016-12-19 12:13,"Old 1965 or so Boat with 2 newer motors, one is a 50hp Mercury and the other is a 9.9hp Mercury, Both run, Has tilt and trim, Titles are lost! Boat, Motors &Trailer for $500 OBO. Any Questions just ask. Thanks",,5925644009,31.416700,15,-99.717100,,"https://maps.google.com/maps/preview/@31.416700,-99.717100,16z",,$500,power, (Millersview),Old Boat,https://sanangelo.craigslist.org/boa/5925644009.html,
2,good,"['31.775400', '-98.991500']",2016-12-18 12:17,"Up for sell is my 96' Bass Cat Eyra. This boat is my first love, but it is time for us to part ways. As of this year it has a new impeller, spark plugs, oil cap sensor, fuel filters, live-well pump, primer bulb, thermostats, tilt/trim relays, etc. Also, it was fully serviced (lower-unit oil, compression check, spark plugs, etc.) this November at NB's Boat Repair outside of Brownwood, Texas. Compression was good on all cylinders and I will obtain the exact reading from my mechanic along with an update on the current hours. This Cat features the following: -	18' Hull (black and yellow w/red accent striping) -	Red carpet (Original) -	Single Console w/Digital Dash -	Gen1 Lowrance HDS-5 at bow and Humminbird 898 SI/DI Combo at dash (both mounted on heavy-duty RAM mounts) -	175 EFI Mercury w/Tempest SS Prop and 10"" manual jack plate -	Hot-Foot Throttle -	SeaStar steering -	Minn Kota Onboard 3-Bank Charger (New) -	Two Interstate Batteries (Trolling) and one EverStart (Cranking) -	65lb Thrust Motor Guide Beast Trolling Motor w/Recessed Foot Pedal and extra prop -	Two matching bicycle and folding seats -	Matching tandem-axle Bass Cat trailer with upgraded jack, winch and Boat Buckle ratchet tie-downs -	Spare tire w/matching Bass Cat wheel -	Will include a variety of oils, greases, spare parts, etc. Hate to sell it, but I've only been able to take this boat out a hand full of times in the past year and a half. My original plan was to keep it as a backup, but I now know that it is impossible for me to fully utilize and care for two boats. It is time for someone else to enjoy this boat just as I have. It is fast, easily maneuvered, and way ahead of its time. No trades, no owner financing, and I am NOT desperate to sell. Cash only. Title along with all original paperwork in hand. If you have any questions, feel free to call or text me at (325) six42-six7three1. Thanks, AJ",,5910432761,31.775400,18,-98.991500,Bass Cat,"https://maps.google.com/maps/preview/@31.775400,-98.991500,16z",Eyra,$9800,power," (Brownwood, TX)",96' Bass Cat Eyra,https://sanangelo.craigslist.org/boa/5910432761.html,1996
3,,,2016-12-17 17:46,"T-H Marine ""Hot Foot"" with 16"" cable.  OMC and Mercury.  $75.00",,5923648732,,0,,,,,$75,human,,HOT FOOT,https://sanangelo.craigslist.org/boa/5923648732.html,
4,,,2016-12-17 10:17,"Well maintained. Used in fresh water only. Flushed engine, washed, and greased all fittings after each use. Adult owned and only operated by owners. There are no major scratches or no damages on these watercrafts. Trailer is in excellent working condition.",,5919649110,,10,,,,,$3000,power,,2005 Sea Doo RXT & GTX Like New JetSkis with Trailer,https://sanangelo.craigslist.org/boa/5919649110.html,
5,,,2016-12-16 17:53,2005 Sea Doo RXT & GTX watercrafts with very low hours. RXT has 35 hours and GTX has 31 hours.  They are in perfect condition (see pics) and we always washed them before covering them and putting them away. The skis were used only in fresh water.,,5922291640,,10,,,,,$3000,power,,✥✥&*&✥✥2 x 05 Jetskis and Trailer Sea DOO,https://sanangelo.craigslist.org/boa/5922291640.html,
6,good,,2016-12-16 12:54,1990 Ski Centurian Bowrider Ski Boat Inboard Gasoline Clear Title Needs Points Replaced Needs upholstery replaced,,5921966696,,20,,Ski Centurian,,Bowrider,$2500,power,,1990 Ski Centurian Boat,https://sanangelo.craigslist.org/boa/5921966696.html,1990
7,,"['31.612100', '-100.182300']",2016-12-16 08:31,"2007 Lowe Fishing Machine 16.5', Mercury 75hp. Efi 4 stroke, Solas SS Prop, Minn Kota I-pilot gps 24 volt trolling motor, 2 nice fishfinders, canopy, rod holders, trailer has hide away tounge, this is a very nice boat that is rigged out very well with goodies. Hate to part with it, $8500 Cash. 325-895-55nine3",,5914720327,31.612100,16,-100.182300,,"https://maps.google.com/maps/preview/@31.612100,-100.182300,16z",,$8500,power," (Miles, Tx.)",Lowe Fishing Machine Deep V,https://sanangelo.craigslist.org/boa/5914720327.html,
8,,,2016-12-14 11:46,"Looking to take over payments or pay you on a decent boat...will need to be left in your name for at least a year( More like 8 months now)..as I have ( Id theft) derogatory info on credit file which the people will get it off but takes a little while..late 50s Gentleman.. homeowner and land owner...center console ,pontoon ,bass, no ski boats",,5893274909,,24,,,,,$11111,power, (Midland),Needing out from under your boat payment?,https://sanangelo.craigslist.org/boa/5893274909.html,
9,,,2016-12-14 11:46,"Looking to take over payments or pay you on a decent boat...will need to be left in your name for at least a year( More like 8 months now)..as I have ( Id theft) derogatory info on credit file which the people will get it off but takes a little while..late 50s Gentleman.. homeowner and land owner...center console ,pontoon ,bass, no ski boats",,5893275650,,24,,,,,$11111,power, (Midland),Needing out from under your boat payment?,https://sanangelo.craigslist.org/boa/5893275650.html,
