,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 16:15,"I repair out boards & in boards and do all maintenance. I rebuild carbs, replace water pumps, tune ups, oil changes, electrical, etc. Most jobs done the same day. Quality work and reasonable prices. I have 30 years in the business Call or txt",,5927388513,,01,,,,,,power,,Boat Maintenance,https://sanantonio.craigslist.org/boa/5927388513.html,
1,excellent,"['29.561300', '-97.962800']",2016-12-20 16:14,2001 air nautique for sale. Great boat with low hours and amazing condition inside and out. This boat has been serviced on time every year since time of purchase. Always stored indoors on trailer. Engine has fresh annual service and has been winterized. The interior is spotless no stains or damage to Upholstry runs great call to schedule a test drive. show contact info,,5927387652,29.561300,22,-97.962800,Correct craft,"https://maps.google.com/maps/preview/@29.561300,-97.962800,16z",Air nautique,$25500,human, (Mcqueeney tx),2001 air nautique,https://sanantonio.craigslist.org/boa/5927387652.html,2001
2,,"['28.664106', '-99.165905']",2016-12-20 16:13,Bass Tracker. Runs great. Just no time to use it.,12,5927386419,28.664106,0,-99.165905,,"https://maps.google.com/maps/preview/@28.664106,-99.165905,16z",,$11500,power, (Dilley),2013 Bass tracker 16 foot pro110,https://sanantonio.craigslist.org/boa/5927386419.html,
3,like new,,2016-12-20 15:54,"I have 2016 Spark HO with 2 1/2 years free maintenance left no warranty and comes with SeaDoo Trailer. Runs great jumps me 230lbs outta the water!!! I paid $9800 for all asking $8000 or will trade for a truck compatible price. I can meet at Medina lake to prove no issues. MSO title free and clear and trailer title free and clear. If you can read this ad it's still for sale, I will not respond to ""is this still for sale"" No shipping local only no checks of any kind serious inquiries only 2 one zero 4 three nine 5 3 eight 4",13,5919139660,,11,,SeaDoo,,Spark HO,$8000,power, (SA),2016 SeaDoo Spark 90HO,https://sanantonio.craigslist.org/boa/5919139660.html,2016
4,,,2016-12-20 15:28,"I repair out boards & in boards and do all maintenance. I rebuild carbs, replace water pumps, tune ups, oil changes, electrical, etc. Most jobs done the same day. Quality work and reasonable prices. I have 30 years in the business Call or txt",,5927324537,,1,,,,,,power,,Boat Mechanic,https://sanantonio.craigslist.org/boa/5927324537.html,
5,,,2016-12-20 15:27,"I repair out boards & in boards and do all maintenance. I rebuild carbs, replace water pumps, tune ups, oil changes, electrical, etc. Most jobs done the same day. Quality work and reasonable prices. I have 30 years in the business Call or txt",,5927323619,,1,,,,,,power,,Boat Mechanic,https://sanantonio.craigslist.org/boa/5927323619.html,
6,,,2016-12-20 15:27,"I repair out boards & in boards and do all maintenance. I rebuild carbs, replace water pumps, tune ups, oil changes, electrical, etc. Most jobs done the same day. Quality work and reasonable prices. I have 30 years in the business Call or txt",,5927323275,,1,,,,,,power,,Boat Mechanic,https://sanantonio.craigslist.org/boa/5927323275.html,
7,,,2016-12-20 15:26,"I repair out boards & in boards and do all maintenance. I rebuild carbs, replace water pumps, tune ups, oil changes, electrical, etc. Most jobs done the same day. Quality work and reasonable prices. I have 30 years in the business Call or txt",,5927322950,,1,,,,,,power,,Boat Mechanic,https://sanantonio.craigslist.org/boa/5927322950.html,
8,,,2016-12-20 15:26,"I repair out boards & in boards and do all maintenance. I rebuild carbs, replace water pumps, tune ups, oil changes, electrical, etc. Most jobs done the same day. Quality work and reasonable prices. I have 30 years in the business Call or txt",,5927321894,,1,,,,,,power,,Boat Mechanic,https://sanantonio.craigslist.org/boa/5927321894.html,
9,,,2016-12-20 15:17,"I repair out boards & in boards and do all maintenance. I rebuild carbs, replace water pumps, tune ups, oil changes, electrical, etc. Most jobs done the same day. Quality work and reasonable prices. I have 30 years in the business Call or txt",,5927308939,,1,,,,,,power,,Boat Mechanic,https://sanantonio.craigslist.org/boa/5927308939.html,
