,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 12:37,"Awesome canoe!  In great shape.  No leaks.  36lb minn Kota trolling motor.  2 oars.  Always kept in covered storage.  Just dirty, hasn't been used in over a year, time to clear out some space. may trade for man stuff... tools, tires/wheels, rims, hunting gear, boom stuff.",,5915044179,,15,,Coleman,,,$350,human, (San marcos),15ft Coleman canoe with trolling motor for sale or trade,https://sanmarcos.craigslist.org/boa/5915044179.html,
1,,"['29.875400', '-97.940400']",2016-12-20 09:09,Selling our large 1986 Supra wakeboard boat. Has Chevrolet Big Block engine that is solid. We started a business a year ago and no longer have time to drive it. The interior needs redone and the trailer needs work/floor has soft spots Clean Texas title. no trades-cash only show contact info call or text only,,5914759037,29.875400,27,-97.940400,,"https://maps.google.com/maps/preview/@29.875400,-97.940400,16z",,$5000,power, (san marcos why 123),Large Supra WakeBoard Boat-Clean title,https://sanmarcos.craigslist.org/boa/5914759037.html,
2,,,2016-12-19 08:34,"RANGER R81 SPORT BASS BOAT for SALE!! Perfect shape, low hours, one owner. Has a Mercury 150 EFI outboard. 3 live wells, Hummingbird fish finder, and custom trailer.  This boat and trailer is in top condition. Call show contact info with any questions.",,5925295945,,21,,RANGER R81,,,$9200,power, (BEST OFFER),RANGER R81 SPORT BASS BOAT,https://sanmarcos.craigslist.org/boa/5925295945.html,
3,,"['29.875400', '-97.940400']",2016-12-18 18:36,I have a glastron boat with 75hp evinrufe outboard. Boat would make a great resstoration project. Outboard needs new timing belt was running before parking. Trailer in need of 2 tires in order to move boat had 13 in rims but tires are gone will need to put in another trailet or change tires. Great project boat. Need gone asap dont have time to work on it and will be moving soon 200 obo,,5915054705,29.875400,15,-97.940400,,"https://maps.google.com/maps/preview/@29.875400,-97.940400,16z",,$200,power, (San marcos),Glastron boat,https://sanmarcos.craigslist.org/boa/5915054705.html,
4,,"['29.722900', '-98.074200']",2016-12-18 15:08,"2015 SEADOO GTI 130 (3 Seater) Rotax Engine Like New- 11 hours Very fast and handles great. Jet Ski is equipped with factory Intelligence Braking Sytem. This is a must have system. Provides reverse which is great and safer when docking, loading, and unloading. Comes with two keys, a learner key and performance key. Galvanized EZ Loader trailer which is in brand new condition as well. Also, comes with factory SeaDoo cover.",11,5924599256,29.722900,10,-98.074200,,"https://maps.google.com/maps/preview/@29.722900,-98.074200,16z",,$9750,power,,2015 SEADOO GTI 130 (3 Seater),https://sanmarcos.craigslist.org/boa/5924599256.html,
5,excellent,"['29.561300', '-97.962800']",2016-12-18 14:37,"2005 Suntracker party barge, 50hp oil injected mercury. All new furniture less than 1 year old! Trail star trailer, Infinity sound system, 30 gallon fuel tank, built in fold down ladder. Sun deck and Bimini top with alot of storage!! Possibly willing to trade for nice travel trailer. Contact Marc @ 830-five five 6-37 nine nine or Laci @ 830- two two 1-00 nine 0. Serious inquiries only.",,5924525598,29.561300,18,-97.962800,Suntracker,"https://maps.google.com/maps/preview/@29.561300,-97.962800,16z",Party Barge 18' Signature Series,$7500,power," (Seguin, TX)",2005 Suntracker Pontoon Party Barge 18' Signature Series,https://sanmarcos.craigslist.org/boa/5924525598.html,2005
6,good,,2016-12-18 13:51,1964 lone star with a 1975 Chrysler 75 horse. The outboard motor needs an ignition coil to work properly. The engine will start for a little while with 2 cylinders working. I have titles for the boat motor and trailer. The boat has the floor stripped and it's ready for a new floor to be laid down. We have all of the original seats and trim and they are in good condition. We also have the original snap on boat cover that always stays on it and it is stored in a barn away from the elements. Great winter project. For any more questions call or text me at show contact info -Casey-,,5903667975,,17,,Lonestar,,,$1000,power, (New braunfels),1964 lonestar boat,https://sanmarcos.craigslist.org/boa/5903667975.html,1964
7,,"['29.853300', '-98.245068']",2016-12-18 12:08,"Good sails, rigging, trailer, outboard. Interior has cushions in good shape. Can sail as-is, but put $100 into it and a days work and it would be really nice!",,5900883385,29.853300,24,-98.245068,,"https://maps.google.com/maps/preview/@29.853300,-98.245068,16z",,$1575,sail, (obo),Venture 2-24 Sailboat,https://sanmarcos.craigslist.org/boa/5900883385.html,
8,,,2016-12-14 18:33,"Dagger Zydeco 9.0 Used but in great condition, comes with paddle. Does not come with skirt. Text if interested prefer cash but would trade for saltwater rods and reels.",,5919757377,,9,,,,,$250,human, (NB),Kayak,https://sanmarcos.craigslist.org/boa/5919757377.html,
9,,,2016-12-12 16:05,I bought this last month at Academy and it has never been used. Still has original packaging. Looking to sell as I am moving.,,5916725430,,15,,Old Town,,,$400,human,,Brand New Old Town Canoe,https://sanmarcos.craigslist.org/boa/5916725430.html,
10,good,"['29.602300', '-98.049200']",2016-12-11 14:52,"1987 Skeeter with 1988 Johnson 110 HP V4 tilt/trim. Modified to mix oil in gas. New tires, boat tags current, New Battery, resent tune up 2 new seats.  Carpet can be replaced in lower area for 150.00,  Wife wants this toy gone so make me an offer.",,5915214647,29.602300,18,-98.049200,,"https://maps.google.com/maps/preview/@29.602300,-98.049200,16z",,$2500,power, (New Braunfels),87 Skeeter Bass Boat,https://sanmarcos.craigslist.org/boa/5915214647.html,1987
11,like new,[],2016-12-10 16:47,"These are two VERY clean 2006 Yamaha FX high output waverunners with low hours that look and run like brand new. They have had one owner, have been well kept on maintenance, and have been stored properly when not being used.  I am asking $1,2000 OBO! Don't miss out on this great deal!",170,5914164968,,11,,Wave Runner,https://maps.google.com/?q=loc%3A+%33%30%36+NEW+BRAUNFELS+TX+US,FXHO,$12000,power, (New Braunfels),Yamaha Wave Runners,https://sanmarcos.craigslist.org/boa/5914164968.html,2006
