,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,,2016-12-09 17:24,"CALIFORNIA PROCOM JET BOAT 1977. 468 Chevy motor with Berkeley pump. Newly redone interior. Good condition. Length-18'. FAST!!! $7,500. CASH ONLY. NO CASHIERS CHECKS or PAYPAL Call or text",,5912867158,,18,,PROCOM,,Jet boat,$7500,power," (Tuscola, TX)",CALIFORNIA PROCOM JET BOAT,https://bigbend.craigslist.org/boa/5912867158.html,1977
1,good,"['29.688200', '-96.910600']",2016-12-06 08:39,"FOR SALE 1976 Ranger fishing Boat with Evanrude motor that runs, just had it on the water in Aug. Boat comes with depth finder, anchor , 4 life jackets and new marine battery. Also has  single axle trailer with new lights and a spare tire. Has current registration on boat and trailer tags, have title in hand. If interested come see in Winters, TX on coroner of Mel St",120,5874502038,29.688200,16,-96.910600,Ranger,"https://maps.google.com/maps/preview/@29.688200,-96.910600,16z",,$850,power, (Winters),1976 Ranger Fishing Boat,https://bigbend.craigslist.org/boa/5874502038.html,1976
2,,,2016-11-11 18:32,"1983 laser 18ft with trailer,motor,  when I bought the boat I was told it was a factory race boat, the vin number is on the left side of the transom, not the right side like everyother boat has, boat has a built 2.0 on it now and is CRAZY FAST.  Two props, 26 pitch chopper, and 23 pitch laser ll, 2750.00 show contact info",,5871748375,,18,,Laser,,,$2500,power,,18ft Laser,https://bigbend.craigslist.org/boa/5871748375.html,1983
3,,,2016-12-19 17:13,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5926095253,,,,,,,,,,Hobie Pro Angler 12 Kayak Fishing,https://bigbend.craigslist.org//delrio.craigslist.org/boa/5926095253.html,
4,,,2016-12-19 10:27,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5925461924,,,,,,,$3200,,,Bass boat trucker,https://bigbend.craigslist.org//delrio.craigslist.org/boa/5925461924.html,
5,,,2016-12-18 07:59,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5901448605,,,,,,,$325,,,Dawn Trakker by Ocean Kayak,https://bigbend.craigslist.org//delrio.craigslist.org/boa/5901448605.html,
6,,,2016-12-17 02:16,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5922720366,,,,,,,$8500,,,Skeeter 95' w/mercury motor,https://bigbend.craigslist.org//delrio.craigslist.org/boa/5922720366.html,
7,,,2016-12-13 12:49,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5917866259,,,,,,,$17500,,,2010 Nitro Z-7 w/150 Optimax & trailer,https://bigbend.craigslist.org//delrio.craigslist.org/boa/5917866259.html,
8,,,2016-12-12 17:50,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5916870821,,,,,,,$400,,,Striker 11.5' Fishing Kayak,https://bigbend.craigslist.org//delrio.craigslist.org/boa/5916870821.html,
9,,,2016-12-08 13:22,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5911087043,,,,,,,$5000,,,like new boat,https://bigbend.craigslist.org//delrio.craigslist.org/boa/5911087043.html,
10,,,2016-12-07 09:49,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5909240289,,,,,,,$50,,,boat storage,https://bigbend.craigslist.org//delrio.craigslist.org/boa/5909240289.html,
11,,,2016-12-03 23:43,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5904570947,,,,,,,$1,,,Wanted: Boat to Rent in feb,https://bigbend.craigslist.org//delrio.craigslist.org/boa/5904570947.html,
12,,,2016-11-28 11:00,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5895972431,,,,,,,$1000,,,Starcraft with sea king Chrysler motor,https://bigbend.craigslist.org//delrio.craigslist.org/boa/5895972431.html,
13,,,2016-11-28 11:00,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5895971083,,,,,,,$18000,,,Nitro Z7 Sport,https://bigbend.craigslist.org//delrio.craigslist.org/boa/5895971083.html,
