,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 13:49,"2004 Bass Tracker PT175 Special Edition Aluminum fishing Boat. 2003 Mercury 75hp motor and trailer Many options: windshield Spare tire All tires in excellent condition Stored in shop when not in use Clean interior, seats, carpets all in excellent condition 2 large live wells bimini top Plenty of storage for pole and life jackets Trolling motor Fold away tongue $9500. Located in DIBBLE. Contact Jeromy @ show contact info",,5916182545,,1,,,,,$9500,power," (Dibble, OK)",2004 Bass Tracker PT175 Special Edition,https://texoma.craigslist.org/boa/5916182545.html,
1,excellent,"['33.637200', '-96.618400']",2016-12-20 13:19,"For sale: 2001 aluminum boat, with 99' 25 HP Mercury Motor, Boat is camouflaged for duck hunting, with a removable blind.  Blind is made up of waterproof/windproof fabric and camo netting.  Boat also has LED light bar for navigation, clear LED lights on both sides for setting decoys before dawn, and red LED lights inside the boat.  New 3/4"" marine grade plywood floor and 3 new removable seats.  This boat is set up and ready to hunt!",,5927131373,33.637200,15,-96.618400,Southfork,"https://maps.google.com/maps/preview/@33.637200,-96.618400,16z",,$4000,power, (Sherman),2001 Southfork Aluminum Boat,https://texoma.craigslist.org/boa/5927131373.html,2001
2,new,[],2016-12-20 10:18,Call Bill McKinster at (405) 830-8486 http://10488.watersportsplus.net/v/23811161/2/18726625 Boat Info Stock # : VERANDA 2016  V2070 Condition : New Boat Details Hull Material : Aluminum Trailer Included : Yes Propulsion Type : Pontoon Boats Engine Type : Single Outboard Engine Size : 70 Engine Description :  YAMAHA  F70LA Fuel Type : Other Measurements Length : 20 Beam : 8,,5926833688,,20,,Veranda Marine,https://maps.google.com/?q=loc%3A+%31%30%37%35+Max+Rd+Mead+TX+US,V2070,$25900,power," (Mead, OK)",2016 Veranda Marine V2070 Pontoon Boats,https://texoma.craigslist.org/bod/5926833688.html,2016
3,new,[],2016-12-20 09:59,"Call Bill McKinster at (405) 830-8486 http://10488.watersportsplus.net/v/28514881/2/18726624 Description HERE IS A 2015 XPRESS X-26 GUIDE    26' IN LENGTH;; 102"" BEAM;;    FOAM FILLED XTREME COATED;;  0.125 ALUM.  NO WOOD NO PLASTIC;;; REDESIGN CONSOLE FOR MORE ROOM IN BOAT  FISH  8-10;; STABLE FAST   HYPERLIFT HULL;;;   ****NOTE   SELLING WITHOUT MOTOR*****   CAN PUT ANY YAMAHA MOTOR ON UP TO VF250LA....*****  SELL ANY NEW YAMAHA MOTOR AT COST!!!!!  NO  MOTOR  NO MOTOR**** WILL SHOW MOTOR  BUT NOT ON BOAT.. ***ALSO NO SEATS OR SEAT BASES***... LOTS OF ROOM  WASHOUT PUMP  30 GAL FUEL TANK;; GAUGES AC/ADAPTERES;; 10"" ATLAS ELEC/HYDA JACK PLATE   SEASTAR STEERING;; HAS OTHER OPTIONS;;;   HAS TANDEMA AXLE ALUMINUM TRAILER WITH ALUM WHEELS RADIAL TIRES  SALT WATER TRAILER LED LIGHTS .. WE CAN ADD GRAPHS ANYTHING YOU WANT THIS BOAT BEING SOLD AT COST...  WE CAN FINANCE...  CALL ANYTIME  BILL   405 830 8486  AND EMAIL TO BILL@WILDBILLSBOATS.COM   FOLLOW US ON FACEBOOK   AT WILDBILLSBOATS AND  UTUBE AT  WILD BILL'S BOAT'S    AND OLDER SITE  AT YTWILDBILLSBOATS1    COME SEE US AT LAKE TEXOMA  THX BILL",,5926804551,,268,,Xpress,https://maps.google.com/?q=loc%3A+%31%30%37%35+Max+Rd+Mead+TX+US,X-26 GUIDE,$29500,power," (Mead, OK)",2015 Xpress X-26 GUIDE Other,https://texoma.craigslist.org/bod/5926804551.html,2015
4,new,[],2016-12-20 09:41,"Call Bill McKinster at (405) 830-8486 http://10488.watersportsplus.net/p/23811157/2/18726623 Description THIS IS YOURS FOR $249.00 PER MONTH APPROXIMATELY.. 2016 MODEL; ALL ALUMINUM (NO WOOD IN BOAT) LIFETINME WARRANTY;; FIND ANOTHER PONTOON WITH THIS QUALITY AND PRICE;;; 25"" PONTOONS 0.80 THICK PRESSURE TREATED; 20' IN LENGTH;; 102"" BEAM;; THIS UNIT IS !!!CHARCOAL!!! HAVE ANOTHER THAT IS """"BLUE"""" FOR SAME PRICE... BOTH HAVE YAMAHA F70LA 4/STROKE WITH ALUMINUM PROP;;BUILT IN FUEL TANK FULL SNAP ON COVER VINYL FLOOR THRU OUT BOAT 27 GAL FUEL TANK BUILT IN NEW DESIGNED FURNITURE FOR 2016;; LOTS OF STORAGE UNDER SEATS 4 FISHING SEATS;; BLUETOOTH STEREO WITH 2 SPEAKERS;;9' BIMINI TOP;;COURTESY LIGHTS;;REAR ENTRY GATE WITH LADDER ; CHAISE LOUNGER WITH CHANGING ROOM;; SINGLE AXLE ALUMINUM TRAILER WITH 100,000 MILE/6 YEAR WARRANTY AXLE.. BOAT PRICE INCLUDES ALL DEALER PREP READY FOR LAKE..... SEE ALL DETAILS AT WILDBILLSBOATS.COM;;; WE CAN FINACE WITH APPROVED CREDIT;; CALL US TOLL FREE ANYTIME 866 890 8181;; OR CALLME """"""BILL"""" DIRECT AT 405 830 8486;; I'LL ANSWER OR CALL YOU RIGHT BACK;; EMAIL ME DIRECT AT BILL@WILDBILLSBOATS.COM;;; FOLLOW US ON UTUBE AT WILD BILL'S BOAT'S AND AT OUR OLD UTUBE ADDRESS ALSO YTWILDBILLSBOATS1 AND FACEBOOK AT WILDBILLSBOATS;; WE SELL XCITEMENT WE SELL VERANDA PONTOONS AND TRITOONS;; COME SEE ME AND SHANE AT LAKE TEXOMA THX BILL Body: - Hull Thickness: .0.80 - Number of Tubes: 2 - Tube Diameter: 25 in. Engine & Drivetrain: - Engine Make: Yamaha 4 stroke - Engine Model: F70LA - Horsepower: 70hp - Fuel Type: Gas - Fuel Tank Capacity: 27 GAL - Drive Type: Outboard Measurements: - Beam: 102"" Other: - Trailer: BACK TRACK SINGLE AXLE - Trailer (LOA): 100,000 MILE 6 YEAR WARRANTY AXLES NO MAINTENANCE - Warranty: FULL WARRANTY",,5926777660,,20,,Veranda Marine,https://maps.google.com/?q=loc%3A+%31%30%37%35+Max+Rd+Mead+TX+US,V200F,$25500,power," (Mead, OK)",2016 Veranda Marine V200F Pontoon Boats,https://texoma.craigslist.org/bod/5926777660.html,2016
5,new,[],2016-12-20 09:18,"Call Bill McKinster at (405) 830-8486 http://10488.watersportsplus.net/p/28579304/2/18726424 Description $246.00   PER MONTH WITH APPROVED CREDIT!!!!    AND A NEW XPRESS H20B IS YOURS;;; SEVERAL COLORS  TO CHOOSE FROM!!!!    XPRESS ALL WELDED   NO WOOD NO RIVETS NO PLASTIC  FOAM FILLED WITH XTREME COAT ON WHOLE INTERIOR;  20'3"" IN LENGTH AND 95"" BEAM;;  HYPERLIFT HULL;; 30 GAL FUEL TANK;;  NEW SEADECK BOW STEP PLATE;;  2 FOLD DOWN FISHING SEATS AND POLES;; HAS FLIP UP SEATS EACH SIDE LEANING POST;;  ;   HAS YAMAHA VF115LA SHO 4/STK   WITH  SS PROP;;;   ALL SO HAS REDFISH PACKAGE WITH MINN KOTA  70LB TROLLING MOTOR AND HELIX 5 GRAPH;;;; ALSO HAS BAY STAINLESS PACKAGE!!!!   COMPLETE READY TO FISH;;  HAS S/A ALUMINUM TRAILER WITH ALUM WHEELS AND RADIAL TIRES... COMPLETE FISHING PACKAGE READY TO GO;;;    NO HIDDEN COSTS...   WE CAN FINANCE GIVE US A CALL;;;   CALL ME BILL AT 405 830 8486   AND SHANE AT 580 380 2444;;; EMAIL ME DIRECT   AT BILL@WILDBILLSBOATS.COM  FOLLOW US ON UTUBE AT  WILD BILL'S BOAT'S  AND JOIN US ON FACEBOOK AT   WILDBILLSBOATS.. WE SELL XCITEMENT WE SELL XPRESS BOATS  THX  .... COME SEE ME AND SHANE AT LAKE TEXOMA  THX BILL",,5926744565,,20,,Xpress,https://maps.google.com/?q=loc%3A+%31%30%37%35+Max+Rd+Mead+TX+US,H20B,$26500,power," (Mead, OK)",2017 Xpress H20B 115hp,https://texoma.craigslist.org/bod/5926744565.html,2017
6,new,[],2016-12-20 09:01,"2015 XPRESS X-26 GUIDE Call Bill McKinster at (405) 830-8486 http://10488.greatboats.net/l/23811168/2/18726423 Wild Bill's Boats $48,000 Description HERE IS THE NEW DESIGNED 2015 XPRESS X-26 GUIDE SERIES BOAT;; FIRST THING;; YOU CAN'T FIND IN XPRESS CATALOG OR ON LINEAT XPRESS;; I'M ONLY XPRESS DEALER WITH THEM;; THEY ARE ALL WELDED ALUMINUM 5052 GAUGE 0.125 GAGE; FOAM FILLED; FULL XTREME COAT; THAT IS NOT SLICK (EXCEPT WITH FROZEN...) 26 ' IN LENGTH; 102"" BEAM; 26"" SIDES; GULFSAND IN COLOR;FRONT CONSOLE HAS BEEN SET UP IN THE FRONT DECK TO ALLOW 2' MORE FLOOR SPACE RIGHT AT 18-19 FOOT OF OPEN SPACE;; GREAT FOR COMPANYS WHO WANT TO HAVE A BIG BOAT TO TAKE CLIENTS FISHING;; GREAT GUIDE BOAT FOR PROFEESIONAL FISHERMEN; CAN FISH AT LEAST 8-10 ;; WITH ROOM FOR BAIT TANK AND SEATS; HAS A YAMAHA F250XA WITH SS PROP; 10"" ATLAS HYDRAULIC JACK PLATE; SEASTAR STEERING; HAS A BUILT IN WASHOUT PUMP; 30 GAL FUEL TANK; ROOM FOR 4 BATTERIES;; IT IS WIRED FOR TROLLING MOTOR IF YOU WANT ONE;; AND INSTALL ANY TYPE GRAPH YOU WANT;; (WE CAN INSTALL FOR YOU IF YOU WANT));; SS CLEATS BOW/TRANSOM/SIDES; AUTO BILGE; WATER PRESSURE GAUGE; TRIM GAUGE; 2 12VOLT PLUGS; COMES WITH 6 SEATS AND 6 SEAT COMPOSITE BASES; AND 50 GAL BAIT TANK;; THIS UNIT LIKE ALL OUR YAMAHA POWERED BOATS HAS HAD FIRST 2 HR BREAKIN DRIVE BEFORE WE FILM IT IN THE VIDEO ON THIS SITE;; ABSOLUTELY AMAZING SMOOTH RIDE WITH DRIVER AT FRONT AND LOTS OF ROOM FOR FISHING CLIENTS;; GREAT PERFORMANCE AND FUEL EFFICIENT; BIG BOAT FOR THE GUIDE WHO WANTS TO MAKE A LIVING ON THE LAKE AND COAST;; GREAT OFFSHORE BOAT FOR ANYTHING YOU WANT TO DO;; COMES WITH A TANDEM AXLE ALUMINUM TRAILER WITH BRAKES; 100,000 MILE /6 YEAR WARRANTY NO MAINTENANCE AXLES; SLAT WATER PACKAGE;; LED LIGHTS; COMPOSITE BUNKS;; YOU NEED TO COME TAKE A RIDE;; CHECK OUT ALL PICTURES AND VIDEO OF THIS UNIT BEING DRIVEN WITH A GO PRO CAMERA;; WE CAN FINANCE WITH APPROVED CREDIT; 10% DOWN; 7% INTEREST 144 MONTHS (12YEARS) PAYMENT APPROXIMATELY $504.00 PER MONTH ;; CALL US TOLL FREE 866 890 8181;; OR CALL ME DIRECT""""BILL"" 405 830 8486 AND SHANE AT 580 380 2444;; WE'LL ANSWER AND I WILL CALL YOU BACK IF YOU LEAVE MESSAGE I PROMISE... EMAIL ME DIRECT AT BILL@WILDBILLSBOATS.COM I ANSWER EVERY EMAIL;;; FOLLOW US ON UTUBE AT WILD BILL'S BOAT'S AND AT OUR OLD UTUBE ADDRESS AT YTWILDBILLSBOATS1;; AND FACEBOOK AT WILDBILLSBOATS;; COME SEE ME AT LAKE TEXOMA AND WE'LL TAKE YOU FOR A RIDE IN GREAT XPRESS X-26 GUIDE BOAT WE SELL XCITEMENT AND VALUE WE SELL XPRESS BOATS.. THX FROM SHANE AND BILL Body: - Hull Thickness: 0.125 in. Engine & Drivetrain: - Engine Make: Yamaha 4 stroke - Engine Model: F250XA - Horsepower: 250 - Fuel Type: Gas - Fuel Tank Capacity: 30 GAL - Drive Type: Outboard Measurements: - Beam: 102"" Operational: - Maximum People: 10-12 Other: - Trailer: BACK TRACK ALUM TANDEM AXLE BRAKES ALUM WHEELS - Trailer (LOA): 100,000 MILE 6 YEAR WARRANTY AXLES NO MAINTENANCE - Trailer Height: SALT WATER TRAILER - Warranty: FULL WARRANTY Boat Info Stock # : 2015 X-26 GUIDE Hull ID : 34J415 Condition : New Boat Details Hull Material : Aluminum Trailer Included : Yes Propulsion Type : Center Consoles Engine Type : Single Outboard Engine Size : 250 Engine Description :  YAMAHA VF250LA Fuel Type : Other Measurements Length : 26 2015 XPRESS X-26 GUIDE Call Bill McKinster at (405) 830-8486 http://10488.greatboats.net/l/23811168/2/18726423 $48,000",,5926720995,,26,,Xpress,https://maps.google.com/?q=loc%3A+%31%30%37%35+Max+Rd+Mead+TX+US,X-26 GUIDE,$48000,power," (Mead, OK)",2015 Xpress X-26 GUIDE,https://texoma.craigslist.org/bod/5926720995.html,2015
7,,"['27.873374', '-97.324992']",2016-12-20 08:46,MerCruser Out Drive with prop and trim cylinders. 300.00 show contact info,,5888200102,27.873374,522,-97.324992,,"https://maps.google.com/maps/preview/@27.873374,-97.324992,16z",,,power,,MerCruser Out Drive,https://texoma.craigslist.org/boa/5888200102.html,
8,new,[],2016-12-20 08:41,"Call Bill McKinster at (405) 830-8486 http://10488.greatboats.net/l/27932473/2/18726422 Description $350.00 PER MONTH WITH APPROVED CREDIT.... AND THIS TIDEWATER 2100 BAY MAX IS YOURS;; LOADED WITH OPTIONS;; LAKE READY AND NICE BIG ROOMEY GREAT STORAGE AND A BIG FRONT DECK THAT WILL DELIGHT ANY FISHERMAN;;  OK THIS IS ONE BEAUTIFUL BOAT  21'6"" IN LENGTH; 98"" BEAM;; 56 GAL FUEL TANK;;8 PERSON CAPAPCITY;; 10"" DRAFT;; 15DEGREE DEADRISE;; THIS UNIT IS WHITE /CARBON;; THE SEATS ARE ESPRESSO HIGH QUALITY SEATS;;    IT HAS A YAMAHA F150XB WITH YAMAHA SS PROP; BAY-STAR   HYDRAULIC STEERING   6"" ATLAS JACK PLATE;; FUEL/WATER SEPARATOR;; ***NOTE NOTE THIS YAMAHA MOTOR HAS HAD 1ST 2 HOUR YAMAHA BREAK-IN SO WHEN YOU GET IT; ITS READY FOR YOU TO DRIVE YOUR WAY*****;; IT HAS TROLLING MOTOR WIRING AND PLUG;; LARGE AIREATED LIVE WELL;; HAS STORAGE UNDER ALL FLIP/DOWN SEATS; THE SEATS LAY DOWN TO MAKE FULL REAR DECK TO MOVE AROUND ON;; EASY TO GET TO PUMPS AND FILTER'S.. IT HAS A COMPASS AND YAMAHA GAUGES;; SWIM PLATFORM; DUAL BATTERY SWITCH;; LARGE CONSOLE WITH SIDE ENTRY THATS BIG AND EASY TO WORK ON DASH CONTROLS;; HAS A STAINLESS LEANING POST SEAT WITH FOOT BAR AND ROCKET LAUNCHERS;; HAS A TILT STEERING WHEEL;; AND A RAW WATER WASHDOWN PUMP;; LOTS OF STORAGE IN FRONT OPENING ROD BOXES;; AND THEY BOTH HAVE ROD ORGANIZER'S AIR SHOCK DOOR OPENERS;; FRONT ANCHOR STORAGE;; PLENTY ROOM IN CONSOLE TO ADD ANY GRAPH YOU WANT; AND ROOM FOR BATTIERS FOR LARGE TROLLING MOTOR;; SS STEERING WHEEL WITH SPINNER;; LOTS OF STORAGE ON CONSOLE FOR STUFF AND CUP HOLDERS;;; HAS A TANDEM AXLE ALUMINUM TRAILER WITH BRAKES ON BOTH AXLES;; COMPOSITE TYPE BUNKS; 100,000 MILE/6 YEAR WARRANTY NO MAINTENANCE AXLE'S;; THIS IS ONE NICE BIG PERFORMING FISHING BOAT FOR WHOLE FAMILY;; , YEARS OF ENJOYMENT;; 10 YEAR WARRNTY ON BOAT AND 3 YEAR WARRANTY ON YAMAHA  AT THIS TIME...   WE CAN FINANCE;; WITH APPROVED CREDIT;;  GIVE US A CALL WE CAN ARRANGE IT ALL;;  CALL US ANYTHIME   """"BI"""" DIRECT AT 405 830 8486;; AND SHANE AT 580 380 2444;;; EMAIL ME DIRECT AT BILL@WILDBILLSBOATS.COM;;  I'LL ANSWER CALLS AND EMAILS;; FOLLOW US ON UTUBE AT WILD BILL'S BOAT'S  AND JOIN US ON FACEBOOK AT WILDBILLSBOATS...  SEE VIDEO OF THIS UNIT ON THE WATER RUNNING AT 47MPH WITH GPS;;;  COME SEE ME AND SHANE AT LAKE TEXOMA... THX BILL",,5926696986,,21,,Tidewater,https://maps.google.com/?q=loc%3A+%31%30%37%35+Max+Rd+Mead+TX+US,2100 Bay Max,$37966,power," (Mead, OK)",2017 Tidewater 2100 Bay Max 150hp,https://texoma.craigslist.org/bod/5926696986.html,2017
9,fair,"['34.156600', '-97.179200']",2016-12-20 08:36,"1996 Tracker Nitro 884 Savage Fishing Boat with Trailer 18 Feet Live Wells Storage Box for Gear 1996 Mercury Outboard Motor 150HP $5,500 OBO",,5926690878,34.156600,18,-97.179200,Tracker,"https://maps.google.com/maps/preview/@34.156600,-97.179200,16z",Nitro,$5500,power," (Ardmore, OK)",1996 Tracker Nitro 884,https://texoma.craigslist.org/boa/5926690878.html,1996
