,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['32.666100', '-95.487000']",2016-12-20 15:11,Parti Kraft pontoon boat with trailer and 80hp engine. Text show contact info for more info.,,5927300369,32.666100,20,-95.487000,,"https://maps.google.com/maps/preview/@32.666100,-95.487000,16z",,$6000,power,,Pontoon Boat,https://easttexas.craigslist.org/boa/5927300369.html,
1,good,"['32.292200', '-92.437400']",2016-12-20 15:09,"2001 MASTERCRAFT 210VRS WAKE BOARD BOAT, VIN MBCHUB25M001, C/W 2001 MASTERCRAFT TANDUM AXLE TRL. W/TITLE, MASTERCRAFT EFI ENGINE, INBOARD,  TOWER, BOARD RACKS, OWNED BOAT SINCE 2004, NO ISSUES JUST DON'T USE, LAKE READY. FOR ADDITIONAL INFO CALL RICK show contact info",,5927297815,32.292200,21,-92.437400,MASTERCRAFT,"https://maps.google.com/maps/preview/@32.292200,-92.437400,16z",210 VRS,$21500,power, (chatham),2001 MASTERCRAFT 210VRS WAKE BOARD BOAT,https://easttexas.craigslist.org/boa/5927297815.html,2001
2,good,"['32.292200', '-92.437400']",2016-12-20 15:07,"2001 MASTERCRAFT 210VRS WAKE BOARD BOAT, VIN MBCHUB25M001, C/W 2001 MASTERCRAFT TANDUM AXLE TRL. W/TITLE, MASTERCRAFT EFI ENGINE, INBOARD,  TOWER, BOARD RACKS, OWNED BOAT SINCE 2004, NO ISSUES JUST DON'T USE, LAKE READY. FOR ADDITIONAL INFO CALL RICK show contact info",,5927294974,32.292200,21,-92.437400,MASTERCRAFT,"https://maps.google.com/maps/preview/@32.292200,-92.437400,16z",210 VRS,$21500,power, (chatham),2001 MASTERCRAFT 210VRS WAKE BOARD BOAT,https://easttexas.craigslist.org/boa/5927294974.html,2001
3,good,"['32.292200', '-92.437400']",2016-12-20 15:05,"2001 MASTERCRAFT 210VRS WAKE BOARD BOAT, VIN MBCHUB25M001, C/W 2001 MASTERCRAFT TANDUM AXLE TRL. W/TITLE, MASTERCRAFT EFI ENGINE, INBOARD,  TOWER, BOARD RACKS, OWNED BOAT SINCE 2004, NO ISSUES JUST DON'T USE, LAKE READY. FOR ADDITIONAL INFO CALL RICK show contact info",,5927291520,32.292200,21,-92.437400,MASTERCRAFT,"https://maps.google.com/maps/preview/@32.292200,-92.437400,16z",210 VRS,$21500,power, (chatham),2001 MASTERCRAFT 210VRS WAKE BOARD BOAT,https://easttexas.craigslist.org/boa/5927291520.html,2001
4,excellent,,2016-12-20 14:48,"1997 fisher f-18 fs has a mercury force 120hp just fully serviced new plugs wires new impeller lower unit oil changed runs great  interior and carpet in great shape no rips or tears plenty of storage live wells Motor guide trolling motor 24v has matching fisher trailer fairly new tires  bearings been serviced fold away tounge 1 owner has 130hrs has been a great boat for me and my family  garage kept its entire life  have titles the boat and motor axing $5,950 for more info plz call show contact info",130,5927267058,,18,,Fisher,,F18,$5950,power, (Woodlands conroe tx),1997 Fisher F-18 fish and ski one owner low hours,https://easttexas.craigslist.org/boa/5927267058.html,1997
5,good,"['32.213100', '-94.783400']",2016-12-20 14:09,"lower unit from a 20 inch shaft 40HP omc engine 1996 year model will fit other years check yours to be sure.  shifts.  fluid clean  no trades, just cash.    should fit 40, 50 or 48HP. 2  stroke.  2 cylinder.",274,5903777372,32.213100,20,-94.783400,Johnson,"https://maps.google.com/maps/preview/@32.213100,-94.783400,16z",40HP,$450,power, (Henderson),40HP Johnson Lower Unit,https://easttexas.craigslist.org/boa/5903777372.html,1996
6,,,2016-12-20 13:56,I have a 14' aluminum valco boat for sale lights on boat and trailer work i have a tittle for it and both motors work nothing wrong with it the rear motor i a 9.9 johnson i am asking 900 it has eight rod holders and two seats,,5924358542,,14,,,,,$900,power, (frankston),14 ft aluminum boat for sale,https://easttexas.craigslist.org/boa/5924358542.html,
7,,,2016-12-20 13:16,"2006 Evinrude E TEC 115 hp motor very low hours on a 18' Cajun Fish & Ski  runs excellent excellent gas mileage all tires are in excellent shape boat comes with brand-new boat cover electronics comes with the boat ski pole trolling motor transom saver boat is lake ready and and is newly registered title in hand everything runs and works great 6,499.00 O.B.O",,5897904578,,18,,,,,,power,,"2006 Evinrude E Tec 115 HP On A 18' Cajun Fish & Ski 6,499.00 O.B.O",https://easttexas.craigslist.org/boa/5897904578.html,
8,,,2016-12-20 12:35,Custom Mud Boats for Sale! Contact us today for a Quote!!! Please Contact Todd @ show contact info or Bobby @ show contact info,,5927061073,,18,,Elite Airboat Company,,Mudboat,,power,,Elite 2017 Mud Boat,https://easttexas.craigslist.org/boa/5927061073.html,2016
9,,"['32.546312', '-94.351726']",2016-12-20 11:04,"Im selling my 2003 15' x 42"" wide War Eagle boat with a 2008 25hp Yamaha 2 stroke motor. On a galvanized tilt trailer with LED taillights. Registration is good until 2018, Stingray LED lightbar in front, LED nav. lights, fishing pole holders, beer/can flip down holder. 2 seats (driver seat slides and passenger seat is for staitionary seat base) 9 gal gas tank and new battery. Clear TX titles in hand for boat and motor",,5926908221,32.546312,15,-94.351726,,"https://maps.google.com/maps/preview/@32.546312,-94.351726,16z",,$4999,power, (Marshall),Duck Boat 15x42 War Eagle w/ 25hp Yamaha,https://easttexas.craigslist.org/boa/5926908221.html,
