,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,,2016-12-20 14:53,"10 ft pelican predator fishing boat with title, and trailor 10 ft pelican bass fishing boat no title All three for 1000 OBO Bass boat needs a trolly motor i believe... the predator has never been in water had a motor but it was stolen.. NEED TO SELL IMMEDIATELY",,5927237372,,10,,Pelican,,Predator,$1000,power," (Victoria, TX)",2 boats and a trailer,https://victoriatx.craigslist.org/boa/5927237372.html,2012
1,excellent,"['26.167100', '-98.052900']",2016-12-20 14:02,"***JUST REDUCED*** Beautiful boat that has been re-done and refreshed. only 30 hours on the rebuilt engine. New Coastline Trailer New Controls New Water pump and Thermostat New wiring, fuse block, switches and hoses New Optima Battery New Steering Wheel New Gauges New Upholstery New Lights Yeti 110 Ice chest It catches fish!!! Its a great boat that runs really skinny and dry. I'm open to trading for something interesting or maybe owner financing with big down payment.",30,5906562983,26.167100,14,-98.052900,Freedom Boats,"https://maps.google.com/maps/preview/@26.167100,-98.052900,16z",Chiquita,$10500,power, (Donna),2005 Chiquita with 2009 Yamaha 70 HP,https://victoriatx.craigslist.org/boa/5906562983.html,2005
2,,"['29.867800', '-95.829800']",2016-12-20 12:30,"selling my fishing machine,200 hp johnson,lowrance system worth 1500.tandem axle galvenized trailer.this boat is mechanically perfect.6800.00",,5927051632,29.867800,20,-95.829800,,"https://maps.google.com/maps/preview/@29.867800,-95.829800,16z",,$6800,power, (katy),1993 hydrasport 20 ft,https://victoriatx.craigslist.org/boa/5927051632.html,
3,,"['27.873374', '-97.324992']",2016-12-20 08:59,"Double axle Galvanized boat trailer. This trailer has new axles, tires and most of all PAPERS!!!!!!! $400.00 361-850-090nine",,5926718530,27.873374,21,-97.324992,,"https://maps.google.com/maps/preview/@27.873374,-97.324992,16z",,$400,power, (Portland),Galvanized boat trailer,https://victoriatx.craigslist.org/boa/5926718530.html,
4,,"['27.873374', '-97.324992']",2016-12-20 08:50,"2001 18.2 Foot Sea Fox ALL WOOD FREE!!! Made with Sea Fox's Exclusive Fiber 4 System. 2001 90 HP Mercury Saltwater Series motor, with a stainless steel prop 2001 Magnum Trailer. This boat is a great family fishing boat and is ready for the water. Clear titles on Boat, Motor and Trailer. $6800.00 361-850-090nine",,5926706901,27.873374,19,-97.324992,,"https://maps.google.com/maps/preview/@27.873374,-97.324992,16z",,,power,,2001 Sea Fox,https://victoriatx.craigslist.org/boa/5926706901.html,
5,good,"['28.851905', '-96.893149']",2016-12-19 18:48,"2002 Baja 33 Outlaw SST with Air Conditioner Boat has twin Mercruiser 496 HO engines. These are the 8.1 liter fuel injected engines. New engines installed by Jasper marine in 2012 and 2013. They have close to 100 hours on them. Bravo 1 out drives rebuilt in 2013. Boat is very clean and ready to go. All safety equipment up to date. Boat will run 65 mph plus loaded down. Titles in hand for boat and trailer. Serious inquiries only. *Adjustable k planes *Stainless SST 28 pitch props. *Captains call exhaust (quiet mode with a switch) *Latham hydraulic steering *Bolster fold down seats *12 volt ac unit with digital thermostat *Tv with DVD player in cabin. *Two couches with bed in front. *Wet sounds sound system 4-12"" subs, 8-6"" speakers and two tower horns on deck, 4-8"" speakers and 4 wet sounds amps in cabin. *Installed new raw water impellers in 2015 *6 marine batteries installed in 2015 *Garmin with ultra hd freshwater lakes installed in 2015 *underwater led lighting installed. *led lighting on deck and in cabin. *snap-in carpet. *Aluminum triple axle trailer with electric winch and led lights. All new springs, hangers and wheel bearings installed 2016. *Trailer has hydraulic over electric pump and disc brakes on axles.",100,5923292633,28.851905,33,-96.893149,Baja,"https://maps.google.com/maps/preview/@28.851905,-96.893149,16z",33 Outlaw,$55000,power, (Victoria),2002 Baja 33 Outlaw SST,https://victoriatx.craigslist.org/boa/5923292633.html,2002
6,excellent,"['29.428000', '-97.164000']",2016-12-19 13:55,"Very clean and well tooken care of. It has a 50 two stroke that I have no problem with. Carps where cleaned last yr, new water pump, new radio. Well maintained. Will start on first crank.",,5925811710,29.428000,18,-97.164000,Suntracker,"https://maps.google.com/maps/preview/@29.428000,-97.164000,16z",,$6300,power, (Shiner tx),Suntracker pontoon boat,https://victoriatx.craigslist.org/boa/5925811710.html,2005
7,,,2016-12-19 09:15,1994 tunnel hull fan rig all welded center console.90 HP Yamaha two stroke runs great hate to sell but need money for car restoration.any questions please call or text no calls after 9 pm thanks,,5925350672,,16,,,,,$4000,power, (Cameron),16' weldcraft bowfishing boat,https://victoriatx.craigslist.org/boa/5925350672.html,
8,new,,2016-12-19 08:46,"21 hours. Comes with trailer, straps, and jet ski cover. I bought it brand new from wood cycle in new braunfels.Text me preferably during the day because I'll be at work.",21,5925310111,,132,,Sea doo,,GTR 215,$10500,power, (Victoria texas),2015 sea doo GTR 215 jet ski,https://victoriatx.craigslist.org/boa/5925310111.html,
9,,,2016-12-18 13:14,looking to trade a 12 gauge for a 12' sit on top kayak with paddle asap.  I need another kayak let me know what ya got.,,5924453338,,12,,,,,$1,human,,KAYAK,https://victoriatx.craigslist.org/boa/5924453338.html,
