,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-15 06:11,"Kawasaki SXR 1100 for sale - this ski was done 100% by Kommander, and is a consistent 65+mph ski. Started out as a 2005 Kawasaki SXR 800, and the full conversion was done by Kommander and from a ZXI 1100 motor. Full build list is below - ski comes with everything pictured including a grey cover and a full IPD orange/black die-cut vinyl graphic kit which I was going to install after I had it painted (graphics kit is included in the photos). Text me with any questions or if you are interested. Thanks for looking. Kommander Kawasaki 1100 full conversion All engine components powdercoated black/orange RRP Ninja Handlepole Full custom steering 0 Degree Handle Bars ODI Grips Aftermarket Kommander Head Kommander Domes Triple 46mm Mikuni Carbs Custom E-Box 80mm Bored Rear Nozzle Aftermarket Impeller Duck bill Powdercoated Exhaust Cap New bilge pump Heavy duty steering cable Silicone side rail caps There is probably more on this ski that I forgot to list, but this is an awesome ski and it is super fast! I would keep it if I didn't have to pay for school, but I am going to let it go for now and hopefully get another one in a couple of years. My loss is your gain. Everything is being completely gone through to make sure everything is 100% before I sell it, so this ski will be bulletproof for whoever gets it. Make me an offer!!",,5878626337,,7,,,,,$9250,power," (St. George, UT)",Kawasaki SXR 1100 (800) -- Price Reduced!!,https://provo.craigslist.org/boa/5878626337.html,
1,excellent,[],2016-12-13 13:20,"This is a1969 sea nymph, they don't build em like this anymore. Doesn't leak and never will. Has a 18 horse power outboard that run's good, a thirty lb. thrust electric motor, a fish finder, gas tank, Battery, three seats Four life jackets and a seat cushion, fire extinguisher, pole holders, anchor and rope ,trailer has good tires and new spare.also has bearing buddies, and winch. Selling all as is with everything you need except fish",150,5918017462,,14,,Sea nymph,https://maps.google.com/?q=loc%3A+%32%30%37%35+west+center+st+Provo+UT+US,Sea nymph,$1500,power, (Provo),Fishing boat loaded with xtras,https://provo.craigslist.org/boa/5918017462.html,1969
2,new,,2016-12-10 15:19,"I was given this kayak as a prize, but I don't have the room for it, or the time to use it since my wife and I are in school and live in an apartment right now. I'm just looking to sell it for some extra money for Christmas now. I've never used it. These retail between $500-$600 brand new. I'll take $450 OBO",,5914107721,,12,,Sundolphin,,Excursion 12ss,$450,human,,Sundolphin excursion 12ss kayak,https://provo.craigslist.org/boa/5914107721.html,
3,like new,,2016-12-09 12:36,"WICKED......540ci / 1300HP Dual Eaton Blowers, Detuned to 950HP,Bowtie Block,Full Roller Motor,CNC Aluminum Edelbrock Heads,EFI,Computer,Complete MSD Ignition,Only Best Of Parts Used,Complete Motor,Less Exhaust,Oil Cooler..... A Brand New Motor Like It Today Would Cost Around $60,000 ""Come Hear It Run While Still In My Application"" $19,950 Cash or Possible Trade..? Trade Value Must Be @ Least $20,000 As For A Quick Sale On Your Trade Product,And ""NO"" Not Something Worth $10,000 or $15,000 and Your Asking Or Moreless Would Like To Get $20,000 For. Contact show contact info Thanks! https://m.youtube.com/watch?feature=youtu.be&v=YCctW185RCA",,5912493362,,1,,Boostpower 540,,,$19,power, (Arizona),*Wicked* 540ci / 1300HP Twin Eaton Blowers with EFI,https://provo.craigslist.org/boa/5912493362.html,
4,excellent,[],2016-12-07 10:19,"21 foot fish and ski deck boat, Tandem trailer. V6 motor with a custom charging system for the 24 volt system that service the live bait wells, sink faucet, trolling motor. Custom cover, fishing seats for the bow & stern, removable dinette table. Has been stored under covered storage.  Boat is in like new condition.  Selling boat due to medical issues.   Currently stored in boulder city.",110,5909437533,,21,,Tahoe,https://maps.google.com/?q=loc%3A+pacific+Sandstone+Pl+at+Crestdale+summerlin+UT+US,215,$16000,power, (Summerlin),21 foot Tahoe Deck boat,https://provo.craigslist.org/boa/5909437533.html,
5,like new,,2016-12-06 00:40,"42"" waist Lifeline Balistic Shorts bought new never been warn and Size 12 Redriver Lifeline Racing shoes $150 lot for both",,5907443247,,0,,Lifeline,,,,power,,Lifeline New Balistic Shorts and Shoes,https://provo.craigslist.org/boa/5907443247.html,
6,good,[],2016-11-28 17:43,Ready for demonstration. See pics Rush on over.,,5873013797,,32,,sun runner,https://maps.google.com/?q=loc%3A+%31%30%36+henry+grady+hwy+dawsonville+UT+US,318 Classic,$7900,power, (Dawsonville),1988 Sun Runner Classic 318 twin volvo 5.7 duo prop,https://provo.craigslist.org/bod/5873013797.html,1988
7,,"['40.313400', '-111.695300']",2016-11-25 13:54,✛The Ultra 300LX is one of the most powerful production PWCs ever made. ✛Make:   KAWASAKI ✛Model:   ULTRA 300 LX ✛Hull Year:    2011 ✛Meters:     3.3 ✛Feets:    10.82 ✛Hull:    Mono ✛Power:    Power ✛Fuel capacity: 78 LITRE,,5891887386,40.313400,11,-111.695300,,"https://maps.google.com/maps/preview/@40.313400,-111.695300,16z",,$2500,power, (@~@Utah@~@),))♐♐♐2 x Kawasaki 300 LX♐♐♐((,https://provo.craigslist.org/bod/5891887386.html,
8,good,[],2016-11-13 00:51,"Boat and motor $600 Boat, oars, motor, battery and box, light trailer. Great little boat.",50,5874100005,,6,,1999,https://maps.google.com/?q=loc%3A+%34%35%31%35+Northgate+Dr%2E+Provo+UT+US,Unknown,$600,power, (Provo),Small boat and motor,https://provo.craigslist.org/boa/5874100005.html,1999
9,,,2016-12-20 14:43,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5927345945,,,,,,,$62995,,,2012 Malibu LLC 247 LSV,https://provo.craigslist.org//saltlakecity.craigslist.org/bod/5927345945.html,
10,,,2016-12-19 18:49,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5926261992,,,,,,,$7000,,,60' Skipperliner Houseboat - Salvage,https://provo.craigslist.org//saltlakecity.craigslist.org/boa/5926261992.html,
11,,,2016-12-19 14:53,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5925987906,,,,,,,$49995,,,2013 Monterey 234SS,https://provo.craigslist.org//saltlakecity.craigslist.org/bod/5925987906.html,
12,,,2016-12-19 11:55,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5910095252,,,,,,,$32800,,,2001 Sharpe Custom Houseboat,https://provo.craigslist.org//saltlakecity.craigslist.org/boa/5910095252.html,
13,,,2016-12-19 10:28,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5889465618,,,,,,,$9200,,,Boston Whaler,https://provo.craigslist.org//saltlakecity.craigslist.org/boa/5889465618.html,
14,,,2016-12-19 04:05,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5900553261,,,,,,,$22500,,,zzzz2010-Correct-Craft-Super-Air-Nautique-230,https://provo.craigslist.org//saltlakecity.craigslist.org/boa/5900553261.html,
15,,,2016-12-18 20:10,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5915210283,,,,,,,$18500,,,81' Eliminator Sprint Jet Boat,https://provo.craigslist.org//saltlakecity.craigslist.org/boa/5915210283.html,
16,,,2016-12-17 14:29,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5919628301,,,,,,,,,,2017 Sea Ray 260 Sundancer,https://provo.craigslist.org//saltlakecity.craigslist.org/boa/5919628301.html,
17,,,2016-12-17 14:29,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5919641718,,,,,,,,,,2016 Sea Ray 470 Sundancer,https://provo.craigslist.org//saltlakecity.craigslist.org/boa/5919641718.html,
18,,,2016-12-17 14:29,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5919673408,,,,,,,,,,2017 Sea Ray 280 Sundancer,https://provo.craigslist.org//saltlakecity.craigslist.org/boa/5919673408.html,
19,,,2016-12-17 14:29,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5919691706,,,,,,,,,,2004 Sea Ray 260 Sundancer,https://provo.craigslist.org//saltlakecity.craigslist.org/boa/5919691706.html,
20,,,2016-12-16 07:12,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5894559525,,,,,,,$1595,,,Houseboat Generator,https://provo.craigslist.org//saltlakecity.craigslist.org/boa/5894559525.html,
21,,,2016-12-15 19:25,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5921166618,,,,,,,$9988,,,Flybridge,https://provo.craigslist.org//saltlakecity.craigslist.org/boa/5921166618.html,
22,,,2016-12-15 17:22,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5921084701,,,,,,,$125,,,"2013 HARLEY DAVIDSON SPORTSTER 1200 XL Rear Shocks 11"" eye to eye",https://provo.craigslist.org//saltlakecity.craigslist.org/boa/5921084701.html,
23,,,2016-12-15 10:30,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5920481623,,,,,,,$100,,,Custom boat covers and upholstery,https://provo.craigslist.org//saltlakecity.craigslist.org/boa/5920481623.html,
24,,,2016-12-15 08:11,"No web page for this address 404 Error _____________
( return to )
( craigslist )
( homepage? )
 ------------- 
       O 
        O   ^__^
         o  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||",,5920290566,,,,,,,$56500,,,2015 MasterCraft Prostar 6.2L,https://provo.craigslist.org//saltlakecity.craigslist.org/boa/5920290566.html,
