,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['37.083100', '-113.558100']",2016-12-20 14:12,"'87 Sea Ray for sale, great boat for a great price. The pictures don't do justice how much fun this boat really is! Boat floats and runs, ready for the lake to go play, fishing, or just relax. Asking only 2300 obo, cash talks. NO trades thanks anyways. Contact me anytime, show contact info thanks, Happy Holidays!",,5927302515,37.083100,17,-113.558100,Sea Ray,"https://maps.google.com/maps/preview/@37.083100,-113.558100,16z",,$2300,power, (ST. GEORGE),"BOAT, '87 SEA RAY FOR SALE",https://stgeorge.craigslist.org/boa/5927302515.html,1987
1,,"['37.136400', '-113.505000']",2016-12-18 15:57,"Make offer, good inboard,outboard engine, needs a tune up.",,5924726789,37.136400,1,-113.505000,,"https://maps.google.com/maps/preview/@37.136400,-113.505000,16z",,,power,,boat with trailer make offer,https://stgeorge.craigslist.org/boa/5924726789.html,
2,excellent,,2016-12-18 08:46,"19' 1"" 5L merc cruiser SSV-195 Ski/Bass Seats 8 Canopy Boat cover Garage kept.",,5924190483,,19,,Glastron,,SSV-195,$3500,power, (Flagstaff),1988 Glastron $3500 OBO,https://stgeorge.craigslist.org/boa/5924190483.html,1988
3,excellent,"['36.811300', '-114.123500']",2016-12-17 08:29,"Personal pontoon.. Comes with a trolling motor , oars , three sets of fins , fish finder.. Get this nice little boat in time for Christmas for a person that loves to fish this boat is very awesome I love it just want something bigger interested in any trades no 420",,5922959263,36.811300,7,-114.123500,JW Outfitters,"https://maps.google.com/maps/preview/@36.811300,-114.123500,16z",,$375,power, (Mesquite),Personal pontoon JW Outfitters,https://stgeorge.craigslist.org/boa/5922959263.html,
4,good,,2016-12-15 13:01,"16' Pleasure, ski, fish, low profile, deep ""V"" boat, fiberglass hull with an 85 h.p. Johnson outboard motor. I purchased from origional owner,   For more info. call , sorry, but; NO text or emails answered.",,5920743050,,16,,,,,$995,power," (St. George, Utah)","16'  pleasure boat, W/85hp. Johnson o/b motor, ski, fish",https://stgeorge.craigslist.org/boa/5920743050.html,
5,,[],2016-12-15 09:42,This great little 12 foot fishing boat needs a new home.  Our family fishes rarely and from the shorelines.  We have not started motor for some time.  Boat and trailer are in decent shape. Trolling motor works and we are trying to get the two Marine Batteries to take a charge. We need some Christmas cash. Please call or text Darrin Serious offers will be considered!!,,5920426116,,12,,,https://maps.google.com/?q=loc%3A+%35%35%37+N+%31%30%30%30+W+St%2E+George+UT+US,,$500,power, (St. George),Fishing Boat w/ 2 Motors,https://stgeorge.craigslist.org/boa/5920426116.html,
6,,,2016-12-15 07:56,94 yamaha waveraider 701 comes with double trailer that would accommodate 2 waverunner jet skiis...runs great ready for the water needs nothing.. $1300 call only obo Kawasaki sx sxr sx wave superjet super  seadoo,,5920271302,,9,,,,,$1300,power, (St george area),Yamaha wave raider jetski w/ doubletrailer,https://stgeorge.craigslist.org/boa/5920271302.html,
7,,"['37.937336', '-112.676081']",2016-12-14 21:02,"For Sale  21' 260Hp SeaRay - $1900 OBO 21' SeaRay ('79) cuddy cabin.  $1900 OBO Lots of room for family, plenty of power for skiing and playing in the water.  Tows beautifully even with mid-size SUV. Equipped with 260 HP (200cc) Mercruzer with only 820 hr total time on engine, Full Bimini, sun cover, Ski tow hook, Garmin fish finder.  All upholstery looks like new.  New brakes and cylinder on two axle trailer.   Professionally winterized in 2013, not in the water since. Call or text show contact info or show contact info",820,5919933027,37.937336,21,-112.676081,SeaRay,"https://maps.google.com/maps/preview/@37.937336,-112.676081,16z",,$1900,power, (Paragonah),79 SeaRay Cuddy Cabin,https://stgeorge.craigslist.org/boa/5919933027.html,1979
8,,,2016-12-12 15:18,great three person raft...only used one season. also have a dozen life vests...sold boat,,5903557838,,6,,mable,,,$175,power, (bloomington),Super Mable triple pull toy,https://stgeorge.craigslist.org/boa/5903557838.html,2015
9,good,"['36.963060', '-113.450317']",2016-12-12 14:16,"Valco, new marine carpet on seats and flat floor, 15 hsp. Evinrude has rebuilt carb, foot operated electric trolling motor with battery, 3 swivel seats.  Good trailer, has recent wiring work so all lights work as they should, good tires on galvanized rims, bearing buddies on the hubs.  $1450.00  cash only, no trades.",,5880745529,36.963060,16,-113.450317,,"https://maps.google.com/maps/preview/@36.963060,-113.450317,16z",,,power,,14 ft. alum.,https://stgeorge.craigslist.org/boa/5880745529.html,
