,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 17:00,"Hobie Outback kayak for sale. Offers hands-free kayaking, perfect for fishing. Features molded in-rod holders, plenty of below deck storage, and a plug in kayak cart for easy mobility out of the water. Accessories included are: gear bucket, 2 fiberglass paddles, glide fins, and seat. Contact Gary if interested.",,5927369005,,12,,,,,,human,,"Hobie Outback Kayak, $2100 obo",https://charlottesville.craigslist.org/boa/5927369005.html,
1,good,,2016-12-20 15:28,"16 foot aquaterra sea kayak.  Scimitar model.  Rudder, footpedals, neoprene covers for storage included.  See photos...",,5927238345,,16,,aquaterra,,scimitar,$300,human, (Charlottesville),aquaterra sea kayak,https://charlottesville.craigslist.org/boa/5927238345.html,2005
2,fair,,2016-12-20 09:36,Vintage  Military Boat. We believe it is a Military boat that was dropped out of planes. Has large eye bolts for hooks. Made if fiberglass and steel plates. Extremely heavy. Fiberglass cover slides back.  There is 2 slots on back of boat that may have had covers. If so the covers are missing(see photo). Number on boat H-6 DUO-1-204. Were told it could be from the Vietnam War. Could not find any information on this boat. Boat will fit on a 5x10 long trailer(not included). Reduced to $300.Our loss is your gain.  Contact if interested.,,5909605293,,10,,,,,$300,human, (Louisa),Vintage Military Boat RARE FIND!,https://charlottesville.craigslist.org/boa/5909605293.html,
3,excellent,"['37.804900', '-78.474000']",2016-12-19 17:44,"BASSTENDER 10.5 FT.... WITH TRAILER, ,  HAS LIVE WELL, RUNNING LTS, STORAGE.ROD HOLDER.... MOTORS NOT INCLUDED...NICE BOAT......CLEAR TITLES FOR BOAT AND TRAILER.or just boat 500...",,5899873172,37.804900,10,-78.474000,basstender,"https://maps.google.com/maps/preview/@37.804900,-78.474000,16z",,$950,power, (fluvanna),BASSTENDER,https://charlottesville.craigslist.org/boa/5899873172.html,
4,excellent,"['38.006828', '-78.599994']",2016-12-19 16:48,"I purchased this amazing boat this past season and really love the way it handles on the water. However, I'm 66 with a bad back and have trouble loading and unloading it. Native Watercrafts are superb boats, and I've purchased a 12' Slayer so that I can go off by myself.   The front hatch cover shown was an optional extra for this boat. Will include paddle for a no-haggle, full asking price sale. NO TRADES PLEASE CASH SALE ONLY Price lowered to $995 through New Years.... The Slayer fishing kayak series share simplicity, easy customization, and rock-solid stability. The Slayer features high/low seating positions for out-of-the-wind paddling and comfortable ergonomic fishing. Rails from bow to stern make customizing easy from simple to extreme. Fish and depth finders are a cinch to mount. A clean, open cockpit makes it a perfect  for stripping line while fly-fishing, and allows bait casters freedom of  movement when snatching that big Bass. FEATURE LIST Hi / Low, First Class, Hand-Sewn Seating Groove Tracks for Accessory Mounting Removable Square Dashboard with Groove Track for Accessory Mounting Cam-Lok Paddle Holders Padded Tackle Box Keeper with Bungee Two Flush Mount Rod Holders Rear 5″ Dry Storage Hatch Molded in Cup Holder Premium Deck Padding for Standing and Casting Huge Open Bow and Stern Storage Areas Adjustable Foot Braces Padded Rod Tip Rest Stern Tag-A-Long Wheel Super Seal Scupper Plugs Padded Carry Handles HULL DESIGN FEATURES Channeled Semi-Tunnel Hull for Tracking and Stability",,5922944122,38.006828,14,-78.599994,Native Watercraft,"https://maps.google.com/maps/preview/@38.006828,-78.599994,16z",Slayer 14.5,$995,human,,2016 Native Watercraft Slayer 14.5 Kayak VGC,https://charlottesville.craigslist.org/boa/5922944122.html,2016
5,,[],2016-12-19 13:51,"Electric and water at slip. Ok for boats up to 35 ft loa and 12 ft beam. Easy access to the 4 mile wide Neuse and close to the ICW. Between New Bern, NC and Oriental, NC. Buy option only with purchase of 1 acre home site.  Home site (non flooding...great elevations) including deeded boat slip 39k.  Will finance.",,5925707347,,35,,,https://maps.google.com/?q=loc%3A+%34%35%30+Baird+Point+Rd%2E+Grantsboro+VA+US,,$90,power," (Arapahoe, NC)",Boat Slip for rent (or sale). Month to month okay.,https://charlottesville.craigslist.org/boa/5925707347.html,
6,good,"['37.963600', '-78.253500']",2016-12-19 00:35,"This 2005 14' Crestline wide bottoms V Hull bass boat has front troll motor with pedals and have rear troll motor. It has (2) seats comes with (2) battery boxes, fishing pole, oar, has cover does have one  holes in it.  Has wet well also. Good condition.  Used 3 times.  Make great Christmas present for someone must see too appreciate.",,5921313748,37.963600,14,-78.253500,Crestliner,"https://maps.google.com/maps/preview/@37.963600,-78.253500,16z",,$2400,power,,SUPER FINAL CHRISTMAS 2005 Crestliner 14' Wide Bottom V Hull Bass Boat,https://charlottesville.craigslist.org/boa/5921313748.html,2005
7,excellent,"['37.977086', '-78.213902']",2016-12-18 11:51,"My boat is all welded, and I would be interested in trading the Modified V for a flat bottom boat. Must be at least 16' and NO RIVETS!! 16' Polar Kraft Jon Boat, all welded, extra wide, extra deep. This boat is in excellent shape and has no leaks or structural issues. Has garmin depth finder, bilge pump, led strip for nights, bow light and anchor light and BRIGHT led spot beam headlight for night fishing/running. NO annoying middle bench seat, from the factory. Registered and title to me in VA. This boat is nice, wide and stabil. She is ready to hit the water. Thanks for looking!!",,5924266446,37.977086,16,-78.213902,,"https://maps.google.com/maps/preview/@37.977086,-78.213902,16z",,,power,,Trade my 16' Mod V for your Flatbottom,https://charlottesville.craigslist.org/boa/5924266446.html,
8,,"['38.013200', '-78.034700']",2016-12-18 09:14,"So much included that you'll only have to pick up bait and you'll be set. Its a well kept 2 man poly boat, original name is ~Basstender 10' 2""~ long with nice comfy leather seats, upgrade from original plastic seats on a NICE adjustable boat trailer with no rust and working lights. 7.5hp 1970 mercury outboard motor, and a minn kota electric trolling motor. Marine 12v battery with DieHard charger. 2 adult life jackets, 3 kids jackets. anchor, oar, bait net, ropes, aerated live well,  and I'm sure theres other gadgets I'm forgetting. The pre-wired lights in the boat don't work, didn't work when I got it, just had to be sure to have my own lights at night and be careful. Legal stickers on it through 09/17. Other than the electric there is nothing negative or nonfunctioning included with this, its a turn key package lots of fun for you and a buddy or easy to dock in and out by yourself. Sorry I don't seem to have a pic of the boat sitting on the trailer, but if your interested i can easily send you more pics directly or you can come see for yourself. I WANT A 4 WHEELER",,5916051457,38.013200,10,-78.034700,,"https://maps.google.com/maps/preview/@38.013200,-78.034700,16z",,$2000,power, (Louisa),Boat with THE WORKS - trade for 4 wheeler,https://charlottesville.craigslist.org/boa/5916051457.html,
9,,"['38.370000', '-78.297600']",2016-12-18 08:56,"I have a very nice NRS paddling that is not getting used. The jacket is clean, odorless and in very good condition. It has a neoprene neck and wrist with Velcro straps to keep the water out.  The jacket is a men's large. Thanks",,5924089757,38.370000,10,-78.297600,,"https://maps.google.com/maps/preview/@38.370000,-78.297600,16z",,$50,human, (Madison),Men's NRS Paddling Jacket,https://charlottesville.craigslist.org/boa/5924089757.html,
