,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['37.495781', '-76.302109']",2016-12-11 11:43,"Want to buy 16 or 17 foot center console either a skiff like Boston Whaler or Carolina Skiff or V hull like a Palm Beach with or without motor.  Price will depend on condition, features, etc.  Will listen and reply to all offers.",,5901531383,37.495781,16,-76.302109,,"https://maps.google.com/maps/preview/@37.495781,-76.302109,16z",,$1,power,,wanted to buy 16 ft center console,https://charlottesville.craigslist.org/boa/5901531383.html,
1,,"['37.822100', '-77.188500']",2016-12-10 19:18,"I have a 1993 20 ft trophy w/a with a 2000 Johnson 175 that runs great and very clean the trailer is a 2005 no rust the boat has a radar arc with rod holders ,led lights , gps , marine radio asking 4000 no trades or spam show contact info",,5901478881,37.822100,20,-77.188500,,"https://maps.google.com/maps/preview/@37.822100,-77.188500,16z",,$4000,power, (Kingwilliam),20 ft walkaround with 175 johnson,https://charlottesville.craigslist.org/boa/5901478881.html,
2,fair,,2016-12-10 17:36,Vintage  Military Boat. We believe it is a Military boat that was dropped out of planes. Has large eye bolts for hooks. Made if fiberglass and steel plates. Extremely heavy. Fiberglass cover slides back.  There is 2 slots on back of boat that may have had covers. If so the covers are missing(see photo). Number on boat H-6 DUO-1-204. Were told it could be from the Vietnam War. Could not find any information on this boat. Boat will fit on a 5x10 long trailer(not included). Reduced to $300.Our loss is your gain. Must be moved ASAP. Contact if interested.,,5909605293,,10,,,,,$300,human, (Louisa),Vintage Military Boat RARE FIND!,https://charlottesville.craigslist.org/boa/5909605293.html,
3,new,[],2016-12-10 14:30,"This boat is brand new, purchased from Angler's Choice in Martinsville in June, 2016. My job responsibilities and overtime requirements changed two weeks after purchase and I just don't have time to use it. 200 hp PRO XS OPTIMAX motor, 80# thrust MinnKota Fortrex trolling motor, hot foot. I am selling it well below the payoff. We have run the initial break-in period on the motor (1 hour) and then less than 6 hours of use. It has had the cover on it or been garage kept when not in use. I upgraded the battery bank, upgraded the trolling motor to the Fortrex and had the hotfoot put in upon purchase.",7,5913887442,,18,,Triton,https://maps.google.com/?q=loc%3A+%31%33%30%31+Grove+Road+Lynchburg+VA+US,18 TRX,$36000,power," (Lynchburg, VA)",BRAND NEW 2016 Triton 18 TRX,https://charlottesville.craigslist.org/boa/5913887442.html,2016
4,,,2016-12-10 11:23,"18ft aluminum skeeter with yamaha 90/65 jet Boat has been completly customized an set up for running the river. Tunneled hull, raised transom, an 3/16 reenforced bottom put on by James river jets. UHMW bottom cover. Boat is set up stick steer an hot foot throttle. 1998 yamaha 90/65 jet, motor is in excellent shape an very dependable an just completly serviced. Minn kota fortrex 101, 36volt, 3 brand new deep cells. Live well, 20 gal gas tank, lots of storage, front an back fishing decks. Trailer is in good shape almost new tires. Boat runs an performs awesome. Runs in just inches of water an plans out great. Perfect smallmouth boat! Title for both asking $12,000 Call/text show contact info",,5909175015,,18,,Skeeter,,,$12000,power, (Henrico),River jet boat,https://charlottesville.craigslist.org/boa/5909175015.html,1998
5,like new,,2016-12-10 09:40,"2012 Sea Ray 190 Sport has approx 16 hours almost like brand new. Boat is 19.8 feet and 4.3L engine.  Was on the water only a few times. Kept very clean and well maintained. Includes 2012 Shorelandr trailer, life vests and 2 tubes! Contact for more info and pictures.",16,5908108937,,20,,Sea Ray,,190,,power,,2012 Sea Ray 190 Sport,https://charlottesville.craigslist.org/boa/5908108937.html,2012
6,excellent,"['38.157800', '-78.491900']",2016-12-09 23:54,"14' Sea Nymph V-Hull aluminum boat Evinrude 15 horsepower motor with 6.5-gallon Neptune fuel tank 55# Minn-Kota Endura Max electric trolling motor with deep-cycle marine battery and Minn-Kota Power Center battery box 1 pair ash oars with oarlock pins Skipper trailer with sealed hubs Accessories: 2 dock lines, safety chain for motor, transom straps for trailering, 2 Cannon swivel/lock rod holders, mushroom anchor with line, owner's manual for electric motor, service manual for gas motor, earmuff-style hose fitting for flushing motor This boat has been owned by one local family its entire life, always stored in a garage when not in the water, and is in excellent condition.  It's perfect for local lakes and ponds, larger rivers, and sheltered inshore waters.  You can row it or use the electric motor where gas motors are prohibited, or use the 15-horse for Lake Anna, Smith Mountain Lake, and other larger bodies of water.  The motor was just serviced by the repair shop at Sturgeon Creek Marina--carburetor rebuild, new impeller, new kill switch-- and is ready to go. $2500",,5913165098,38.157800,14,-78.491900,Sea Nymph,"https://maps.google.com/maps/preview/@38.157800,-78.491900,16z",14R,$2500,power, (Earlysville),"14' aluminum v-hull boat with  2 motors, trailer",https://charlottesville.craigslist.org/boa/5913165098.html,1988
7,,"['37.976545', '-78.214417']",2016-12-09 23:18,"Hey folks, I am looking for a 40-50hp outboard boat motor. Can be Evinrude, Yamaha, Mercury or Johnson. Looking for something in running condition. It must be a long shaft and electric start. Let me know what you have, I am ready to buy!!! Thanks!!",,5913142105,37.976545,1,-78.214417,,"https://maps.google.com/maps/preview/@37.976545,-78.214417,16z",,,power,,Looking for 40 or 50hp Outboard,https://charlottesville.craigslist.org/boa/5913142105.html,
8,new,"['36.773817', '-79.584446']",2016-12-09 20:19,"New 2016 Nitro Z18 with Mercury 150 Pro XS. 24 volt trolling motor, Lowrance Mark 5x Pro graph. Brand new, never been in the water. This boat was won in a fishing tournament can't get this deal at any dealer!!",0,5912994756,36.773817,18,-79.584446,Nitro,"https://maps.google.com/maps/preview/@36.773817,-79.584446,16z",Z18,$26000,power," (Callands, VA)",Nitro Z18 Bass Boat 2016 (Brand New),https://charlottesville.craigslist.org/boa/5912994756.html,2016
9,,"['38.219200', '-78.046100']",2016-12-09 15:35,In Excellent condition.  22feet Pontoon boat with 92 HP motor.  1999!!! Call me at show contact info,,5908019025,38.219200,22,-78.046100,,"https://maps.google.com/maps/preview/@38.219200,-78.046100,16z",,$3500,power,,1992 Pontoon Boat $3500,https://charlottesville.craigslist.org/boa/5908019025.html,
