,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,new,,2016-12-20 14:07,"New 2017 Galvanized Pontoon Trailers by LoadRite Don't settle for a painted trailer!! All Trailers are in stock, and ready for your boat! New Single Axle Trailer up to 20ft - $1595 New Single Axle Trailer up to 23ft - $1695 New Dual Axle Trailer up to 25ft - $2195 New Dual Axle Trailer up to 25ft with Brakes - $2595 ***All Trailers are equipped with front boarding ladder*** Twin Lakes Marine Call/Email for more info",0,5927113364,,0,,LoadRite,,,$1595,power, (Buggs Island Lake/Kerr Lake),New 2017 LoadRite Galvanized Pontoon Trailers,https://danville.craigslist.org/bod/5927113364.html,2017
1,,"['35.556500', '-78.264000']",2016-12-19 16:48,see Raleigh NC craigslist for details   call before 8pm,,5898471416,35.556500,21,-78.264000,,"https://maps.google.com/maps/preview/@35.556500,-78.264000,16z",,,power,,2014 nautic star 214 XTS BAY under100 hrs LIKE NEW!!!ma,https://danville.craigslist.org/boa/5898471416.html,
2,excellent,"['37.060591', '-79.396558']",2016-12-18 19:35,25 foot Aqua Patio tritoon - pontoon boat for 15 people w/ Yamaha F225 4 stroke motor. 2010 in excellent condition with Snap-On cover. w/ Lowrance HDS-8 Fishfinder/GPS Chartplotter w/ Ram Mount. w/ Lowrance Structure Scan. w/ Minn Kota 80 Riptide trolling motor. w/ Live Well. w/ Privacy changing stall. See it at Leesville Lake Marina. Price reduced.,259,5917350242,37.060591,25,-79.396558,Aqua Patio,"https://maps.google.com/maps/preview/@37.060591,-79.396558,16z",24TT-25,$25900,power, (Gretna),"2010 Aqua Patio tritoon, 25 ft. 225HP Yamaha 4 stroke",https://danville.craigslist.org/boa/5917350242.html,2010
3,excellent,[],2016-12-18 18:55,"I'm selling a 2000 javelin renegade 19 dual console, Johnson 175. It has a 2009 minnkotta trolling motor 70lb 24V and it recessed in the floor. It has original carpet , in great shape. New covered seats marine grade leather, two tone burg/tan. 3 bran new batteries, 27 series 1 optima and 2 interstate. Lowrance graphs. All storage lids are aluminum. There's no soft spots. It has retractable rod straps. I have the lean seat and rear seat with back rest. I have a full cover. Everything works great there's absolutely nothing wrong with this boat it runs good with 4 blade 60mph. And white the raker 3 blade 68mph. And it may run faster I just haven't held it wide open long.  This boat hasn't been rode hard and put up wet. I take good care of my things so they last a while it's been garage kept.  The motor runs great. I purchased this boat from competition marine in basset va. Last year and haven't burned 4 tanks of gas since I bought it. When I purchased the boat he said the motor was rebuilt never been bored just had to replace one sleeve. It has great compression I had an issue earlier this year the boat was making a clunk noise at half throttle and I took it to him , he checked it out and said my lower unit was the problem so we decided to buy a new one instead of rebuilding it. So that's new. I have 2 props both stainless 4 blade shooter and 3 blade Raker. Power trim works double live wells 2 rod storage one big lure storage and 2 big misc. storage behind both seats.  This boat is a great boat. Never has let me down or stranded just needs a new home. The reason I'm selling is I just had a little girl and I'm not going to have time to use it. And I have 3 more boats they're more of a family oriented boat. If u have any questions feel free to ask.  Oh and the trailer is included new bearings,brakes, tires ,and lights and all new wires. Not interested in trades or pay pal. Cash money!!! U want it shoot me a offer.",,5924736859,,19,,Javelin,https://maps.google.com/?q=loc%3A+%39%36%30%35+us+hwy+%32%39+Blairs+VA+US,Renegade 19 DC,$8000,power, (Blairs),00 JAVELIN BASS BOAT,https://danville.craigslist.org/boa/5924736859.html,2000
4,new,,2016-12-18 17:37,NEW 2016 ROUGHNECK 1655 BIG RIVER SIDE CONSOLE. BOAT IS SHADOWGRASS CAMO WITH THE GATOR SKIN LINER. IT HAS A LARGE FRONT CASTING DECK AND COMES WITH TWO CAMO PEDESTAL SEATS. POWERED BY A 40 HP YAMAHA 4 STROKE MOTOR. INCLUDES DRIVE ON GALVANIZED TRAILER.,,5924704907,,16,,LOWE,,1655,$12995,power," (REIDSVILLE, NC)",2016 LOWE 1655 BIG RIVER,https://danville.craigslist.org/bod/5924704907.html,2016
5,like new,,2016-12-18 17:26,"2004 G 3  165 BASS BOAT THAT IS IN GREAT SHAPE!   FEATURES INCLUDE; HUMMINGBIRD 698 HD SONAR W/ GPS ON HELM.  MINN KOTA TROLLING MOTOR THAT HAS 40 LB THRUST.   IT HAS A HELIX 5 HUMMINGBIRD FISH FINDER MOUNTED ON THE BOW.  BOAT HAS A LARGE AEREATED LIVE WELL, 2 LARGE ROD BOXES, A PRO SPORT BATERRY CHARGER, AND A BOAT COVER. IT IS POWERED BY A 2004 40 HP YAMAHA MOTOR AND COMES WITH A G3 DRIVE ON TRAILER.",,5912609046,,16,,G3,,165,$6995,power," (REIDSVILLE, NC)",2004 G3 165 BASS BOAT,https://danville.craigslist.org/boa/5912609046.html,2004
6,good,,2016-12-18 00:04,10ft john boat good condition has a it has 1 or 2 dents but thats it its a Lowe brand looking to trade or sell seeing what i can trade for or how much i can get make me offers text any time if you make call after 5:00pm asking $350,,5923885025,,10,,Lowe,,Tyler,$350,power,,John boat,https://danville.craigslist.org/boa/5923885025.html,
7,good,,2016-12-17 21:04,"Great Bass Boat for sale, 3 batteries 1 cranking and 2 trolling, great carpet,2 seats with 1 butt seat, single console, cover, batterycharger and carbs rebuilt, call show contact info",,5923768489,,18,,270/stratos,,stratos/270,$7000,power, (Martinsville),1994 Stratos 270,https://danville.craigslist.org/boa/5923768489.html,1994
8,like new,[],2016-12-16 17:19,14ft fiberglass fishing boat 35hp evinrude Troll motor suntop two seats fish finder nothing down take payments of $250 for 6 payments clean and great for lake river ect text robert At show contact info boat at elkhorn lake Java virgina Thanks WILL FINANCE,,5922270123,,14,,Palco,https://maps.google.com/?q=loc%3A+%32%35%30%30+Elkhorn+Rd+Java+VA+US,,$1500,power, (Java),14ft fiberglass boat,https://danville.craigslist.org/boa/5922270123.html,2010
9,,"['36.596800', '-80.037300']",2016-12-13 18:24,"aluminum trailer, with new tires, has new inboard 6 cylinder gas engine, open stern and bow, very good condition, has canvas cover, call ronnie at show contact info",,5910043099,36.596800,17,-80.037300,,"https://maps.google.com/maps/preview/@36.596800,-80.037300,16z",,$6500,power," (spencer, va)",2001 REGAL 17 FOOT BOAT,https://danville.craigslist.org/boa/5910043099.html,
