,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,,2016-12-11 19:01,2015 Carolina Skiff 198 DLV Great all around Boat has Garmin Navagation Flush mounted on center console. Flush mounted Blue tooth stero. Boat is in excellent condition  Cleaned after every use.  still has warranty on motor and Hull. 90 HP susuki Motor.,,5915439846,,19,,Carolina,,Skiff,$23000,power, (Providence),2015 Carolina Skiff 198,https://danville.craigslist.org/boa/5915439846.html,2015
1,excellent,[],2016-12-11 09:19,"Large cabins and comfortable in every way  58 wide body Hatteras motor yacht with 3 heads or toliets and 3 staterooms( bedrooms( large saloon and aft deck and very large flybridge  and seating. Two Detroit engines 550 hp each total 1100 hp  plus 20 kw onan generator  four ac units cruiseair. excellent condition and paint teak trim recently  varnished.. best covered slip in Galveston Yacht Basin  Reduced from $249,950 to $219,950. also have  sport fish Hatteras 46 with 1350 hp Detroit DDEC engines and new genset and good ac units cruiseair  new toliets  and interior  Value $169,950 owner drastically reduced to $109,950. Owner retiring no trades",200,5873007724,,58,,Hatteras,https://maps.google.com/?q=loc%3A+%36%31%35+Holiday+Dr+Galveston+VA+US,SPORTFISH/MOTOR YACHT,$109900,power, (Galveston Yacht Basin),Hatteras Motor Yacht 58 and 46 Sportfish,https://danville.craigslist.org/boa/5873007724.html,1980
2,,,2016-12-10 20:38,2005 Sea Doo RXT & GTX watercrafts with very low hours. RXT has 35 hours and GTX has 31 hours. Both were adult driven and were always stored in my garage. Both units are supercharged.,,5904959656,,10,,,,,$3000,power,,↹↹↹Mint Condition RXT GTX↹↹Sea Doos and Trailer fr,https://danville.craigslist.org/boa/5904959656.html,
3,,,2016-12-10 17:59,"Older trailer, could use some work but does have clean title.",,5914179605,,14,,,,,$200,human, (Virgilina),14' Jon Boat Trailer,https://danville.craigslist.org/boa/5914179605.html,
4,like new,,2016-12-10 09:29,Bought this boat mo ago and has only 32 on it .  Have to move and no where to put it so its up for sell.  Its clean and the motor was rebuilt Yamaha 4 stroke 50 hp.and the trailer is good shape with new  new tires and spare.  its center console with depth finder and trolling motor with all the stuff to make ya legal in the water.  Price is neg but what I paid for it.  Hull has lifetime warranty on it!,,5913428939,,17,,Key Largo,,,$6500,power," (Lawsonville, NC)",Key Largo 17 ft 2004,https://danville.craigslist.org/boa/5913428939.html,
5,,,2016-12-10 08:16,"I have a 1969, 14 foot boat made by sears. It has a 10hp motor and a trolling motor. All the lights work and I have it registered and titled. The trailer is custom built. I will sell everything for $1,000 obo or if someone is interested I will sell them separate. Call show contact info",,5892913522,,14,,,,,$1000,power," (Danville, VA)",14ft V-Hull Boat and 10hp Motor,https://danville.craigslist.org/boa/5892913522.html,
6,like new,,2016-12-09 15:35,"2004 G 3  165 BASS BOAT THAT IS IN GREAT SHAPE!   FEATURES INCLUDE; HUMMINGBIRD 698 HD SONAR W/ GPS ON HELM.  MINN KOTA TROLLING MOTOR THAT HAS 40 LB THRUST.   IT HAS A HELIX 5 HUMMINGBIRD FISH FINDER MOUNTED ON THE BOW.  BOAT HAS A LARGE AEREATED LIVE WELL, 2 LARGE ROD BOXES, A PRO SPORT BATERRY CHARGER, AND A BOAT COVER. IT IS POWERED BY A 2004 40 HP YAMAHA MOTOR AND COMES WITH A G3 DRIVE ON TRAILER.",,5912609046,,16,,G3,,,$7500,power," (REIDSVILLE, NC)",2004 G3 165 BASS BOAT,https://danville.craigslist.org/boa/5912609046.html,2004
7,,"['36.596800', '-80.037300']",2016-12-07 18:41,"aluminum trailer, with new tires, has new inboard 6 cylinder gas engine, open stern and bow, very good condition, has canvas cover, call ronnie at show contact info",,5910043099,36.596800,17,-80.037300,,"https://maps.google.com/maps/preview/@36.596800,-80.037300,16z",,$6500,power," (spencer, va)",2001 REGAL 17 FOOT BOAT,https://danville.craigslist.org/boa/5910043099.html,
8,,"['35.556500', '-78.264000']",2016-12-06 12:35,see Raleigh NC craigslist for details   call before 8pm,,5898471416,35.556500,21,-78.264000,,"https://maps.google.com/maps/preview/@35.556500,-78.264000,16z",,,power,,2014 nautic star 214 XTS BAY under100 hrs LIKE NEW!!!ma,https://danville.craigslist.org/boa/5898471416.html,
9,good,,2016-12-06 10:31,"- 1994 Hurricane Deck Boat - 226R Godfrey - Includes Trailer and Bimini top - Evinrude Ocean Pro V6 150 motor - Radio, storage and boat cover",,5907751310,,22,,Hurricane,,226R Godfrey,$7000,power, (Hyco Lake),Hurricane Deck Boat,https://danville.craigslist.org/boa/5907751310.html,1994
10,excellent,,2016-12-04 22:40,"garaged, great shape, freshwater it's whole life, mercruiser 3.0litre engine, 3 battaries, trolling motor, baitwell, livewell, new Bimini custom made, everything works, calls only, show contact info",,5905766430,,185,,sylvan,,185 fish/ski,$5600,power, (seminole),2002 sylvan fish/ski open bow freshwater,https://danville.craigslist.org/boa/5905766430.html,2002
11,excellent,"['36.592700', '-79.657400']",2016-11-30 18:20,G3 V170C For sale. Go to Raleigh C.L. to see pics & info,,5858176698,36.592700,17,-79.657400,G3,"https://maps.google.com/maps/preview/@36.592700,-79.657400,16z",V170C Angler,$13500,power," (Cascade, Va.)",2013 G3 V170C Angler,https://danville.craigslist.org/boa/5858176698.html,
12,excellent,,2016-11-28 16:48,"Listing for a 2013 Stratos 176 VLO purchased new in February 2013. The motor is a 2012 Mercury 75HP EFI 4 stroke that was brand new out of the crate.  The boat is in excellent condition. Plenty of upgrades in the way of electronics. Best of what lowrance has to offer. Only a couple minor cosmetic issues, nothing serious. Easy fixes and if left untouched will not cause any issues. Will be glad to give details to serious inquiries. Price is negotiable within reason. Email or text me at show contact info Work schedule is busy and texts/email is best. Will respond as soon as possible. Thanks.",,5896456613,,17,,Stratos,,176VLO,$15500,power, (Danville),2013 Stratos 176VLO,https://danville.craigslist.org/boa/5896456613.html,2013
13,like new,[],2016-11-27 21:15,"Christmas on the river!  Put a big red bow and you are ready to slide this under the tree on Christmas Eve. Old Town Vapor Angler 12. Urban camo color. $390. like new, used one season, light river rash on bottom. (List for $650 new).",,5895252236,,12,,Old Town,https://maps.google.com/?q=loc%3A+%33%34%32%35+Fairystone+Park+Highway+Bassett+VA+US,Vapor Angler 12,$390,human, (Bassett),Old Town Vapor 12 Angler,https://danville.craigslist.org/boa/5895252236.html,2015
14,good,"['36.415100', '-79.194200']",2016-11-26 13:06,"1984 Sterling with LS-1 5.3 and twin turbos. New Trailer, built and registered in 2015 with alloy wheels. Paint needs some attention on the top deck due to fuel overflow, header gaskets and valve cover gaskets need replacing. Lake ready right now, not a project boat. 500 plus HP Call David 919-607-one two nine five",20,5893187058,36.415100,20,-79.194200,STERLING,"https://maps.google.com/maps/preview/@36.415100,-79.194200,16z",Jet,$8500,power, (Yancyville),Jetboat,https://danville.craigslist.org/boa/5893187058.html,1984
15,fair,[],2016-11-25 10:46,kayak molds,,5891545063,,14,,,https://maps.google.com/?q=loc%3A+%38%33%32+E%2E+Main+Street+Independence+VA+US,,$100,human, (Independence va),kayak molds,https://danville.craigslist.org/boa/5891545063.html,
