,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-11 16:25,It's in good shape and comes with an electric trolling motor. Lights on trailer work and I have the title to the trailer as well. $1100 OBO. Call/Text at 540-760- seven three one eight,,5904485303,,14,,,,,$1100,power," (Stafford, VA)",14' Jon Boat with Trailer (Need Gone ASAP),https://fredericksburg.craigslist.org/boa/5904485303.html,
1,,"['38.303562', '-77.737796']",2016-12-11 16:07,For sale or trade. 17 foot pro craft. The boat runs great. The only reason for selling is I got a bigger boat. I can take you on a water test if you want.  I may do a partial trade for guns and cash. 3300 obo.,,5915234345,38.303562,17,-77.737796,,"https://maps.google.com/maps/preview/@38.303562,-77.737796,16z",,$3300,power, (Spotsylvania),Pro craft,https://fredericksburg.craigslist.org/boa/5915234345.html,
2,excellent,"['38.371372', '-77.529616']",2016-12-11 15:45,"This is the nicest 2003 boat you will find.  It has been one owner, garage kept and cared for and it shows.  This boat has the original prop that shows its remarkable shape that the whole boat is in.  It has a 4 Stroke Yamaha 115 motor that runs very well.  All maintenance done well before required.  It is one of the easiest motors to maintain.  Easy loading Shorelander trailer with guides and swing tongue.  Full Minnkota 55lb wireless trolling motor on the bow with fish finders up front and helm.  FM CD player with remote also in the helm.    Motor has hose hookup for flushing and starting at home.  Batteries and charger are less than 2 years old.  Great family boat and versatile to 2 up fishing.  Has 2 live wells and ample storage.  Many accessories included (cover, hull saver, life vests, bumpers, spare tire, etc).  Clear title in hand.  No stupid offers and no joy rides.  I don't want any assistance to sell and no unusual situations.",,5915205167,38.371372,18,-77.529616,Alumacraft,"https://maps.google.com/maps/preview/@38.371372,-77.529616,16z",Trophy 175,$12000,power, (Fredericksburg),2003 Alumacraft Trophy 175,https://fredericksburg.craigslist.org/boa/5915205167.html,2003
3,,"['38.310207', '-77.769967']",2016-12-11 15:19,"We are looking for Ski Boats, bow riders, pontoons, jet skis, jet boats, bass boat, bay boats, amphibious vehicles, and more. If it has an engine, a title, and goes on the water, we want it. We are Lake of the Woods Adaptive Watersports. We use specialized equipment to waterski Veterans and Children with disabilities. We take in donated vessels, fix them up, and sell them to support our events. We are a local charity that puts every dollar towards keeping our events free for the participants. We are a registered 501c3 charitable foundation. So, if you donate a boat, you can get a donation receipt to use as a write off on your taxes. Please consider donating your boat today! Please do not email. Text or Call Thomas at 443-five five three- 4912 Mastercraft, Moomba, Malibu, Correct Craft, Nautique, Epic, Tige, Axis, Ski Brendella, Supra,",,5881455351,38.310207,20,-77.769967,,"https://maps.google.com/maps/preview/@38.310207,-77.769967,16z",,$1,power, (Lake of the Woods),Donate your Boat!,https://fredericksburg.craigslist.org/boa/5881455351.html,
4,fair,"['38.312336', '-77.779514']",2016-12-11 15:19,"1988 Winner Bandit Fishing Boat project. It has a running 150HP Evinrude Motor and a working pedal controlled trolling motor. Hull is good. Trailer is good. Both Boat and Trailer have titles. It needs interior work, electrical work, clear coat work, and the steering and gauges hooked up. Perfect winter project for someone who has time to put a little love into it. All the parts come with it, including the service manual and all paperwork. Will consider selling the engine separately for $800.00 Call or Text Thomas at 443-five five three-4912",,5892214027,38.312336,18,-77.779514,Winner,"https://maps.google.com/maps/preview/@38.312336,-77.779514,16z",Bandit,$1000,power, (Lake of the Woods),Bass Boat Project,https://fredericksburg.craigslist.org/boa/5892214027.html,1988
5,new,,2016-12-11 11:55,"We are a boating Community in Colonial Beach Virginia and offer boat slips of all sizes and water depths. Boat slips range in price from $15,000 to $35,000 but are heavily discounted when a home is purchased. Come visit Monroe Point today. Our brand new model home featuring a spacious and open floor plan is open is open Friday, Saturday, Sunday and Monday from 11 am to 5 pm or by appointment. Monroe Point is a luxury waterfront community 60 miles from Washington, DC. We offer boat slips, a one mile waterfront trail, and a soon to be built community pool. Come join the 80 home owners who are already enjoying the dream. We are currently offering 3 different models: The Bay View - our featured floor plan an incredible value starting at $196,900 The Meadow View - a two level three bedroom plan for $169,900 The Potomac - all living spaces and the master suite on the ground floor for $209.900",,5897409340,,30,,,,,$15000,sail," (Colonial Beach, VA)",Boatslips of All Sizes at Monroe Point a Boating Community,https://fredericksburg.craigslist.org/boa/5897409340.html,
6,,"['37.438300', '-76.354400']",2016-12-11 11:43,"Want to buy 16 or 17 foot center console either a skiff like Boston Whaler or Carolina Skiff or V hull like a Palm Beach with or without motor. Price will depend on condition, features, etc. Will listen and reply to all offers.",,5901535036,37.438300,16,-76.354400,,"https://maps.google.com/maps/preview/@37.438300,-76.354400,16z",,$1,power,,wanted to buy 16 ft center console,https://fredericksburg.craigslist.org/boa/5901535036.html,
7,,"['38.770700', '-77.449400']",2016-12-11 10:37,Super clean only 140hrs. $4600 upgraded sound system. All the life jackets and towables included. Recently detailed and ready to go. $2000 trailer included. show contact info,140,5914792163,38.770700,24,-77.449400,chaparral,"https://maps.google.com/maps/preview/@38.770700,-77.449400,16z",236 ssx,$28500,power, (manassas),2007 SUPER CLEAN 236 ssx,https://fredericksburg.craigslist.org/boa/5914792163.html,2007
8,excellent,,2016-12-11 00:30,"12 foot V bottom camo john boat & trailer, $500 cash, call Thurman for more details, calls only please, show contact info im currently in the hospital so serious calls only please ;)",,5902305152,,12,,,,,$500,power, (caroline),V bottom 12foot camo jon boat & trailer,https://fredericksburg.craigslist.org/boa/5902305152.html,
9,,,2016-12-10 22:32,"I'm selling my Jon boat with trailer in great shape. Comes with newer seats, gas tank, fuel lines and rope. Also comes with a 50 lb trolling motor, battery, and battery charger. The deck is carpeted as well. I have the title for the trailer. $1500 OBO. Call/Text at 540-760-seven three one eight. Make an offer",,5914429110,,12,,,,,$1500,human," (Stafford, VA)",12' Jon Boat with Trailer,https://fredericksburg.craigslist.org/boa/5914429110.html,
