,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 17:26,2000 Mercury mouse with 15 hp Mercury outboard. Runs great. Included is very nice Triton aluminum trailer. Has electric start. Any questions call me at show contact info,,5909022975,,10,,Mercury,,,$4500,power, (Virginia Beach Virginia),Mercury Mouse,https://norfolk.craigslist.org/boa/5909022975.html,2000
1,,,2016-12-20 17:20,"CALL FOR SPECIALS!!!! Same day service. Certified Mechanic in Mercruiser, Volvo Penta & Yamaha Outboards, can do Repowers/Rebuilds, with over 20 years experience. Can also transport for you.",,5927394873,,1,,,,,,human,,Boat Repair-WINTERIZATION SPECIAL!,https://norfolk.craigslist.org/boa/5927394873.html,
2,,"['37.419400', '-76.902700']",2016-12-20 17:13,"2008 Triton Boats 281CC with 2008 Marine Master Trailer Key Features: Family Package (bow cushions, AM/FM/CD stereo, and rear cushion fold down bench seat) Fishing Package (TACO grand outriggers (with crank base upgrade), and bulkhead rocket launchers) Leaning post upgrade with tackle storage TRI Pro battery charger Custom Strataglass enclosure for T-Top Anchor Windlass system Raymarine E120 ICOM VHF radio Twin Mercury 250 hp Verado 4-stoke outboards (with power steering, digital gauges, and digital throttle and shift) China head (with holding tank and overboard discharge) with fresh water sink GPS fish and radar Beam: 9ft 8in Trailer: 2008 Marine Master triple axle aluminum trailer.  Six new tires and new brakes.",,5894140272,37.419400,28,-76.902700,,"https://maps.google.com/maps/preview/@37.419400,-76.902700,16z",,$82500,power, (Lanexa),2008 Triton Boat 281 CC with Marine Master Trailer,https://norfolk.craigslist.org/boa/5894140272.html,
3,good,,2016-12-20 16:57,"1981 boat , trailer and engine. I bought thinking I would have time to use but it didn't work out that way. It runs. The price is negotiable. I really would like to do a even trade for a truck. Something of equal value. I'm open to all trades though. The worse I could say is no.",,5927364833,,16,,Carlson Glastron,,16 ft,$3000,power, (Virginia Beach),Carlson Glastron 16 ft,https://norfolk.craigslist.org/boa/5927364833.html,1981
4,,"['36.734100', '-76.035900']",2016-12-20 16:51,Cyan blue Pelican Kayak one seater with storage area. Used it only one time. Been in the garage ever since. Also have paddle to include and a large life vest. $240 obo text or call 757-three75-zero711,,5927357140,36.734100,10,-76.035900,,"https://maps.google.com/maps/preview/@36.734100,-76.035900,16z",,$240,human, (Va Beach),Pelican Kayak,https://norfolk.craigslist.org/boa/5927357140.html,
5,like new,,2016-12-20 16:42,"Sit on top no flip , no leaks 2 years old stored in doors , no paddles.",,5896265872,,8,,Dayllite,,,$100,human, (Va beach),Kayak 8 ft.,https://norfolk.craigslist.org/boa/5896265872.html,2014
6,,,2016-12-20 16:30,"The Newport is the same hull as the Montauk, but with a wider console. Boat is from late seventies, title in hand. Will need some TLC. Galvanized trailer in good condition. Original Evinrude 85 hp outboard - will need tune up. Reduced for very fast sale, $3500!",,5921563138,,17,,,,,$3500,power, (Yorktown),Boston Whaler 17 foot Newport,https://norfolk.craigslist.org/boa/5921563138.html,1978
7,,,2016-12-20 16:25,"Do you have a Whaler sitting around collecting dust, leaves, rain, etc?  Sell it to me. Email all details possible INCLUDING PRICE. If we make a deal, I'll buy it today with cash. All sizes and years considered.",,5912283996,,9,,,,,,power,,Boston Whaler Wanted,https://norfolk.craigslist.org/boa/5912283996.html,
8,,"['36.839200', '-76.152200']",2016-12-20 15:48,"Got in July for $550, yours for $425 Text Marc 757-four 50- 36 two 0 Dimensions: L 103'' x W 48'' x H 20'' Weight: 100 lbs Capacity: 550 lbs HP Rating: 3 HP Rugged UV-stabilized Fortiflex high density polyethylene deck and hull 2 adjustable and removable swivel seats for comfort Recessed beverage and tackle holders Flat bottom design for maneuvering in shallow water Built-in bow and stern motor mounts Pre-wired for electric trolling motors Compact design easily fits into truck bed or van Formed battery box location Carry handles Meets CE and US Coast Guard safety standards",,5914239131,36.839200,103,-76.152200,Sun dolphin,"https://maps.google.com/maps/preview/@36.839200,-76.152200,16z",,$425,power, (Virginia Beach),Hunting bass boat,https://norfolk.craigslist.org/boa/5914239131.html,
9,excellent,,2016-12-20 15:26,"2-man Old Town Loon Kayak.  Slight V-bottom with flared sides.  Approx. 13' 8"" from stern to bow and cockpit width is 1' 3"".  Some scratches.  No leaks.  Excellent shape. Downsizing to move in the spring; otherwise, I would keep it.",,5927235132,,14,,Old Town,,Loon,$450,human, (Newport News - Williamsburg),2-man Kayak,https://norfolk.craigslist.org/boa/5927235132.html,
10,excellent,,2016-12-20 15:12,"14-foot Indian River fiberglass canoe.  Tunnel keel and 36-inch beam which makes it a very wide and stable canoe.  Weighs about 60 lbs and holding capacity is approximately 600 lbs. Has some scratches on it but is in great shape and no leaks.  Great family boat.  Had good times in it with my young grandchildren.  Getting ready to move in spring so am downsizing; otherwise, I would definitely keep it. Here is a description I found in a dealership pamphlet:  Indian River Canoes are a less expensive brand of lightweight canoe noted for high quality construction. They are fiberglass boats heavily reinforced in a one piece hull design. There are no seams or wooden rims. Stiffening is built into the hull design. Floatation materials are molded inside of the bow and stern of the boat. Gunwales are aluminum as are the metal cross braces. The seats are made of ash. Indian River canoes are designed to be easy to maintain, lightweight and easy to carry. The hull is finished with an isoppthalic gelcoat over 18 ounce woven fiberglass.",,5927214612,,14,,Indian River canoe,,,$250,human, (Newport News - Williamsburg),Canoe,https://norfolk.craigslist.org/boa/5927214612.html,
11,fair,"['37.440100', '-76.423800']",2016-12-20 15:00,"1976 pop top catalina with fixed keel. Boat is in fair shape for her age but could use some tlc and i don't have time to give it to her. The sails are in great shape, the main is new, never been sailed and the jib is in good shape too. The sail cover is new too. The cushions are usable but have seen better days. All reasonable offers will be considered. I have an old 9 hp outboard with an extended shaft I will sell if you need a motor. Call of text for more info. show contact info",,5908404966,37.440100,25,-76.423800,Catalina,"https://maps.google.com/maps/preview/@37.440100,-76.423800,16z",Sail boat,$1500,sail, (north),25' catalina pop top sailboat,https://norfolk.craigslist.org/boa/5908404966.html,1976
12,good,"['37.012560', '-76.453514']",2016-12-20 15:00,"End of season sale. 34 foot cabin cruiser. Operationally in great shape. Engines run great. Sea trial available in Newport News for serious buyers in the next week or so. She is not perfect, but for a 30 year old vessel, she is in good shape. Used frequently. Sold as is. Needs work on some things as any 30 year old boat does, however, not on the motors. Runs great. Was out cruising with Dolphins this past Sunday. Trying to sell before having to winterize. Priced to sell fast. 11,000.",800,5895844443,37.012560,34,-76.453514,Sea Ray,"https://maps.google.com/maps/preview/@37.012560,-76.453514,16z",340,$11000,power, (Newport News),Sea Ray 340,https://norfolk.craigslist.org/boa/5895844443.html,1986
13,excellent,"['37.279032', '-76.493626']",2016-12-20 15:00,"Badass fishing boat up for grabs, has driving stand on top as well as below which is a must have for sight casting. This boat has fished well for in the rivers bowfishing speckles and rays as well as offshore landing tuna and mahi.... everywhere in between. Has vhf, chart plotter, depth sounder, 2 batteries, tons of storage, bunch of rod holders ...everything you need and a few things you don't but are pretty damn cool to have. Motor is a 96 yamaha 250hp with ss prop. I've been above 50 mph in the right conditions. The trailer has new lights, bearings and tires. All and all its a great boat and I will be sad to see it go. The top also has a hard topped sun shade that isn't pictured. The last 2 pictures where before I added the driving stand. Call or text for more info or pictures",250,5908404211,37.279032,23,-76.493626,Maycraft,"https://maps.google.com/maps/preview/@37.279032,-76.493626,16z",,$30000,power, (Hayes),May craft 23' w/ tower,https://norfolk.craigslist.org/boa/5908404211.html,2001
14,like new,,2016-12-20 14:51,"Selling my Seadoo Utopia 205 Jet Boat, Twin 155 Rotax motors totaling 310HP with low hours, boat will do 57mph, non-supercharged (no rebuilding superchargers) very hard to find. Stored covered in warehouse, Great condition, Bimini top is built into boat and folds away, mostly Lake Gaston use, very little brackish water use, always cleaned, GPS fixed mounted, Stereo with new speakers, AUX, CD, amp, etc. Dual batteries with aftermarket switch, Table for picnics, boat cover, ropes, life jackets, wake-board, dock bumpers. 2010 Tandem axle trailer instead of the little one it comes with it, completely rebuilt axles all new, fold away tongue. Trailer was 4k alone, this boat and package is worth 25K plus. $19,900. All titles are free and clear, I will take serious buyers out for water trial, please be considerate of everyone's time, thank you. Lots of extras. 3 person tube, 2 person tube, several ski jackets, lines, anchor, wakeboard and more! Video Available Any and all inspections welcome. Just detailed, performs to factory specs and turnkey! Reasonable offers considered. Valuations available... Will consider delivering in FL and up and down east coast close to 95.",100,5923693690,,20,,Sea-Doo,,205 Utopia,$19900,power, (Chic's Beach),Immaculate 2007 Sea-Doo 205 Utopia with 2010 Dual Axle Trailer,https://norfolk.craigslist.org/boa/5923693690.html,2007
15,new,,2016-12-20 13:58,"New 2017 Galvanized Pontoon Trailers by LoadRite Don't settle for a painted trailer!! All Trailers are in stock, and ready for your boat! New Single Axle Trailer up to 20ft - $1595 New Single Axle Trailer up to 23ft - $1695 New Dual Axle Trailer up to 25ft - $2195 New Dual Axle Trailer up to 25ft with Brakes - $2595 ***All Trailers are equipped with front boarding ladder*** Twin Lakes Marine Call/Text/Email for more info",0,5927098106,,0,,LoadRite,,,$1595,power, (Lake Gaston/BuggsIsland/Kerr Lake),New 2017 LoadRite Galvanized Pontoon Trailers,https://norfolk.craigslist.org/bod/5927098106.html,2017
16,excellent,,2016-12-20 13:39,"2006 SeaDoo RXT, Supercharged, Perfect Condition, 1 owner, Senior Adult owned and cared for, only 112 original hours, supercharger rebuilt at 87 hours, wear ring also replaced at that time, Runs great, no problems or issues, no check engine or warning lights, Very Fast and Stable Ski!  Body and ski are in great cosmetic condition, always kept inside our warehouse when not being ridden, all services have been completed on time by the dealer, Looks like a 2015 ski not a 2006, waxed several times a year! come with a load rite trailer in perfect condition, tires may have 500 miles on them, no dry rot!   Ski comes loaded with everything you need to be safe on the water, and a few extras, flares, ropes, etc Comes with SeaDoo Complete Ski Cover VERY VERY NICE SKI, You Will Not Find a Better Used Ski ANYWHERE! i have the original titles for the ski and trailer Purchased New From Casey Cycle City, now cycle city center, in newport news $5200 i can be reached by email, or call-text show contact info",106,5896539152,,10,,sea doo,,RXT,$5200,power, (Hampton),"2006 Sea Doo RXT, 112 hours, IMMACULATE, Garage Kept, Trailer & Titles",https://norfolk.craigslist.org/boa/5896539152.html,2006
