,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,"['36.801200', '-76.423000']",2016-12-11 19:21,1977 GRADY WHITE BOAT AND TRL. TITLE FOR BOTH. CALL FOR INFO. show contact info,0,5915461388,36.801200,20,-76.423000,GRADY WHITE,"https://maps.google.com/maps/preview/@36.801200,-76.423000,16z",NTLOB101M76L,$350,power, (Ches. Va.),1977 GRADY WHITE,https://norfolk.craigslist.org/boa/5915461388.html,1977
1,good,"['37.104069', '-76.512394']",2016-12-11 19:17,Potomac path finder . 10ft kayak originally 235 with paddle .willing to trade for Xbox one asking 175 obo. Used about 5 times it has scratches on the bottom like every kayak that's been used . Feet placements that are adjustable. Weight limit is 250,,5915457271,37.104069,10,-76.512394,Potomac,"https://maps.google.com/maps/preview/@37.104069,-76.512394,16z",Potomac path finder,$175,human, (Newport News Virginia),KAYAK : POTOMAC PATHFINDER,https://norfolk.craigslist.org/boa/5915457271.html,2015
2,,[],2016-12-11 19:03,"1989 PURSUIT Cabin Cruiser; Fiberglass Hull--VERY CLEAN Mercruiser (260HP) Inboard / Outboard Motor (gasoline). Interior is VERY CLEAN. A small galley with sink, storage areas, and small concealed area for a mobile port-a-potty. Boat includes 1997 Load Rite Boat Trailer with NEW TIRES. Tires purchased in 2016; Never been driven. Free and Clear Title to Trailer; Clear Certificate to Title to a Vessel (#7430XX) ASKING PRICE $6,000.00 or OBO! Forgot to winterize after striper season ... so I have two new manifolds and risers (brand new, in box) ready to be installed. Includes NEW in BOX -- MANIFOLDS (*2) and RISERS (*2) -- see photos.",808,5915442642,,25,,PURSUIT,https://maps.google.com/?q=loc%3A+%31%31+WIND+MILL+POINT+ROAD+Hampton+VA+US,225SJ,$6000,power, (Hampton),1989 PURSUIT 25' CABIN CRUISER,https://norfolk.craigslist.org/boa/5915442642.html,1989
3,excellent,"['35.105726', '-77.062054']",2016-12-11 18:51,"1994 Grady white 17 foot in great condition, has 1994 Yamaha 130 with fresh tune up and fluid change, impeller kit and thermostats, runs strong and fast. No hour meter but has good compression and runs strong. Boat has new radio, gps, compass, safety gear, bimini top is good, trailer has brand new led lights and wiring, all new wheels tires and springs/hardware last spring. Im looking something smaller if you have a trade and cash. TXT 2five2four7four6five8zero. I have clear title for boat and trailer. May throw in some fishing gear with it.",,5915429282,35.105726,17,-77.062054,Grady White,"https://maps.google.com/maps/preview/@35.105726,-77.062054,16z",spirit175,$6100,power, (new bern),17 ft grady white with aluminum trailer.,https://norfolk.craigslist.org/boa/5915429282.html,1994
4,,"['36.808900', '-76.367100']",2016-12-11 18:48,Red Kayak is a Commander 140 comes with fishing rod holder  $900.00 Yellow Kayak is a Ride this is also set up to fish out of  $850.00   Both kayaks are 14 feet in length. The red Kayak is like new! The Yellow Kayak has a little more use but is in very good condition. 757-647-788_6,,5904955823,36.808900,14,-76.367100,Wilderness,"https://maps.google.com/maps/preview/@36.808900,-76.367100,16z",Commander 140,$1750,human,,Wilderness Kayaks,https://norfolk.craigslist.org/boa/5904955823.html,
5,good,,2016-12-11 18:34,"26' Long 9.6' beam 3.0 draft Built in 1993 by Oregon Iron Works. Powered by single Cummins 6BT diesel engine. 18+ kt boat burning 5.0 gallons per hour Hard top, with recessed nav lights. Radar,depth sounder, garmin 2010 gps chart plotter. Down rigger,  out-riggers. Trim tabs. $15,750.00 obro.",325,5915411529,,26,,Oregon Ironworks,,8 meter PE,$15750,power, (Va beach va),Sportfisher diesel,https://norfolk.craigslist.org/boa/5915411529.html,1993
6,like new,,2016-12-11 18:19,"Like brand new and garage kept. Side scan, 200 ax Yamaha with only 110 hours, matching trailer with all working lights. No issues at all. When I saw like new it's like new. Let me know if you have any questions.",110,5912149613,,20,,Skeeter,,Zx200,$36000,power, (Virginia Beach),"2014 Skeeter ZX200 bass boat, 200 VMAX Yamaha, trailer, and electronics",https://norfolk.craigslist.org/boa/5912149613.html,2012
7,like new,,2016-12-11 18:19,Fishing jet ski with only 131 hours. Most hours are trolling hours. Has Lowrence elite 4 HDI fish finder. Always washed and flushed after use. Has rod holders and ice chest holder for rear. Hold 4 rods. Trailer has new tires. No issues ready to ride. Must have cash in hand to test drive. Garage kept and adult owned. Title for both in hand. May trade,131,5898839207,,12,,Honda,,r-12x,$4200,power, (Virginia beach),2005 Honda aquatrax R-12x turbo fishing jet ski -$4200,https://norfolk.craigslist.org/boa/5898839207.html,2005
8,like new,,2016-12-11 18:19,"Kayak has rudder system, paddle, gel seat, plenty of storage and no issues. I carry it around in my 6.5 foot bed no problem. Super fast and tracks well. Great for bay fishing. May consider gun trade and cash. Email me details and pics.",,5880367563,,16,,Wilderness,,Tarpon 160,$1200,human, (Virginia beach),Wilderness tarpon 160 fishing kayak with rudder system-$1200,https://norfolk.craigslist.org/boa/5880367563.html,2015
9,,"['37.064327', '-76.492052']",2016-12-11 18:04,"25 foot Boston Whaler Revenge Walk Through Cuddy Cabin The boat is a rare find with the larger stern! I had it posted on Craigslist about a month ago and got cold feet and removed the posting. I've finally accepted that it's time to sell her. 1985 whaler - 1989 Evinrude 225hp The boat has been in the process of being restored this year and I was almost finished when I fell in love with another whaler so I'm letting her go. She runs great! I took her on a nice 25 mile cruise a few weeks ago from the Warwick River to Wolftrap Lighthouse at the mouth of the Chesapeake Bay. Great fishing boat! She was in a lighted boat parade on December 10th. New Spring 2016: Bottom Paint Topside Paint Rub Rail Bimini Top Professionally cleaned gas tank Fuel Lines Water Separators Fuel Lift Pump (engine) Electrical Panel LED Stern Light 2 Bilge Pumps Items I wanted to do to finish restoration but haven't yet: professionally flush the gas tank again for safe measure (I have an appointment with KleenFuel this week) finish wiring gages on console new cushions for cuddy (I still have original cushions) install soft side panels for interior (I have them in my garage) teak oil I'M SCHEDULING HOURLY SHOWINGS FOR SATURDAY, DECEMBER 17 AND SUNDAY DECEMBER 18.",,5915377446,37.064327,25,-76.492052,,"https://maps.google.com/maps/preview/@37.064327,-76.492052,16z",,$8000,power,,Boston Whaler 25 foot cuddy cabin,https://norfolk.craigslist.org/boa/5915377446.html,
