,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,like new,"['38.093600', '-78.561100']",2016-12-20 15:25,"Extremely clean, low hour Evinrude 7.5. Not even a scrape on the prop. Starts right up and pumps water. Tanks included.",,5927234329,38.093600,4,-78.561100,,"https://maps.google.com/maps/preview/@38.093600,-78.561100,16z",,$450,power, (Charlottesville),Evinrude 7. 5,https://lynchburg.craigslist.org/boa/5927234329.html,
1,excellent,,2016-12-20 12:35,Pelican Flash - 5 Passenger Pedal Boat 2 adult + 3 Child /775-lb capacity Adjustable seat backs Back to back seating On dock at Smith Mountain Lake Between Lake Marker R26 & R27 ...near Hales Ford Bridge,,5915974382,,6,,Pelican,,Flash,$300,human, (Smith Mountain Lake),Pelican Flash 5 Passenger Pedal Boat,https://lynchburg.craigslist.org/boa/5915974382.html,
2,excellent,[],2016-12-20 11:28,"The best seller in the X-series effortlessly delivers world class wakes with its proven hull, the most rooted V of any twenty two footer. Designed for maximum interaction, the massive twin-tip bow and ample main lounge holds sixteen friends. 2012 MasterCraft X25. Powered by a ILmor 5.7L with only 249 hours. Surf tabs Attitude adjustment plate Factory ballast right, left and center 7"" touch screen command center Gen1 Surf System with Perfect Pass and Zero off speed control Cockpit heater with Heated seats for those cool mornings with smooth water Depth finder ZFT 5p Power Folding hydraulic folding Tower with Swiveling/Clamping Board Racks Four Aluminum billeted tower speakers with forward facing tower lights Bimini top Snap out carpet Fiberglass swim platform Underwater lights Transom stereo remote control Removable ski pylon Bow ladder Full Cover Tandem Axle  Custom Trailer.",249,5926850250,,22,,MasterCraft,https://maps.google.com/?q=loc%3A+%31%32%35%35+Happy+Ours+Lane+Goode+VA+US,X25,$68795,power, (Goode),MasterCraft X25,https://lynchburg.craigslist.org/boa/5926850250.html,2012
3,,"['37.305766', '-79.270749']",2016-12-20 08:18,HILL CITY STORAGE ARE YOU TIRED OF HAVING THAT CAMPER SITTING IN THE DRIVEWAY? ARE YOU TIRED OF MOWING GRASS AROUND YOUR BOAT? HILL CITY STORAGE HAS SPACE AVALIABLE FOR YOU! STORE YOUR- -UTILITY TRAILERS -RV'S -CAMPERS -BOATS -EQUIPMENT -VEHICLES **SPACES UP TO 50FT LONG!** YOU ALSO HAVE 24 HOUR ELETRIC GATE ACCESS LOCATION- CORNER OF 460 AND SUNBURST RD AT NEW LONDON (BEHIND HILL CITY HOT RODS) CONVENIENT TO LYNCHBURG AND SMITH MTN LAKE EASY ACCESS ON 460 SPOT LENGTHS- 25FT $29 PER MONTH 35 FT $39 PER MONTH 50FT $50 PER MONTH GIVE US A CALL! show contact info OR show contact info,,5902055919,37.305766,50,-79.270749,,"https://maps.google.com/maps/preview/@37.305766,-79.270749,16z",,$29,human, (LYNCHBURG),HILL CITY STORAGE HAS ROOM TO PARK YOR BOAT **************************,https://lynchburg.craigslist.org/boa/5902055919.html,
4,good,"['37.382500', '-79.218100']",2016-12-19 23:57,"Lowe Roughneck jon boat 17.5 foot 40 Mercury fourstroke, tiller style 45LB pound min kota trolling motor comes with trailer with new tires",,5913151806,37.382500,17,-79.218100,,"https://maps.google.com/maps/preview/@37.382500,-79.218100,16z",,$3900,power,,Lowe Roughneck jon boat,https://lynchburg.craigslist.org/boa/5913151806.html,
5,excellent,,2016-12-19 08:45,"For Sale a Used pristine condition 125 XL Mercury Offshore Outboard.  New plugs,filer, impeller and lower unit oil.  Motor has excellent compression and runs great!  It is currently configured for a 25"" shaft but can be converted to 20"" for a small fee. It also comes with a prop.  It comes with a 90-day-warranty.  Installation services available in the Ashland Virginia area.  Call Steve show contact info",,5908529035,,25,,Mercury,,125XL Saltwater,$3950,power, (ASHLAND Va.),**USED 2000 125L/XL MERCURY SALTWATER OUTBOARD**,https://lynchburg.craigslist.org/boa/5908529035.html,2000
6,new,"['37.316677', '-79.237808']",2016-12-19 08:32,7 Brand New in package Suick fishing lures.  Paid over 20.00 each.  Will sell all for just 100.00!!!!,,5885511567,37.316677,1,-79.237808,,"https://maps.google.com/maps/preview/@37.316677,-79.237808,16z",,,human,,Musky Bass Striper Lures NEW,https://lynchburg.craigslist.org/boa/5885511567.html,
7,,[],2016-12-19 06:16,Sunburst storage is a locally owned company located conveniently on the corner of Waterlick and Sunburst Rd only a few minutes to highway 460 or 29. Its also a safe location that is fenced in and gated. We have 24 hour key pad access so you can come and go anytime day or night. Parking starts as low as $50 a month and rent is month to month long term lease's isnt required. We also have self storage units as small as 5x10 up to 10x30. If you have any questions or would like to reserve please give us a call or email us anytime. Thanks and Merry Christmas!,,5914064133,,1,,,https://maps.google.com/?q=loc%3A+%31%36%31%30+Waterlick+Rd+Lynchburg+VA+US,,,human,,"Affordable, safe, convenient RV, BOAT, TRAILER PARKING",https://lynchburg.craigslist.org/boa/5914064133.html,
8,good,,2016-12-18 20:14,"Boat is structurally sound, but inside needs work. Johnson 70 HP outboard motor runs good. 1982 shore land galvanized trailer in good shape, but will need tires. Clean titles for both. $750- cash only, no trades. Call or text anytime. Thank you.",5,5918576974,,19,,renken,,fiberglass,$750,power, (lynchburg),"1979 19ft renken boat, 70hp outboard motor, and trailer",https://lynchburg.craigslist.org/boa/5918576974.html,1979
9,excellent,"['37.060931', '-79.396477']",2016-12-18 19:34,25 foot Aqua Patio tritoon - pontoon boat for 15 people w/ Yamaha F225 4 stroke motor. 2010 in excellent condition with Snap-On cover. w/ Lowrance HDS-8 Fishfinder/GPS Chartplotter w/ Ram Mount. w/ Lowrance Structure Scan. w/ Minn Kota 80 Riptide trolling motor. w/ Live Well. w/ privacy changing stall. See it at Leesville Lake Marina. Price reduced again.,259,5917340403,37.060931,25,-79.396477,Aqua Patio,"https://maps.google.com/maps/preview/@37.060931,-79.396477,16z",24TT-25,$25900,power, (Gretna),"2010 Aqua Patio tritoon, 25 ft. 225HP Yamaha 4 stroke",https://lynchburg.craigslist.org/boa/5917340403.html,2010
10,excellent,,2016-12-18 18:00,"For sale is my clean 2001 Sea Ray 185BR Bow Rider. 298 hours on the 4.3L Fuel Injected Mercruiser which makes 220hp. This boat spent the first 12 years of its life in freshwater lakes of New Mexico. I've had it for three where I've used it in and around the coastal areas in ILM and lakes of VA, cruising/wakeboarding. Each and every use was followed by a proper flush and a wash from keel to topside. You will not find an early 2000s Bow rider in better condition, period. Coastal or inland. The gel coat is professionally waxed and cleaned yearly. The boat never spent the night in the water or outside. The trailer has a breakaway tongue which allows it to stay in my temp controlled garage. See photos. Vinyl is nearly perfect, as is the gel coat. Everything works, the boat is ready for the water. Engine oil and gear oil freshly changed as they are yearly. Brand new battery. Vengeance prop and original are included. Full custom cover in good condition. Bimini top also included. Price includes skis, life jackets, pull rope, fishing pole attachments, trailer. See attached NADA guide putting this boat in average condition at $10,500. Please call or text with questions and thanks for looking! Similar searches: Chaparral, bowrider, cobalt, Monterey, Bayliner, Maxum, Searay, Criss Craft, Regal.",298,5924714722,,185,,Sea Ray,,185 BR,$10100,power, (Wilmington),2001 Sea Ray 185 BR Bow Rider,https://lynchburg.craigslist.org/boa/5924714722.html,2001
11,excellent,,2016-12-18 17:00,Boston Whaler 17' Classic.  Excellent shape with 65 hp Johnson and 15 hp Johnson.  Runs out fine and will make someone a great boat. Salmon fishing on Lake Michigan and bass and walleye fishing on inland lakes in Michigan.  Never been in salt water.,,5924662536,,17,,Boston Whaler,,17' Montauk,$5000,power," (Lynchburg, VA)","Boston Whaler 17' $5,000 OBO",https://lynchburg.craigslist.org/boa/5924662536.html,1973
12,,"['37.353000', '-79.155700']",2016-12-18 12:49,"1986 19' Bayliner Bow rider with 125 HP US Marine Outboard with good 125 psi compression on all 4 cylinders. Water impeller changed every two years. I always have used 50:1 Non ethanol Fuel.Tuned up and lower unit oil changed yearly. Upholstery and decking in great condition. The batteries are 2 years old. It has CdPlayer, Depth and Fish Finder. Primarily used for fishing and skiing. I will lake test for any SERIOUS buyer. This boat is frequently used and has not been a sitting yard ornament. Open to possible trades of equal value",,5920917547,37.353000,19,-79.155700,BAYLINER,"https://maps.google.com/maps/preview/@37.353000,-79.155700,16z",Bowrider,$2000,power, (Lynchburg),1986 Bayliner BowRider,https://lynchburg.craigslist.org/boa/5920917547.html,1986
13,,"['37.547300', '-78.850800']",2016-12-18 05:49,4500 lb   can am winch  brand new still in box  never used  $ 200  cell show contact info landline show contact info work good on your boat trailer     especially for larger boats  Has switch for dashmount or handheld,,5896942625,37.547300,100,-78.850800,,"https://maps.google.com/maps/preview/@37.547300,-78.850800,16z",,$200,human, (GLADSTONE),winch,https://lynchburg.craigslist.org/boa/5896942625.html,
