,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['37.547300', '-78.850800']",2016-12-18 05:49,4500 lb   can am winch  brand new still in box  never used  $ 200  cell show contact info landline show contact info work good on your boat trailer     especially for larger boats  Has switch for dashmount or handheld,,5896942625,37.547300,100,-78.850800,,"https://maps.google.com/maps/preview/@37.547300,-78.850800,16z",,$200,human, (GLADSTONE),winch,https://lynchburg.craigslist.org/boa/5896942625.html,
1,,"['37.261000', '-79.231700']",2016-12-18 01:54,Looking for 90 hp outboard  call show contact info,,5923936861,37.261000,2,-79.231700,,"https://maps.google.com/maps/preview/@37.261000,-79.231700,16z",,,power,,looking for 90 hp outboard,https://lynchburg.craigslist.org/boa/5923936861.html,
2,like new,,2016-12-17 16:06,2010 G3 Eagle 175 bass boat 50 hp Yamaha low hours Runs great Garage kept 17.5 ft With trailer Must see to appreciate!!!! $12999 retailed for over $22000 new Title in Hand Text with questions Can be seen anytime after 3:30 p.m. Any day,50,5908789888,,175,,G3,,Eagle 175,$12999,power, (Concord),2010 G3 Bass Boat,https://lynchburg.craigslist.org/boa/5908789888.html,2010
3,like new,,2016-12-17 11:50,2016 Model Star Wonderbug White Water Raft (hunter green) boat makes an excellent fishing rig if used with an NRS frame Raft comes with 2 thwarts and I have a custom WaterJet aluminum floor and part of a fishing frame (not complete) that goes with it. Only used 5 times. Deflated for storage. Stored in my basement and outside under tarp during season. Call or Text show contact info New price for raft is $2900 and new price for frame is $1000. This is a great deal!,,5915578999,,135,,,,,$1900,human, (Monroe/Lynchburg),13.5' Star Wonderbug Raft - Reduced,https://lynchburg.craigslist.org/boa/5915578999.html,
4,like new,"['37.008799', '-79.627901']",2016-12-17 10:53,"24ft Avalon Catalina Entertainer, Tri-toon, 250hp SHO yamaha, seats 15 double bimini top, burgundy/white, 4 stool bar, stored in Pehook out of water, a great Family fun tri-toon... not really certain about engine hours but should be close, professionaly maintained by SML boat and tackle nearly a $70,000 beauty your Family will be proud to own... any reasonable offer will be considered",163,5887234895,37.008799,24,-79.627901,avalon,"https://maps.google.com/maps/preview/@37.008799,-79.627901,16z",catalina entertainer,$41500,power, (penhook),24ft Avalon 2014 pontoon,https://lynchburg.craigslist.org/boa/5887234895.html,2014
5,excellent,"['37.453713', '-79.203335']",2016-12-17 09:52,"87 hrs on both Sea Doo's, Tritron galvanized trailer with storage box, Both are three seaters with 4-stroke Rotex motors, come with anchor, extinguisher, regular and learners keys, covers, rear step, reverse.  One has a telescope tow bar.  both are in excellent condition.  Clear title on trailer and Sea Doo's.  If you see this add, I still have it! Thanks",87,5881493757,37.453713,127,-79.203335,Yamaha,"https://maps.google.com/maps/preview/@37.453713,-79.203335,16z",GTI 130,$11950,power, (Lynchburg),Two 09 Sea Doo GTI 130 w/double Trailer,https://lynchburg.craigslist.org/boa/5881493757.html,2009
6,excellent,"['37.353000', '-79.155700']",2016-12-17 07:40,Wenonah 18.6 ft canoe. Performance canoe in excellent condition. Great tandem canoe for tracking in big water carrying lots of gear.,,5922805123,37.353000,18,-79.155700,,"https://maps.google.com/maps/preview/@37.353000,-79.155700,16z",,$2100,human,,Wenonah Performance Touring / Minnesota II,https://lynchburg.craigslist.org/boa/5922805123.html,
7,excellent,"['37.353000', '-79.155700']",2016-12-17 07:31,"Sea kayak in excellent condition. Orange. 17ft. Comes with spray skirt and bilge pump. I have one carbon Werner kayak paddle, one Werner fiber glass paddle can sell to go with kayak.",,5922800815,37.353000,17,-79.155700,,"https://maps.google.com/maps/preview/@37.353000,-79.155700,16z",,$1350,human,,Current Designs sea kayak,https://lynchburg.craigslist.org/boa/5922800815.html,
8,new,,2016-12-17 07:02,"This boat is brand new, purchased from Angler's Choice in Martinsville in June, 2016. My job responsibilities and overtime requirements changed two weeks after purchase and I just don't have time to use it. 200 hp PRO XS OPTIMAX motor, 80# thrust MinnKota Fortrex trolling motor, hot foot. I am selling it well below the payoff. We have run the initial break-in period on the motor (1 hour) and then less than 6 hours of use. It has had the cover on it or been garage kept when not in use. I upgraded the battery bank, upgraded the trolling motor to the Fortrex and had the hotfoot put in upon purchase. MUST SELL!!",7,5913885217,,18,,Triton,,18 TRX,$37000,power, (29 South area),BRAND NEW 2016 Triton 18 TRX,https://lynchburg.craigslist.org/boa/5913885217.html,2016
9,,,2016-12-17 02:55,"I bought the boat earlier this year to take the wife and kids out and occasionally the fishing trip at Buggs island or Richmond where the river gets big. After a few trips to both I've lost time to go due to school and other projects going on working on old vehicles and thought it might go to someone who might actually use  it. It's 24 foot long and 8.5 foot wide. Has a 50 ho mercury on it. Has a depth finder and 10 rod holders(I used it for catfishing) nice boat, had a lot of fun on it. Ut it's gotta go. Offers welcome. show contact info show contact info",,5922707114,,24,,Suntracker,,Party barge,$2500,power, (Appomatox),24 foot pontoon,https://lynchburg.craigslist.org/boa/5922707114.html,1988
10,excellent,[],2016-12-16 15:17,This approximately 40 lb canoe is super singlehander and car topper. Low center of gravity mounted seat affords excellent stability. Minor scuffs on bottom. Obviously well cared for. Have heard these were made by Old Town for Kay Noe but cannot verify.,,5922097312,,12,,Kay Noe,https://maps.google.com/?q=loc%3A+%34%37+Drakes+Branch+VA+US,Field and Stream,$385,human, (Drakes Branch),Canoe 12 ft - Hard to find/good condition,https://lynchburg.craigslist.org/boa/5922097312.html,
11,,,2016-12-16 13:41,About 10 ft long. Needs to be cleaned up. $150 obo. Call or text anytime. Thank you.,,5918382918,,10,,,,,$150,human, (lynchburg),paddle boat with biminy top,https://lynchburg.craigslist.org/boa/5918382918.html,
12,good,,2016-12-16 13:40,"Boat is structurally sound, but inside needs work. Johnson 70 HP outboard motor runs good. 1982 shore land galvanized trailer in good shape, but will need tires. Clean titles for both. $750- cash only, no trades. Call or text anytime. Thank you.",5,5918576974,,19,,renken,,fiberglass,$750,power, (lynchburg),1979 19ft renken boat and trailer,https://lynchburg.craigslist.org/boa/5918576974.html,1979
13,excellent,,2016-12-16 11:06,Pelican Flash - 5 Passenger Pedal Boat 2 adult + 3 Child /775-lb capacity Adjustable seat backs Back to back seating On dock at Smith Mountain Lake Between Lake Marker R26 & R27 ...near Hales Ford Bridge,,5915974382,,6,,Pelican,,Flash,$300,human, (Smith Mountain Lake),Pelican Flash 5 Passenger Pedal Boat,https://lynchburg.craigslist.org/boa/5915974382.html,
