,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,like new,"['37.044600', '-80.228000']",2016-12-11 13:53,"This is a beautiful American Trader Red and White Cedar strip canoe, the Trapper 14 model.  A classic lightweight tandem canoe, stable, fast and visually striking, this canoe is well suited for two adults. The traditional lines of this canoe take the paddler back to the simple origins of canoeing.  It's perfect for the weekend trip and its small size and good looks also make it an ideal canoe to display. A great choice for day tripping, bird watching, photography, and recreational paddling. With it's graceful, elegant lines the Trapper is also an excellent display model for homes, lodges, restaurants and stores. The length is 14 feet, 34-inch beam, and it weighs 59 lbs. Two Special Laminated Ash and Cherry Beavertail Paddles are also included.  This canoe also has the extended decks which fit over the internal stem and the outwales are extended to a point beyond the recurve. Brass stem band is finished under the gunnels.  Has hand-laced rawhide seats, sculpted carrying yokes, thwarts, and handles.  Hand-crafted, a blend of old and new design elements with traditional and modern skills and materials, a fully functional canoe that is also an amazingly beautiful work of art.  Stunning to look at and a joy to paddle. This canoe has been on the water a grand total of 3 times, on a pond.  It has a few scuffs from transport and storage but there is absolutely nothing wrong with it and it looks absolutely awesome!  This canoe brand new would cost over $4300, plus about another $500 for delivery! Well, here it is, ready to float and/or display.  We're asking $3400, also trades considered for gold or silver coins or bullion, 357 mag snubnose revolver, 45 auto pistol, firewood (oak, locust, or hickory only), goats, laying hens, mallard ducks, other useful farm or outdoor type items, let me know what you might have in mind.  Delivery available. Drop me an email with your questions, I'll get right back to you.  Thanks for looking!",,5902934306,37.044600,14,-80.228000,American Traders,"https://maps.google.com/maps/preview/@37.044600,-80.228000,16z",Trapper 14,,human,,American Traders Trapper 14 cedar strip canoe,https://blacksburg.craigslist.org/boa/5902934306.html,
1,,"['37.976815', '-78.214417']",2016-12-10 22:22,I am looking for a jet motor from 30 35 40 45 or 50 hp at the pump. I would prefer remote steer. Let me know if you have one you want to part with. Call or text. Thanks!! Evinrude Johnson Mercury Yamaha Tohatsu Suzuki,,5914421877,37.976815,1,-78.214417,,"https://maps.google.com/maps/preview/@37.976815,-78.214417,16z",,,power,,Looking for Jet Outboard Motor,https://blacksburg.craigslist.org/boa/5914421877.html,
2,,"['37.256300', '-80.434700']",2016-12-10 10:31,"16.5' Procraft Bass boat with 135 hp Mercury motor.  Good boat, good condition, just no longer have time to use. Call or text FIVE FOUR ZERO 808-5970",,5888751162,37.256300,16,-80.434700,,"https://maps.google.com/maps/preview/@37.256300,-80.434700,16z",,$2000,power, (Blacksburg),16.5' Procraft w/ 135 hp mercury,https://blacksburg.craigslist.org/boa/5888751162.html,
3,good,[],2016-12-10 08:10,16 foot sea kayak with rudder. Have all skirts and paddleHave had it for over 20 years had on the river last year everything is fine. $350. show contact info Pete,,5907271402,,16,,,https://maps.google.com/?q=loc%3A+po+box+%33%33%33+floyd+VA+US,,$350,human, (Floyd Virginia),16 ft kayak,https://blacksburg.craigslist.org/boa/5907271402.html,
4,good,,2016-12-09 19:41,Works great low hours solid floors and boat it's all good it comes woth 3 fish finders amd 60lb minnkota trolling motor amd 2 good battoersand doesn't need anything get a few more years our of carpet and has a nice trolling motor and three fish finders wanting to trade for guns car parts another boat or at let me know what you got 1100 obo,480,5905543635,,16,,spectrum,,1606,$1100,power, (Dublin),92 spectrum 1606,https://blacksburg.craigslist.org/boa/5905543635.html,1992
5,excellent,"['37.730539', '-81.805744']",2016-12-09 13:31,"for sale 2015 bass boat. tracker. mercury 60/40 jet motor. have questions, call show contact info no help selling. no texts.",15,5912420973,37.730539,17,-81.805744,tracker,"https://maps.google.com/maps/preview/@37.730539,-81.805744,16z",pro-170,$12995,power, (Davin),2015 bass tracker pro 170 jet reduce price,https://blacksburg.craigslist.org/boa/5912420973.html,2015
6,good,"['37.217934', '-80.402014']",2016-12-08 21:48,"Aluminium fishing boat. Boat is around 70s. 25 HP Mercury Tracker 25 HP 2 stroke around 92/93 model. NOTE: Motor needs new rectifier and switch box. Engine worked great, but I have wrong pole of battery connected and burn the rectifier, then switch box. Have it checked at Concord Brother Marine at Claytor lake. And there is record of it. They ask for more than $500 for fixing. It would take half of that to fix it by yourself. Other than that, motor is in great condition. Boat has no leak, put it on NR using only trolling a few times after motor's down. Foot control trolling motor, old but solid. Good carpet, steering wheel control, electric start. Come with two battery: one like new, one rather old. LED light round the boat for night fishing. Also willing to throw a shimano compre casting rod with it, more than $100 retail. Asking $1100, OBO. (but no ballers) Title for both boat and trailer in hand. Text or email preferred.",,5876994757,37.217934,16,-80.402014,Mercury,"https://maps.google.com/maps/preview/@37.217934,-80.402014,16z",25HP,$1100,power, (Blacksburg),"Aluminium Boat, mercury 25, need new rectifier and switch box",https://blacksburg.craigslist.org/boa/5876994757.html,1992
7,,"['37.135300', '-80.418800']",2016-12-08 12:45,Excellent condition boat with trailer. No motor,,5910924175,37.135300,16,-80.418800,,"https://maps.google.com/maps/preview/@37.135300,-80.418800,16z",,$1250,human, (Christiansburg),Bass tracker,https://blacksburg.craigslist.org/boa/5910924175.html,
8,like new,[],2016-12-08 11:20,"12' Coleman R-Max Jon boat for sale. Square bottom with Minn Kota trolling motor, & 2 live holes.",,5910776310,,10,,Coleman,https://maps.google.com/?q=loc%3A+Midland+Trail+East+Caldwell+VA+US,R-Max,$1100,power, (Lewisburg),12' R-Max Coleman Jon Boat,https://blacksburg.craigslist.org/boa/5910776310.html,
9,,,2016-12-08 07:18,"14 ft. Tracker Grizzly welded aluminum boat motor and trailer. Ready to fish or duck hunt. 35 HP Johnson motor that runs great. New Minnkota trolling motor, 40 lb thrust. Has depth finder, 9 gallon fuel tank, bilge pump, carpeted floors,seats excellent condition also has rod holders $3,850.00 obo.",,5881040668,,14,,,,,$3850,power, (Galax VA),Tracker Grizzly,https://blacksburg.craigslist.org/boa/5881040668.html,
