,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,new,"['37.595700', '-77.570400']",2016-12-11 19:07,Brand New 12' Esquif Mallard Canoe with two adult life Jackets and two oars.  (Retail price $2260),,5903948261,37.595700,12,-77.570400,Esquif,"https://maps.google.com/maps/preview/@37.595700,-77.570400,16z",Mallard,$2000,human, (Henrico),Esquif Mallard Canoe,https://richmond.craigslist.org/boa/5903948261.html,
1,,,2016-12-11 18:41,"26' Long 9.6' beam 3.0 draft Built in 1993 by Oregon Iron Works. Powered by single Cummins 6BT diesel engine. 18+ kt boat burning 5.0 gallons per hour Hard top, with recessed nav lights. Radar,depth sounder, garmin 2010 gps chart plotter. Down rigger, out-riggers. Trim tabs. $15,750.00 obro.",325,5915418511,,26,,Oregon Ironworks,,8 meter PE,$15750,power, (Va beach va),Sportfisher diesel,https://richmond.craigslist.org/boa/5915418511.html,1993
2,,"['37.728400', '-77.554400']",2016-12-11 17:32,"2011 1860 grizzy center console,on board fuel tank ,, bow mount trolling motor with dual batteries , 2 depth finder with gps,and down imaging, 40 hp mercury four stroke with 61 hours on motor runs perfect, new bilge and livewell pumps,trailer in excellent condition new tires, . show contact info ready for fishing  $8000 cash no checks",,5902438184,37.728400,19,-77.554400,,"https://maps.google.com/maps/preview/@37.728400,-77.554400,16z",,$8000,power,,2011 1860 grizzy center console,https://richmond.craigslist.org/boa/5902438184.html,
3,,"['37.711597', '-77.580109']",2016-12-11 17:31,"2005.  2180 dlx carolina skiff ,t-top,electronic box,seats just done,dual batteries, perko ,switch,livewell, custom built rod holders 2014 aluminum venture trailer 2015 yamaha 115 four stroke 60 hrs $18,500 with the  electronic lowrance hds8 with down imaging and gps ,brand new vhf radio and antenna ,new bilge pump  and livewell pump show contact info cash no checks. Excellent fish boat I'm just looking to get bigger boat",,5902437181,37.711597,21,-77.580109,,"https://maps.google.com/maps/preview/@37.711597,-77.580109,16z",,,power,,2005 2180 dlx carolina skiff,https://richmond.craigslist.org/boa/5902437181.html,
4,excellent,"['38.815700', '-77.621600']",2016-12-11 17:04,"For sale is my 1448 Tracker Grizzly with a 25 HP Mercury. This thing is a beast and is able to take on any aquatic venture you throw in its path. Freshwater fishing, saltwater fishing, duck hunting, bow fishing, gigging, cruising, crabbing...you name it! Boat and motor are 2010 models. The motor was bought ""new"" (out of the box/never been used) by me in April 2015. It is still pretty much new with only 10 hours on it. Boat can run in very shallow water. Motor has also never been in the salt water, has always been kept in my garage and is well maintained. Boat and trailer come with clean title. This package comes with everything need to get on the water ASAP, including: •	Trailer •	Trolling motor w/ battery •	Rod holders •	Gas tank •	Fuel line •	Life jacket •	Emergency paddle •	Bow and stern lights •	Boat cover - Push Pole Email or text if you would like to see more pictures.",10,5872759339,38.815700,14,-77.621600,Tracker/Mercury,"https://maps.google.com/maps/preview/@38.815700,-77.621600,16z",Grizzly,$5500,power, (Gainesville),Tracker Grizzly w/ 25 HP Mercury,https://richmond.craigslist.org/boa/5872759339.html,2010
5,,"['37.333300', '-77.634300']",2016-12-11 16:55,Brand New Wave Kayak for Kids. Never used and ready to go for Christmas.,,5904887352,37.333300,6,-77.634300,,"https://maps.google.com/maps/preview/@37.333300,-77.634300,16z",,$75,human,,Wave Kayak make an offer,https://richmond.craigslist.org/boa/5904887352.html,
6,good,"['37.270000', '-77.403800']",2016-12-11 16:49,no title---12 ft alumn. jon boat---no leaks,,5910868914,37.270000,12,-77.403800,,"https://maps.google.com/maps/preview/@37.270000,-77.403800,16z",,$350,human,,12 FT. ALUM. JON BOAT,https://richmond.craigslist.org/boa/5910868914.html,
7,,"['37.320209', '-77.344437']",2016-12-11 16:26,"1997 Sea Ray Sundancer 1997 40' Sea Ray Express Cruiser powered by twin Caterpillar 3116 diesels with Westerbeke Diesel generator all with Less than 1500 hours New dripless shaft seals 2016 New water pump 2016 Mains and generator impellers and oil just changed New canvas 2016 and all service records since new. New Garmin 5212 New Auto pilot New Depth Sounder New Stereo with blue tooth to connect to your device Previous owner had her since 1999. Garmin 5212 chart plotter with auto pilot and auto-guidance enhanced chip. Please lookup if you are unfamiliar, this is an excellent option for travel. This is a well maintained boat that is ready to travel anywhere. The boat is behind my house so test runs are easy. I would be willing to deliver as far North as Annapolis or South to Beaufort. Make an offer, lets make a deal! $89000, show contact info",1500,5894346484,37.320209,40,-77.344437,Sea Ray,"https://maps.google.com/maps/preview/@37.320209,-77.344437,16z",Sundancer,$89000,power, (Chester),1997 Sundancer 400 Diesel,https://richmond.craigslist.org/boa/5894346484.html,1997
8,,,2016-12-11 16:25,It's in good shape and comes with an electric trolling motor. Lights on trailer work and I have the title to the trailer as well. $1125 OBO. Call/Text at 540-760- seven three one eight,,5904487918,,14,,,,,$1125,human," (Stafford, VA)",14' Jon Boat with Trailer (Need Gone ASAP),https://richmond.craigslist.org/boa/5904487918.html,
9,,[],2016-12-11 15:19,Asking $200  firm per kayak. They are brand new never used. Great christmas gift. 10ft long,,5915170397,,10,,,https://maps.google.com/?q=loc%3A+%38%34%39+Sweet+Tessa+Dr+Ashland+VA+US,,$200,human, (Ashland),2 New kayaks,https://richmond.craigslist.org/boa/5915170397.html,
