,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,"['37.081800', '-79.757300']",2016-12-18 11:02,"I have for sale in great condition a 2007 Nitro 591 19ft bass boat $14,000.00 FIRM.  The Mercury 150 has approximately 280hrs on it and runs like a top. The boat has all the extras you could want including 6"" manual jackplate, tempest 24p prop, led black lights and led bow lights installed into the rubrail. A lowrance hds 7 Gen 2 touch at the bow with HD downscan and a lowrance elite TS 7 at the console with full structure scan, side and down imaging WIFI etc. There is also a Lowrance 5"" GPS fish finder in the dash from factory. carpet and seats are in good condition. Motorguide digital tour 24v trolling motor. 3 bank charger. Hot foot pedal and pro trim on the steering column. Matching Nitro trailer with swing away tounge. The boat trailer currently has a remote trailer moving system installed on it so that I can move the boat in and out of my garage or around my driveway without being connected to my truck. This system came from Australia and was $2500 and is NOT included in the sale unless you want to pay an extra $2k so a total of $16k. This is a 1 owner boat and has always been garage kept and well taken care of. The boat has been winterized and I will take the boat out on the lake for a demo for a serious buyer with cash in hand. There will be NO free joyrides and I will not start it up unless the buyer is serious with cash in hand. Sorry but I'm not going through the process of winterizing every time someone looks at it. Please call or text for more info and to setup a time to view the boat. Serious inquires only and NO trades so please don't ask. Once buyer purchases the boat I will pay off the loan and title will be received in 2 weeks.",280,5917600385,37.081800,19,-79.757300,Nitro Tracker Marine,"https://maps.google.com/maps/preview/@37.081800,-79.757300,16z",591,$14000,power, (Smith Mountain Lake),2007 Nitro 591 bass boat,https://roanoke.craigslist.org/boa/5917600385.html,2007
1,good,"['37.643000', '-79.459000']",2016-12-18 10:35,"14 ft Newport Daysailer Sailboat w Trailer. Good little boat to day cruise or learn to sail on. Boat is in good condition with new halyards.Could use a new hull paint job but it's in fair condition.  Has full compliment with rudder, swing keel, mooring cover, sail covers and ready to sail. Sails are in OK / serviceable condition. It has the main sail and hank jib forward.  Have title for trailer. Boat was never motorized so no title to that but it has the original boat number on it if someone wanted to put an engine on it and register it. Asking 600.00 OBO Five Four Zero - Seven Eight Four - Zero Four Three Two ( text call or email is fine )",,5924178737,37.643000,14,-79.459000,,"https://maps.google.com/maps/preview/@37.643000,-79.459000,16z",,$600,sail, (Lexington VA),14 Ft Newport Daysailer Sailboat,https://roanoke.craigslist.org/boa/5924178737.html,
2,,,2016-12-18 09:48,"This is a cool little custom light weight boat. Composite hull with lots of nicely done wood accents. Bronze hardware, powered by I very nice 18 hp 4 stroke nissan. I call her my Popeye boat. Will consider trades for nice vehicles ,inboard ski boat or fishing boat center consoles or bass. But as always cash is great.so please feel free to make a cash offer. show contact info",,5885328333,,16,,,,,,power,,Custom Boat $9500 ob cash / May Trade,https://roanoke.craigslist.org/boa/5885328333.html,
3,like new,"['36.920100', '-79.664500']",2016-12-18 09:44,2015 Avalon Quadlounger Tritoon with 115 HP E-TEC Evinrude Engine. EXCELLENT CONDITION...Virtually Brand New...less than 50 hours. Located at Smith Mountain Lake. Ready for a test drive.,50,5924128709,36.920100,22,-79.664500,Avalon,"https://maps.google.com/maps/preview/@36.920100,-79.664500,16z",Quadlounger,$30000,power, (SML),Avalon Quadlounger Tri Toon,https://roanoke.craigslist.org/boa/5924128709.html,2015
4,good,,2016-12-18 09:09,looking into selling my 12 foot John boat does not take on any water only thing that need to be done is some cosmetic stuff asking 200 for it if interested I will throw in a 25p thrust trolling motor for a extra 30 call or text Josh show contact info really good John boat just can't use it does not come with trailer nice boat just don't use it anymore,,5920989195,,12,,john boat,,john boat,$200,human, (new castle),12 foot v haul John boat,https://roanoke.craigslist.org/boa/5920989195.html,
5,excellent,"['38.157400', '-79.065100']",2016-12-18 08:31,"2004 Palmer Tiderunner 190/WA by Defiance boats. Has a 115 yamaha 2 stroke engine. Runs and looks great. Great boat for fishing or recreation. Has a Bimini top and a cuddy cabin for shade. Garage kept. NADA is 13,845 asking 10,000 Obo. Call or text for more information. Thanks",,5917725062,38.157400,19,-79.065100,Defiance,"https://maps.google.com/maps/preview/@38.157400,-79.065100,16z",tiderunner 190/WA,$10000,power, (Staunton),2004 Palmer Tiderunner 190,https://roanoke.craigslist.org/boa/5917725062.html,
6,,"['37.178400', '-79.652100']",2016-12-18 06:34,almost new pontoon supports and brackets less than one year old bought a different kind of boat no longer needed.,,5904994072,37.178400,14,-79.652100,,"https://maps.google.com/maps/preview/@37.178400,-79.652100,16z",,$175,human, (moneta),almost new pontoon suports and brackets,https://roanoke.craigslist.org/boa/5904994072.html,
7,good,,2016-12-18 04:34,"18ft aluminum skeeter with yamaha 90/65 jet Boat has been completly customized an set up for running the river. Tunneled hull, raised transom, an 3/16 reenforced bottom put on by James river jets. UHMW bottom cover.Boat is set up stick steer an hot foot throttle. 1998 yamaha 90/65 jet, motor is in excellent shape an very dependable an just completly serviced. Minn kota fortrex 101, 36volt, 3 brand new deep cells. Live well, 20 gal gas tank, lots of storage, front an back fishing decks. Trailer is in good shape almost new tires. Boat runs an performs awesome. Runs in just inches of water an plans out great. Title for both asking $12,000 Call/text show contact info",,5909152347,,18,,Skeeter,,,$12000,power, (Henrico),River jet boat,https://roanoke.craigslist.org/boa/5909152347.html,1998
8,excellent,"['37.260651', '-79.925564']",2016-12-17 22:39,I HAVE A 17' BASS TRACKER  ALUMINUM  CANOE ITS HAS HEAVY  GAGE ALUMINUM ITS IN EXCELLENCE  CONDITION . IT HAS NO LEAKS OR DENTS.ITS A 2 -SEATS  WITH PLENTY OF ROOM. COMES WITH 2 OARS MAKE CONSIDER TRADE. GIVE ME A CALL IF YOU HAVE ANY QUESTION show contact info ROBERT. WILL POST PICTURE THIS WEEK.,,5902689467,37.260651,17,-79.925564,BASS TRACKER,"https://maps.google.com/maps/preview/@37.260651,-79.925564,16z",BASS TRACKER,$450,human, (roanoke),BASS TRACKER 17' CANOE,https://roanoke.craigslist.org/boa/5902689467.html,1987
9,good,"['37.401900', '-79.878600']",2016-12-17 20:22,"For sale a nice 2007 Sea Chaser 2400 offshore Series Center Console. Boat has new Lowrance HDS7 GEN 3 with 50/200 transducer,new Lenco trim tabs,new trim tab switches with led indicators,new live well pump,new gauges,new polk speakers,new lighted compass,new deep cycle battery,new Perko battery switch,new water separator filter and HDS7 is networked with the Suzuki DF250 for engine instrumentation on the fish finder.The boat had original 2007 Suzuki DF250 four stroke on it when i purchased it with 749 hours but had a blown head gasket so i purchased another 2007 DF250 with only 154 hours and installed in May of this year and have only used it 2 days in May.I just buffed,polished and hand waxed the hull .New water pump and lower gear oil in may.Engine had new fuel filter,spark plugs and thermostats in May .Trailer is aluminum Road King and in good condition.",169,5923734661,37.401900,24,-79.878600,Carolina Skiff,"https://maps.google.com/maps/preview/@37.401900,-79.878600,16z",Sea Chaser 2400,$29500,power, (Troutville VA),2007 Sea Chaser 2400 Offshore Series Center Console,https://roanoke.craigslist.org/boa/5923734661.html,2007
