,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['37.351500', '-79.905200']",2016-12-17 22:38,Great boat but growing family and has no time to be used as should. I realize it's wrong time of year to sell but buy now and save because I will be asking 3000 in spring. Priced to sell quick.  Call or text 540915157one may do some trading. Thank you.,,5923834097,37.351500,20,-79.905200,,"https://maps.google.com/maps/preview/@37.351500,-79.905200,16z",,$1800,power,,1991 Bayliner Bass Boat Like New 50H.P,https://swva.craigslist.org/boa/5923834097.html,
1,excellent,[],2016-12-17 15:48,Like brand new has literally been on the lake twice $300 obo,10,5923436283,,14,,Colorado,https://maps.google.com/?q=loc%3A+%31%32%36+perryville+Rd%2E+Saltville+VA+US,Hammer,$300,human, (Saltville),Canoe 14' 2paddles 4 LIFEJACKETS,https://swva.craigslist.org/boa/5923436283.html,
2,like new,[],2016-12-16 15:12,"2015 cataraft pontoon 14 ft. comes with trailer, troll motor, seats, frame, battery, floor. new tires rims, lights wiring. call show contact info asking 2900.00.",,5922089640,,14,,maxxon tubes,https://maps.google.com/?q=loc%3A+%35%38%37%37+Huff+Creek+Highay+Davin+VA+US,cataraft pontoon,$2900,human, (Davin),cataraft pontoon 14 ft. possible trade,https://swva.craigslist.org/boa/5922089640.html,2015
3,like new,[],2016-12-16 15:01,2015 bass tracker pro 170. 60/40 mercury jet. questions call show contact info,12,5922072978,,17,,bass tracker,https://maps.google.com/?q=loc%3A+%35%38%37%37+Huff+Creek+Highay+Davin+VA+US,pro-170,$12995,power, (Davin),2015 bass tracker pro 170 jet reduce price,https://swva.craigslist.org/boa/5922072978.html,2015
4,excellent,[],2016-12-16 14:49,"2015 bass tracker 170. reduced price 12,900. mercury 60/40 jet. questions call show contact info no help selling. no texts.",10,5912427860,,17,,tracker,https://maps.google.com/?q=loc%3A+%35%38%37%37+Huff+Creek+Highay+Davin+VA+US,pro-170,$12995,power, (Davin),2015 bass tracker pro 170 jet reduce price,https://swva.craigslist.org/boa/5912427860.html,2015
5,good,,2016-12-16 01:08,"I have two jet skis, one is 1993 yamaha 600cc. In great shape with a new starter and solenoid. This one just needs small wiring repair. I do not know anything about the wiring but its all there. The other is a 1997 kawasaki 1100. This thing was fast but right now it won't crank. You can hear the motor try to start but won't turn over. I'm not sure what it needs but in amazing shape. The trailer is a double jetski trailer with good bunks. It has new lights and good to go. If you are interested email me for pictures. I don't think it would take anyone who knows what they are doing to fix these. The trailer and 1997 ski is worth a lot more. I think this is fair. I would consider trades for a 4x4 truck or 4 wheeler. Don't be afraid to offer. Open to many ideas. I have the title to all 3 of them also.",,5921348686,,10,,,,,$1500,power, (Radford),2 Jet Skis & Double Trailer,https://swva.craigslist.org/boa/5921348686.html,
6,like new,"['36.617200', '-83.723100']",2016-12-14 16:51,"36lb thrust motorguide trolling motor like new, and good battery 125.00",,5902713220,36.617200,30,-83.723100,,"https://maps.google.com/maps/preview/@36.617200,-83.723100,16z",,$125,power,,motorguide trolling motor and battery,https://swva.craigslist.org/boa/5902713220.html,
7,,"['37.271000', '-81.318200']",2016-12-14 07:49,"Triton Tr196 Bass Boat 2004. Garage kept. Lots of storage. 24volt minn kota trolling motor. 3 bank on board charger. 200hp Mercury EFI. Jack plate. 2 live wells, cooler. Rod storage, dry box's. Boat is in real good condition. Serviced yearly. Trailer is a tandem axle with surge brakes.  Boat is lake ready. Will show on water to serious offers only.         18,000 obo",,5878347469,37.271000,19,-81.318200,,"https://maps.google.com/maps/preview/@37.271000,-81.318200,16z",,,power,,Triton Tr196,https://swva.craigslist.org/boa/5878347469.html,
8,,,2016-12-13 16:03,"$1,100 CASH ONLY. Wytheville, VA (24382) CASH ONLY Great Last Minute Gift! On sale is a 2008 12ft 6in PORTA-BOTE. Cond: excellent. Unique. Foldable. Light weight. Stores easily. Goes anywhere WITHOUT a trailer! SPECS: Folded length 12ft 6in. Folded width 24in. Folded thickness 3in to 7in. Beam open 60in. Draft 4in. Hull wt (w/o seats) 87lb. Wt capacity 670lb. # persons 4 on 3 seats. Max. gas O/B wt 56Lb. Short shaft 15in. Electric O/B any size with shaft 30 to 42 in. Tired of fishing? Use these included extras: Mast, sail & rigging, leeboards, sailing rudder, collapsible oars (for exercise), Porta-Dolly to move it easily on land. Hull assembly spreader stick. Carry bags for all extras & seats. Available SEPARATELY is a Minn-Kota Riptide 55lb thrust salt-water rated, transom mount electric trolling motor. Very low hours. Excellent condition. Asking $325.",,5918009168,,12,,Porta-Bote,,12,$1100,sail, (Wytheville),2008 12ft folding PORTA-BOTE,https://swva.craigslist.org/boa/5918009168.html,2008
9,excellent,,2016-12-13 15:30,"$1,100 CASH ONLY. Wytheville, VA (24382) CASH ONLY Great Last Minute Gift! On sale is a 2008 12ft 6in PORTA-BOTE. Cond: excellent. Unique. Foldable. Light weight. Stores easily. Goes anywhere WITHOUT a trailer! SPECS: Folded length 12ft 6in. Folded width 24in. Folded thickness 3in to 7in. Beam open 60in. Draft 4in. Hull wt (w/o seats) 87lb. Wt capacity 670lb. # persons 4 on 3 seats. Max. gas O/B wt 56Lb. Short shaft 15in. Electric O/B any size with shaft 30 to 42 in. Tired of fishing? Use these included extras: Mast, sail & rigging, leeboards, sailing rudder, collapsible oars (for exercise), Porta-Dolly to move it easily on land. Hull assembly spreader stick. Carry bags for all extras & seats. Available SEPARATELY is a Minn-Kota Riptide 55lb thrust salt-water rated, transom mount electric trolling motor. Very low hours. Excellent condition. Asking $325.",,5917943275,,12,,Porta-Bote,,,$1100,power, (Wytheville),2008 12 ft folding PORTA-BOTE,https://swva.craigslist.org/boa/5917943275.html,2008
