,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,,2016-12-18 10:49,This has been my summer project. I've poured alot of love into her making her beautiful again. Here is what has been done to her.. -new starter -new solenoids -new fuel lines -new fuel filter -new water/fuel separator -plywood floor sealed -new marine grade carpet -new fold out lounge seats from overtons (only one shown in pic) -custom upholstery job in bow done by professional -entire bow has brand new marine grade treated plywood -rebuilt carb -new battery -new cover -low range GPS unit I'm sure I'm forgetting a few things here and there. I had her on the water at the end of this summer and she was lake worthy. Carb is a little finicky warming up but she ran all day for me. Project is right around 85-90% full restore.  A few projects here and there all cosmetic. Nothing that keeps it from running.  She has just been winterized so she is ready for the winter. Motor is a 5 liter Chevy V8 paired to an OMC outdrive.  Internals completely rebuilt by previous owner. My price is OBO. Feel free to shoot me an offer. Text probably works best but I'll answer calls when I can.,,5896877788,,20,,Bayliner,,Bowrider,$3700,power, (Stephens City),1989 Bayliner Bowrider,https://winchester.craigslist.org/boa/5896877788.html,1989
1,,"['39.185800', '-78.182700']",2016-12-16 10:44,"This boat was left by my last tenants. Not sure what shape the engine is in but I need it gone ASAP.  It's completely FREE, only thing I ask is for you to haul it away on your own.",,5921666011,39.185800,14,-78.182700,,"https://maps.google.com/maps/preview/@39.185800,-78.182700,16z",,,power,,FREE BOAT,https://winchester.craigslist.org/boa/5921666011.html,
2,excellent,,2016-12-16 10:38,2010 Nautique 230 with Air Nautique graphics. Great condition open bow boat that is awesome for all activities for the entire family.,,5898887909,,23,,,,,$22525,power,,GREAT CONDITION 2010 Ski Nautique 230 OPEN BOW,https://winchester.craigslist.org/boa/5898887909.html,
3,,"['38.843200', '-78.600300']",2016-12-14 14:34,I have a lime green emotion kayak. Sit on top model. Was $500 brand-new. In good condition. It's about 7 feet long and will easily hold any adult under 300 lbs. can be outfitted easily with a rod holder. Perfect set up for a small cooler and tackle box to ride along.,,5919353951,38.843200,7,-78.600300,,"https://maps.google.com/maps/preview/@38.843200,-78.600300,16z",,$300,human, (Edinburg),Emotion sit on top kayK,https://winchester.craigslist.org/boa/5919353951.html,
4,,"['38.944100', '-78.465800']",2016-12-12 19:26,"12' Eagle Run by Field and Stream. Engineer redesigned has trolling motor with foot pedal steering, live well and rod holders! Two batteries included, one for the motor and the other to run the live well pump.",,5916913937,38.944100,12,-78.465800,,"https://maps.google.com/maps/preview/@38.944100,-78.465800,16z",,$850,power,,12'Eagle kayak with motor and steering,https://winchester.craigslist.org/boa/5916913937.html,
5,,"['38.926800', '-78.179600']",2016-12-12 11:59,"For sale is a nice Ranger Comanche 370V, with a 150 Yamaha.  Boat and trailer are both in good condition. Priced at $6000.00, but will consider reasonable offers and trades. Title in hand",,5916205682,38.926800,17,-78.179600,,"https://maps.google.com/maps/preview/@38.926800,-78.179600,16z",,$6000,power, (Front Royal),Ranger Bass Boat,https://winchester.craigslist.org/boa/5916205682.html,
6,,,2016-12-12 08:04,"I believe this is a Lone Star 14' V-Hull Boat from the 50s - 60s. I have not been able to locate a body tag or hull number, No Title. Structurally, this boat is in fair shape. There are two holes near the bow, on the top, and the other above the water line. It will need a complete restoration. I do not have any interior parts or outboard motor. Will make a quick project for a low-cost custom vintage boat or a restore it back to original condition. Please contact me with any questions. Belvoir Recycling show contact info Cash Only",,5875831204,,14,,,,,$200,power," (Marshall, VA)",14' Loan Star Boat,https://winchester.craigslist.org/boa/5875831204.html,
7,,,2016-12-11 23:31,16' Express Bass Boat Aluminum Hull Mercury 40/60 Jet Motor 80lb Thrust Trolling Motor Inboard Battery Charger Fish Finder Galvanized Trailer Contact Bob at show contact info (NO TEXTS) Or trade for nice Jeep Wranger,,5910315354,,16,,,,,$7500,power," (Stephenson, VA)",16' Express Bass Boat,https://winchester.craigslist.org/boa/5910315354.html,
8,good,,2016-12-09 18:07,24 foot pontoon in good condition very solid deck seats have been reupholstered nice Bimini top includes seat covers 88 horse evinrude with power tilt trim need battery prop and other small items repaired trailer not included but can deliver and sat down wherever you like first 2500 takes it,,5888766661,,24,,Harris,,240,$2500,power,,Pontoon boat Harris float bote,https://winchester.craigslist.org/boa/5888766661.html,1992
9,excellent,"['39.004800', '-77.954600']",2016-12-07 16:39,"1983 Hydrosport 17ft, 115 hp mercury. Great condition, runs great at Lake Anna last weekend. Electric trolling motor. Many extras including tube and rope. Call or text only. No emails. I will not open or view them. Trailer included. Call or text Randy show contact info Cash only!",,5869204303,39.004800,17,-77.954600,Hydrosport,"https://maps.google.com/maps/preview/@39.004800,-77.954600,16z",,$2850,power,,Boat for sale,https://winchester.craigslist.org/boa/5869204303.html,1983
10,,,2016-12-05 14:06,"Emotion Sparky kids kayak, lightly used over the last five years.  The kids have all outgrown it.",,5906601329,,7,,,,,$75,human, (Markham VA),Emotion Sparky Kids Kayak,https://winchester.craigslist.org/boa/5906601329.html,
11,,,2016-12-05 14:06,"Perception LanaKai Tandem,  in good condition.  Kept outdoors for about three year,  I moved it back to inside storage since 2010.  Used exclusively at the beach until recently when I took it out on the river once.",,5906600665,,125,,,,,$400,human," (Markham, Va)",Perception LanaKai 12.5 Tandem Kayak,https://winchester.craigslist.org/boa/5906600665.html,
12,,"['39.083400', '-78.190700']",2016-12-04 00:40,"This is a 1988 272 SR1, just painted engine bay with sherwin Williams tile clad epoxy paint, this was a small block Chevy boat. The previous owner had put bottom paint on it which I have scraped  off. The paint looks good and could be left as is or painted like i was going too. It is being sold as a bare hull without a trailer, front seats, out drives, fridge, and control cables. Both trim pumps are gone and the transom/gimbals shown in pics aren't included. Shifter and cables are not included. This auction is for the boat hull with clean title in hand and most of the interior. Rear swim deck/silent thunder is not included. $750 open to trades for guns or ammo and any atv or powersport",,5887405322,39.083400,28,-78.190700,,"https://maps.google.com/maps/preview/@39.083400,-78.190700,16z",,,power,,1988 Formula 272 SR1 twin engine boat hull / project,https://winchester.craigslist.org/boa/5887405322.html,
13,,"['39.150100', '-78.269000']",2016-11-30 15:21,"Metal row boat, good shape, comes with oars",,5899613804,39.150100,12,-78.269000,,"https://maps.google.com/maps/preview/@39.150100,-78.269000,16z",,$200,human,,Row boat,https://winchester.craigslist.org/boa/5899613804.html,
14,,,2016-11-30 09:58,12' boat trailer 3' wide Can hold 12-14' jon boat or v bottom boat Maximim weight 1500 lbs Have title Serious inquiries only.,,5899017799,,12,,,,,$300,human, (Winchester),12' Boat trailer,https://winchester.craigslist.org/boa/5899017799.html,
15,,,2016-11-30 09:57,12' boat trailer 3' wide Can hold 12-14' jon boat or v bottom boat Maximim weight 1500 lbs Have title Serious inquiries only.,,5899016313,,12,,,,,$300,human, (Winchester),12' Boat trailer,https://winchester.craigslist.org/boa/5899016313.html,
16,,,2016-11-28 15:34,Fiberglass boat for sale. Trailer comes with it. Evinrude 135 turns over. Needs restoration. $200 obo. Trades considered. No titles. Bill of sale provided.,,5872773595,,17,,,,,$200,power, (Fort valley),Fiberglass boat,https://winchester.craigslist.org/boa/5872773595.html,
17,,,2016-11-26 13:30,18' bass tracker boat with trailer Tracker drive on trailer with guides and rails 40 hp tracker outboard aluminum tri hull trolling motor 23lb thrust fish/depth finder 4 seats bikini top boat cover and some misc other items! Excellent condition ready to go! $3800.00,,5881519037,,18,,,,,$3800,power, (Stephens city),Bass tracker 18',https://winchester.craigslist.org/boa/5881519037.html,
18,like new,[],2016-11-23 12:14,"for sale or a possible trade 2015 cataraft inflatable pontoon. 22 inch tubes. comes with, trailer, new tires and rims, new wiring and lites, three seats, frame with floor, troll motor, battery new. asking 2900. dollars or possible trade. questions call show contact info no texts, no help to sell.",,5848822015,,14,,maxxon,https://maps.google.com/?q=loc%3A+%35%38%37%37+Huff+Creek+Highay+Davin+VA+US,cataraft pontoon,$2900,power, (Davin),cataraft pontoon 14 ft. possible trade,https://winchester.craigslist.org/boa/5848822015.html,2015
