,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 17:53,"The ultimate lake fishing boat, fully set up 14' aluminum Starcraft delux with carpeted floors, 3 swivel seats, rod bunk, livewell and storage. Powered by a 20 HP 4 stroke Honda with a 12V-6A charging unit. Boat comes with many accessories such as: a Lowrance X125 fishfinder, Cannon 10A electric downrigger, Minn Kota endura 40 troller, multiple Scotty mounts throughout the boat with associated rod holders, marine deep cycle battery, anchors, lines and more. Never used in the salt but would make a great little crabber. The boat mid-90's Starcaft SF DLXT length: 14'2"" Total length(tip of tongue to back of motor):19'3"" beam: 66"" deck to top of gunwale: 18"" Boat has fully functional bow and stern nav. lights, livewell, bilge pump with switch panel. The hull has never seen salt water! All rivets are in place and original. Boat spent most of its life in the high desert of California, covered. 3 swivel seats in good shape. The Carpet is in good shape, but is showing some wear near the bow. The motor 2003 Honda 20 BF20D3LHA Meticulously cared for, current on all maintenance: Oil change, plugs, and thermostat. Low hours, less than 50! Installed a water separator in the fuel line after I purchased. Motor has a  a hydrofoil and skeg protector. When trailering motor is ALWAYS nested in a transom saver bracket which is included in the purchase. The trailer 1997 EZ loader trailer. good tires, bearing buddies, and a spare. Like the hull, trailer has never seen salt water. Replaced old lights for LED's. Clean title for both Serious inquires only, let's not waste each others time. will water test if interested reasonable offers will be considered but no hurry to sell. TxT or cAll        3six0 three one 9 98    49",,5923142984,,14,,,,,$5400,power, (Lake Samish),14' Starcraft SF DLXT,https://bellingham.craigslist.org/boa/5923142984.html,
1,good,"['48.315100', '-122.637400']",2016-12-20 16:47,"I WANT TO BUY a good 27'-29' Ericson Sloop.  I have Cash $ for the right boat.  It should have a GOOD diesel engine, or a GOOD Rebuilt fresh water cooled A4, wheel steering (T cockpit), roller furling/reefing, and must be in good condition.  Let me know what you have. Thanks for looking!",,5927562581,48.315100,29,-122.637400,Ericson,"https://maps.google.com/maps/preview/@48.315100,-122.637400,16z",Sloop,$1,sail, (Oak Harbor),WTB - ERICSON  27'- 29'  SLOOP,https://bellingham.craigslist.org/boa/5927562581.html,
2,,"['48.801800', '-122.091800']",2016-12-20 16:36,"1 1/2 reduction gear.  72 series is rated to 500 hp but has same dimension as a 71 series. The 72 series is heavier duty than the 71 series. email, or phone show contact info or cell; 319-1912",,5927551350,48.801800,18,-122.091800,borg warner,"https://maps.google.com/maps/preview/@48.801800,-122.091800,16z",72 series,$800,power, (whatcom county),Borg-Warner series 72;  1 1/2 reduction,https://bellingham.craigslist.org/boa/5927551350.html,
3,new,"['48.759600', '-122.488200']",2016-12-20 14:40,"2016 StabiCraft 1410 comes with new Honda 50. Custom designed as Yacht tender and fishing boat, this all aluminum boat can flat out go. Only eight hours on the unit from rigging and sea trail. Comes with Icom M324G VHF radio installed on panel and Garmin Echomap 54DV installed on the panel, LED running lights, bilge, and fuel separator and 6 gallon fuel tank. Also included is brand-new King 2016 trailer. This a sweet set up that will not disappoint. Call Bill at show contact info",8,5927420573,48.759600,15,-122.488200,StabiCraft,"https://maps.google.com/maps/preview/@48.759600,-122.488200,16z",1410,$19999,power, (Bellingham),New StabiCraft Aluminum 1410 Honda 50,https://bellingham.craigslist.org/boa/5927420573.html,2016
4,like new,[],2016-12-20 06:28,"These boots are in like new condition. Gill tall yachting boots with tie top. Mens size 8, Rubber Boots. 45.00obo. Thanks, Call Mike @ show contact info",,5926681319,,8,,Gill,https://maps.google.com/?q=loc%3A+%33%32%34%30+W+%35%31st+Vista+at+Elder+Rd+Ferndale+WA+US,Yachting Boots,$45,human, (Ferndale),"Gill Tall Yachting Boots, Size 8 Mens, Like New",https://bellingham.craigslist.org/boa/5926681319.html,
5,,"['48.758339', '-122.502022']",2016-12-19 22:18,"1977 Cal27 with recently-serviced Ferryman 18hp diesel (rebuilt in 2001) Fresh bottom painted last year, very clean interior, roomy bathroom Located at Squalicum Harbor, Gate 8 - II dock 360-63three-22nine7 Garmin Map GPS Autohelm 1000 auto-tiller New alternator and regulator DGI DepthSounder New BilgePump New transmission couplers Sunbrella BoomCover MarineHead VHF radio Propane Grill LifeSling Anchor, nylon line, and chain AlcoholStovetop 6' 1"" headroom Retractable wall-mounted CabinTable SSs boarding ladder 50' 30-amp shorepower cord In-counter icebox Main is in good condition, although it has a few minor rust spots at the bottom. One-hundred percent jib in fair condition",,5890003093,48.758339,27,-122.502022,,"https://maps.google.com/maps/preview/@48.758339,-122.502022,16z",,$7200,sail, (Bellingham),1977 Cal 27,https://bellingham.craigslist.org/boa/5890003093.html,
6,,"['46.949800', '-123.021200']",2016-12-19 21:07,"Sailing dory finally unburied from my shop enough to take photos and show it for sale. 2-3 rowing stations, centerboard, complete rudder, main, jib, mast, extra long boom (low aspect short rig) and rigging . It will take me another 5 years to get to it at this rate so I decided to see if anyone wants a cool winter project. Would love to see it out on the water again. HEAVY, glass over ply construction. chine hull, swamscott style Dory (unknown make) with centerboard that tucks out of the way into centerboard trunk Needs a lot of work. (Glass work and top rub rail) sorry about quality of photos Serious inquiries come out and check it out and I will dig it out.. Bring about 2-3helpers if you intend to haul it out of here. $850 not any less. Very cool boat, unknown design. serious inquiries only please. can not show it for a few days, email or text me o set up a day when I am in town. -Help loading or even delivery may be possible if you pay for gas text is best or leave a message show contact info thanks",,5915358017,46.949800,19,-123.021200,,"https://maps.google.com/maps/preview/@46.949800,-123.021200,16z",,$850,sail, (North Bellingham),"19.5ft sailing / rowing dory 2-3person, project",https://bellingham.craigslist.org/boa/5915358017.html,
7,excellent,,2016-12-19 20:38,"Just sold my kayak but have a brand new(never used) Snap Dragon Neoprene Spray Skirt and a brand new(never used) Re-Entry Kit for sale. Neoprene Spray Skirt  Tube size is a Medium with 2 Velcro adjustments, Deck size is an XL (about 33x22 unstretched) - $100.00 Re-Entry Kit  -  $60.00",,5910374328,,13,,,,,,human,,KAYAK ACCESSORIES,https://bellingham.craigslist.org/boa/5910374328.html,
8,fair,[],2016-12-19 19:44,"This is a ready-to-fish gillnetter, which is set up for Puget Sound but could also fish any area in Alaska as well. It is moored at Friday Harbor right now, but will be hauled out in Bellingham in March. A permit lease can be arranged if needed. F/V Satisfaction 32'x11.5'x2.5' Fiberglass hull (with tunnel) built by Uniflite in 1980. This boat was built for Bristol Bay but instead fished Puget Sound. The bowthruster was installed 2007. 300 hp diesel Cummins 555 with Twin Disc 506 gear. Very reliable and burns 5 gph at 8kts. Keel cooled so there is not raw water interaction between the sea and the engine, and you can run the engine no problem when it is hauled out. Hydraulic 8-inch Bowthruster with controls at all three stations. This bowthruster has gotten me out of any tangle I managed to get myself into! Works great. Hatches will hold 10k pounds, but 6k organized in brailers. There is an insulated watertight brailer for the center hatch, and two slush bags (one on each side), plus brailers. Hydraulics are very strong, and the bulletproof Easthope drum drive has a high and low speed so it can really crank it in when it needs to pull. Levelwind works great with no quirks, and the sternroller can power in and out, if desired. Mast and boom with 2,000-pound electric winch. Electronics include GPS, VHF, radar, 2 sounders and AC shore power w/ battery charger. Galley is comfortable with a big table and a Dickinson ""Bristol"" oil stove. Running water and a sink. Two bunks down below, plus a head; there is a holding tank (but it has never been used) or a direct overboard. This is a great fishing boat that maneuvers very well and handles the sea just fine. The low price is because the engine is tired and the back deck could use an overhaul. I would have kept fishing this boat but I just bought a larger and faster boat that will better suit my needs (I process much of my own catch). Thank you for your interest",8000,5926343000,,32,,Uniflite,https://maps.google.com/?q=loc%3A+spring+at+front+Friday+Harbor+WA+US,gillnetter/sternpicker,$15000,power, (Friday Harbor),"32' Gillnetter w bowthruster, mast & boom",https://bellingham.craigslist.org/boa/5926343000.html,1980
9,,,2016-12-19 18:02,"Stable canoe with no leaks. 37 inches wide. 15.5 feet long. Not perfect, but that's why it's priced so cheap.",,5907085319,,16,,,,,$220,human, (Alger),CANOE,https://bellingham.craigslist.org/boa/5907085319.html,
