,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,,2016-12-17 23:45,I'm selling my 2006 alumacraft w/ 15 hp mercury and a trailer. I also have a ton of stuff to along with it. The boat is equipped with the following: - two live wells - two storage hatches - anchor storage - 6 panel switch w/ breakers - downrigger hook up - bow/stern nav lights - two Cree spot lights - fish finder/ waypoint gps w/ downvu sonar - deep cycle battery I am also selling with the boat: - motor stand - down rigger cannon lake troll - 1 crab pot - 2 crab rings - 3 fishing poles - 1 oar - 1 anchor w/ rope - 4 life jackets - 150 ft of rope - water thermometer -grease gun w/ extra grease cartridge - orange flag - life whistle new This is a package deal and a great one for anyone who wants to buy everything together. The price is $6000 OBO. The boat is also registered through June.,90,5923954893,,15,,Alumacraft,,1438,,power,,2006 alumacraft w/ 2010 15 hp mercury $6000 OBO,https://bellingham.craigslist.org/boa/5923954893.html,2006
1,excellent,,2016-12-17 23:33,I'm selling my 2006 alumacraft w/ 15 hp mercury and a trailer. I also have a ton of stuff to along with it. The boat is equipped with the following: - two live wells - two storage hatches - anchor storage - 6 panel switch w/ breakers - downrigger hook up - bow/stern nav lights - two Cree spot lights - fish finder/ waypoint gps w/ downvu sonar - deep cycle battery I am also selling with the boat: - motor stand - down rigger cannon lake troll - 1 crab pot - 2 crab rings - 3 fishing poles - 1 oar - 1 anchor w/ rope - 4 life jackets - 150 ft of rope - water thermometer -grease gun w/ extra grease cartridge - orange flag - life whistle new This is a package deal and a great one for anyone who wants to buy everything together. The price is $6000 OBO. The boat is also registered through June.,90,5923951069,,15,,Alumacraft,,1438,$6000,power, (Oak harbor),2006 alumacraft w/ 2010 15 hp mercury and accessories,https://bellingham.craigslist.org/boa/5923951069.html,2006
2,good,"['48.735545', '-122.671484']",2016-12-17 23:14,"15' Coleman Ram-x ""Scanoe"" with a 2.5hp Mariner outboard. Offers on the boat and outboard together or separately considered. Pic is the same model, but not my actual boat, and here is a video of the same model with a 3hp outboard. This is almost exactly what my boat and motor look like in this video: https://www.youtube.com/watch?v=9ClP5tpP-6E",,5892779298,48.735545,15,-122.671484,,"https://maps.google.com/maps/preview/@48.735545,-122.671484,16z",,$775,power, (Gooseberry Point),15' Coleman Ram-X Scanoe with 2.5hp Mariner Outboard,https://bellingham.craigslist.org/boa/5892779298.html,
3,excellent,"['48.502916', '-122.657290']",2016-12-17 19:08,"(Note: Please don't use a Yahoo Email to reply to craigslist ads. Yahoo Email has a known bug which causes it to lose craigslist emails completely, or to hide it in the Spam folder. Instead, please call or text us at show contact info or use a non-Yahoo email account to correspond on craigslist. Thanks!) EasyRider Ultralight Fiberglass Kayak, in Excellent Condition. Looking for a kayak that's easy to handle? Is your current kayak so heavy you dread taking it out for a ride? Wait no more ! Weighing in at only 37-lbs, the Dolphin is one of the lightest kayaks available today. Pick it up in one hand and carry it to the water. Slide it onto your car's roof rack with ease. Enjoy the ample leg-room and the comfortable seat. You'll want to stay out on the water for hours. Comfortable, extremely stable, and fast, the Easy Rider Dolphin kayak is one of today's top-of-the-line kayaks. And with plenty of storage space for gear, take her out for the day or go out camping for the weekend. We paid $2,495+tax; selling in Excellent condition for $795 . We have found Easy Rider eqmt to be top of the line gear, equal or superior to excellent eqmt like  klepper, kleppers, folbot, folbots, foldboat. foldboats, feathercraft, feathercrafts. pigmy, epic, stearns, dagger, perception, seaward, old town, Kokatat, stohlquist, fiberglass, kevlar, carbon, wood, wooden, ocean kayak, rack racks. balogh bsd, inflatable raft rafts, zodiac, packraft, motor. outboard inboard powerboat power boat. yacht yachting, aluminum fish fishing. pakboat, pakboats, packboat, packboats, sail kayak, sailing kayaks, folding kayak, kayaking folding boat, paddle. paddles paddling canoe canoes canoeing, necky. oldtown, coleman, delta, nimbus, seda, NRS, snapdragon, Yakima, thule, nw kayaks, eddyline, current designs. Grumman, harmony, prijon, rei, hobie.",,5923803977,48.502916,15,-122.657290,EasyRider,"https://maps.google.com/maps/preview/@48.502916,-122.657290,16z",Dolphin,$795,human, (Anacortes),"EasyRider Ultralight Fiberglass Kayak, in Excellent Condition",https://bellingham.craigslist.org/boa/5923803977.html,
4,new,[],2016-12-17 17:43,Build your icebox pole holders gun racks depth finder 40 horse Merc two gas tanks custom built custom camo new 2016 8000 or best offer,,5923751793,,16,,Custom built,https://maps.google.com/?q=loc%3A+%31%31%38%37%39+hwy%39+sedro+Woolley+WA+US,,$8000,power, (sedro woolleyl),Duck hunting boat,https://bellingham.craigslist.org/boa/5923751793.html,2016
5,excellent,"['48.744764', '-122.470282']",2016-12-17 15:38,"Liquid Logic Little Joe whitewater kayak for sale. Includes brand new spray skirt and Werner composite paddle. Some minor scratches in plastic on boat. No leaks, cockpit in great condition. Price very negotiable - moving to Montana in a few weeks and don't have room for this guy. Phone number and email included in the reply info. Feel free to get in touch with any questions. Thanks! Clayton",,5923640957,48.744764,9,-122.470282,Liquid Logic,"https://maps.google.com/maps/preview/@48.744764,-122.470282,16z",Little Joe,$300,human, (Bellingham),Liquid Logic Little Joe Kayak w. Paddle,https://bellingham.craigslist.org/boa/5923640957.html,
6,excellent,"['48.503030', '-122.657719']",2016-12-17 13:49,"(Note: Please don't use a Yahoo Email to reply to craigslist ads. Yahoo Email has a known bug which causes it to lose craigslist emails, or to hide it in the Spam folder. Instead, please call or text us at show contact info or use a non-Yahoo email account to correspond on craigslist. Thanks!) Two Easy Rider Eskimo 17 ft Fiberglass Kayaks in Excellent Condition. For sale separately or together. Who needs a double when you can catamaran two single kayaks side-by-side. Just use a pair of EasyRider outrigger poles to connect the two kayaks firmly together. Takes less than a minute to connect the kayaks. Easy Rider Eskimo kayaks are the only kayaks in the world that come with this option. And since its so easy to attach the kayaks, switch between being two singles and being a catamaran whenever you want. The Eskimo 17 is one of the Lightest Fastest, Strongest-Built Kayaks in the World. EasyRider Eskimo Kayaks are the only kayaks in the world that are factory-built to easily plug in a suite of fun accessories. Easily plug in an Outrigger and/or a fast Batwing Sail. Or use the outrigger poles to connect two single Easy Rider Eskimo kayaks together side-by-side catamaran-style ! Plug in a sail and the pair of kayaks sails like a true catamaran. Clip on an Easy Rider Tarpaulin between the outrigger poles for a Hobe-style mesh platform above the waves, and let your dog ride beside you on the tarpaulin as you paddle down the beach. You can even attach a 2hp outboard motor or electric motor to one of the outrigger poles, and presto you have a way to quickly make long crossings or travel against the wind! And much more! Buying an Easy Rider Eskimo 17 opens a world of possibilities that no other kayak in the world can offer. The Eskimo 17 weighs in at a super-light 49 lbs. And it's trimmed with all the extras ! : - EasyRider's patented Self-Centering Rudder System allows you to steer true in any conditions. No more weaving back and forth ! In storms, high wind and currents, and in calm water, the Eskimo 17 steers true. Point the boat where you want to go and like a self-guided missle it will get you there. - EasyRider's integrated Paddle-Park System allows a paddler to put their paddle down anytime they like- stows securely in the paddle-park system free of the water while you eat your lunch, talk with friends, or sail ! - Sailing Option! Our Eskimo 17 comes pre-fitted to accept a Batwing sail ! Enjoy the excitement of sailing without the escalating costs of owning a larger boat. The FAST Batwing-32 Sail (32sqft) will typically move the kayak 6 mph in light-to-medium winds - much faster than paddling, and rivaling the speed of large sailboats! We have two Batwing Sails that we're selling separately in like-new condition for about half what we paid for them. We paid $1500+tax for the white sail; selling the white sail for $695. We paid $1895+tax for the yellow sail; selling the yellow sail for $995. See the picture below of our two Batwing sails. - Outrigger-Ready: Impress your friends by paddling or kayaksailing polynesian-style! The Eskimo 17 comes prefitted to accept a Plug-in Outrigger, should you decide to purchase one. An outrigger opens whole new horizons in the kayaking world. An outrigger allows the paddler to stand up and stretch or fish, to relieve themselves, and even to walk to the back of the kayak! No more having to paddle to shore for relief issues! And the outrigger has almost no drag, so you go just as fast. Note- We have a 5-ft Easy Rider Outrigger we're selling separately, including outrigger poles, for $495. (the outrigger poles alone cost us $600+tax). And we have a Like-New 8ft Easyrider fiberglass Outrigger System for $995 (we paid $1,600+tax). See pictures. - Catamaran two kayaks together. Who needs a double when you can catamaran two singles. Just use a pair of outrigger poles to connect the two kayaks firmly together. EasyRider Eskimo kayaks are the only kayaks in the world that come with this option. And since its so easy to attach the kayaks, switch between being two singles and being a catamaran whenever you want. Technical Specifications: - Length: 17 feet or 16 feet (we have one of each) - Width 24 inches - Weight: 49 lbs or 46 lbs - Color: Yellow with blue trim, or Yellow with red trim Installed Options: - Paddle Park System Installed - Patented Self-Centering Rudder System installed - Catamaran-ready. Just connect the two kayaks with a pair of EasyRider Outrigger Poles. - Deluxe Deck Cleats, bungee, stainless steel hardware and Trim - Sail-Ready. If you purchase a kayak sail, it plugs right in. - Outrigger-Ready. If you decide to purchase an outrigger, it just plugs right in. We paid $3,900+tax for each kayak; selling the Eskimo 16 in excellent condition for $1795. Selling the Eskimo 17 in Like New condition for $1995. If a person can afford the best ... here's the best kayak that money can buy ... for half price. Note: This is for the kayak only. See prices of the optional accessories listed below. Accessories Available : We have a white Batwing Sail available separately for $695 (we paid $1500+tax). We have a yellow Batwing Sail available separately for $995 (we paid $1895+tax). We also have a 5-ft Easy Rider Outrigger we're selling separately, including outrigger poles, for $495. (the outrigger poles alone cost us $600+tax). And we have a Like-New 8ft Easyrider fiberglass Outrigger System for $995 (we paid $1,600+tax). . No checks. Cash only please. We consider EasyRider kayaks to be top of the line gear, equal or superior to excellent eqmt like aka, akas, ama, amas, sail kayak, , harmony, prijon, rei, hobie, pigmy, epic, stearns, dagger, perception, seaward, old town, Kokatat, stohlquist. fiberglass, kevlar, carbon, wood, wooden, ocean kayak, rack racks, easy rider easyrider, balogh bsd, fish fishing sailing kayaks, folding kayak. kayaking folding boat, paddle paddles paddling canoe canoes canoeing, necky, oldtown, coleman, delta, nimbus, seda, Yakima, thule, nw kayaks. eddyline, current designs, Grumman, for marine ocean sports",,5920741929,48.503030,17,-122.657719,Easy Rider,"https://maps.google.com/maps/preview/@48.503030,-122.657719,16z","Eskimo 17, Eskimo 16",$1795,human, (Anacortes),Two EasyRider Eskimo Fiberglass Kayaks in Excellent Condition,https://bellingham.craigslist.org/boa/5920741929.html,
7,like new,"['58.362800', '-134.529400']",2016-12-17 13:41,"* Cruise or fish in comfort in this like-new 2014 Ranger Tug 25SC * Volvo D3 150 Diesel (150 hrs.) - 3 years remain on warranty * Custom mount/steering Yamaha T25 Outboard trolling motor (190 hrs.) * Bow/Stern Thrusters w/Remote, VHF Radio, Stereo, Stove, Refrig, Microwave, Sink, Dinette * Garmin navigation package w/plotter, radar, sonar,  GPS, Autopilot w/Remote * 16.5# Bruce Anchor w/windlass, Solar panel, Inverter, Diesel Heater, Spot Light, Inverter * Wash down system, downrigger mounts, rod holders, cockpit seat/removable table * Marine head/sink/shower, holding tank, macerator, deck pump-out, transom door, swim-step * Batteries (4) AGM upgrade w/charger, courtesy lights deck/entry/walkways, trim tabs * Sleeps up to 5, cruises 11-13 knots - many other items/upgrades including $800 extra parts * EZ Loader tandem axle aluminum trailer w/ electric/hydraulic brakes * $176,668 replacement value * Will help with barge/shipping costs to Seattle",150,5900584466,58.362800,27,-134.529400,Ranger Tugs,"https://maps.google.com/maps/preview/@58.362800,-134.529400,16z",25SC,$129900,power," (Juneau, AK)",Price Reduced - 2014 Ranger Tug 25SC w/Trlr,https://bellingham.craigslist.org/boa/5900584466.html,2014
8,,"['46.949800', '-123.021200']",2016-12-17 13:24,"Sailing dory finally unburied from my shop enough to take photos and show it for sale. 2-3 rowing stations, centerboard, complete rudder, main, jib, mast, extra long boom (low aspect short rig) and rigging . It will take me another 5 years to get to it at this rate so I decided to see if anyone wants a cool winter project. Would love to see it out on the water again. HEAVY, glass over ply construction. chine hull, swamscott style Dory (unknown make) with centerboard that tucks out of the way into centerboard trunk Needs a lot of work. (Glass work and top rub rail) sorry about quality of photos Serious inquiries come out and check it out and I will dig it out.. Bring about 2-3helpers if you intend to haul it out of here. $850 not any less. Very cool boat, unknown design. serious inquiries only please. can not show it for a few days, email or text me o set up a day when I am in town. -Help loading or even delivery may be possible if you pay for gas text is best or leave a message show contact info thanks",,5915358017,46.949800,19,-123.021200,,"https://maps.google.com/maps/preview/@46.949800,-123.021200,16z",,$850,sail, (North Bellingham),"19.5ft sailing / rowing dory 2-3person, project",https://bellingham.craigslist.org/boa/5915358017.html,
9,,,2016-12-17 09:39,"Boat Slip 44ft at Semiahmoo near Blaine Washington. This is a very beautiful, secure, friendly well run and well maintained marina. Wide docks, picnic area, small store with some marine parts, snacks, lunch bar and soft drinks as well as wine and beer. Lots of free parking. All manner of sea birds and eagles populate Drayton Harbor and surrounding areas. Semiahmoo Spit has a black topped walking path with little traffic and right along the beach. Modern clean showers, Wifi and just a few minutes walk to Semiahmoo Resort and Spa. There is a lively community of boaters here, with activities such as Friday night barbeques and music in the summer. Semiahmoo has the cheapest fuel rates of all the local marinas. You also save fuel by being close to the San Juan and Canadian Gulf Islands. If you like fishing, Boundary Bay and Pt Whitehorn are just a few miles away. A short dingy ride gets you to White Rock B.C. with many restaurants and great night life. Semiahmoo is only 8 minutes from I-5 and all this for $45 a month less than Blaine or Squalicum Harbors and hundreds less than Vancouver B.C. We are looking for a long term lease. The slip number is C-16 and is close to the ramp, easy in and out of the slip. Prevailing winds set you off the dock. This is a link to more information about Semiahmoo Marina http://semiahmoomarina.com/our-community/around-the-marina-photo-gallery December Special - sign up before 31 Dec and receive 30% off, until 31 March 2017. PH show contact info",,5905703781,,44,,,,,$361,human, (Semiahmoo),44 Ft Boat Slip For Lease 361.25 a Month,https://bellingham.craigslist.org/boa/5905703781.html,
