,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,like new,"['47.223300', '-121.002500']",2016-12-11 14:58,"1973 19 ft Hallet Jet boat all new restoration . Everything is brand new I did not skimp on any thing on this build . Motor 450 H.P. 454 BBC all new to much to list . I have all new seats made to match interior that came out when all new floor went in , just needs to covered in your choice of color . ALL NEW BOAT OLD SCHOOL . Have all pics and recites for this build from day one . This is not my first project boat , will sell boat WITH OUT motor for $ 3500 New trailer cover $250 for highway use and older cover . New tires 5 of them with new spare tire also, no miles $750.00 with Warr. Les schawb New hood scoop not in pic .  $200.00 have 50 plus pics of build and vids of me and the boat Hauling ASS For Sale or trade $8000. 00 CASH FRIM  or TRADES must add to $9000 show contact info leave message with call back number  , NO salesman that think they can sell my boat out of State for so much more money .   NO JUNK Jet boat , 454 BBC , ski boat, hallett, ski doo, Harley Davidson, rat rod , hot rod , Polaris, Yamaha , snowmobile , 4 place enclosed snowmobile trailer , KTM , big block , pre 72 muscle cars and trucks ,deep vee hull 22 foot offshore boat , sprint boat , drag boat , snowmobile , 4X4, Extra cab pickup truck , diesel , turbo , supercharger , vee drive flat bottom , dart , ranchero, super bee, charger, GTX, mopar , c-10, gas gas, gold , 440 magnum , 426 hemi , Arctic cat , el Camino,",10,5896584228,47.223300,19,-121.002500,,"https://maps.google.com/maps/preview/@47.223300,-121.002500,16z",,$8000,power, (Cle Elum area),"19 FT JET BOAT BBC ALL NEW FAST ,LOUD, Or TRADE",https://kpr.craigslist.org/boa/5896584228.html,
1,new,,2016-12-11 14:47,"This is brand new in boxes FROM MANUFACTURER  $1,432 retail asking $700 obo As much as I would love to keep this, I need Christmas and bill money, My loss your gain. Tackle your adventures in tandem. The 380x is made to be ridden by one or two persons. Now you can do what others only dream of with our most versatile kayak series ever! Designed to tackle whitewater, open-water, and now down-wind sailing! Large enough for two but small enough for one! The 380x does it all! When the 16 rapid self-bailing drain valves are open, you are sure to drain off water as quickly as it enters! With the drain valves closed you are certain to remain high and dry when paddling on flat waters such as lakes, bays and other bodies of water. The unique modular design of the Sea Eagle Explorer features a super rigid, high pressure, drop stitch floor that sits on top of an outside floor. This has several advantages. The high pressure DS floor provides great rigidity and super responsive paddling performance. The reinforced outside fabric floor provides a double layer of added protection so it can bounce off rocks, logs and other objects you may hit in whitewater. The Sea Eagle 380x Explorer inflatable kayak is as tough as nails and as rugged as the men and women who ride in it. A handy mid-size kayak that holds two to three people and up to 750 pounds, the 380x lets you rocket fearlessly down Class IV rapids, traverse miles of wilderness rivers to remote camping spots, or fly fish on trout streams that other fishermen can't access. Even better for travelers, the kayak deflates and stores in a handy carrying bag, so you easily haul it along on a small plane to impossibly obscure fishing or camping sites. There's no better kayak for true adventurers than the Sea Eagle 380x. Unlike ordinary ""dry-only"" kayaks with no drains or ""wet-only"" kayaks with permanently open drains, the 380x offers four extra-large, easily convertible drains for both wet and dry conditions. When the drains are open, the craft bails itself in rough whitewater or ocean conditions. When the drains are closed, they won't let a drop of water in, keeping both you and your cargo comfortably dry in calm water. And even in the worst-case scenario--when your kayak is filled to the gunwales with water--the 380x still floats. The 380x Explorer owes its durability to 1,000-denier, polyester-supported, high-pressure fabric with quadruple-thickness electronic-welded seams. How tough is the Explorer? In torture testing, Sea Eagle pounded it mercilessly with the claw of a claw hammer to no effect. Stabbing it with a screwdriver also had a negligible impact. The ""crocodile hide"" hull is so sturdy that it can stand up to almost any challenge, let alone a few bumps from the dock. Other details include integrated bow and stern spray skirts with water-deflecting guards; rope lacing that forms secure handholds and convenient tie-down points; two inflatable kayak seats; two 8-foot double-ended paddles; a foot pump; and a repair kit. The 380x Explorer measures 150 by 37 inches (W x L) and weighs 47 pounds. It's also backed by a three-year warranty. Specifications: Exterior: 12' 6"" x 3' 1"" Interior: 11' 9"" x 1' 3"" Deflated: 31"" x 20""x 9"" Tube Diameter: 11 1/2"" Capacity: 2-3 adults or 750 pounds Weight: 47 pounds Chambers: Three (port, starboard, floor) Material: 1000 Denier reinforced Seam: Quadruple overlap seam Floor: Separate inflatable I-beam construction floor Air Valves: Two Halkey Roberts One Way Inflation time: 8 minutes",0,5913015993,,0,,Sea eagle,,380x,$500,human, (West Richland),•NEW• 2 person KAYAK 380x,https://kpr.craigslist.org/boa/5913015993.html,2016
2,,"['46.243294', '-120.001731']",2016-12-11 14:33,"I have for Sale an 11 ft. Aluminum boat, it is a Sears model, 1960 is the year.Has a spot to mount an engine. No trailer, Boat only. Has built in seat  rear and middle. upholstery is decent.",,5903100241,46.243294,1,-120.001731,,"https://maps.google.com/maps/preview/@46.243294,-120.001731,16z",,$200,human, (Mabton),Boat For Sale,https://kpr.craigslist.org/boa/5903100241.html,
3,good,,2016-12-11 12:01,"12ft aluminum fishing boat/ w motor gas tank, oars, 2 swivel seats. life jackets, fire exstinguisher, anchor and rope, in good shape ready to go fishing.",,5881155985,,12,,,,,$500,power, (kpr),aluminum fishing boat / w 6hp torlling motor,https://kpr.craigslist.org/boa/5881155985.html,
4,,"['46.061400', '-118.331500']",2016-12-11 11:12,"16ft Smoker Craft fishing boat, motor and trailer. Runs good and ready to go. Electric winch for the anchor and 12v battery. Keywords: hunting, duck, outboard, 14, 15, 17, 18",,5901203360,46.061400,16,-118.331500,,"https://maps.google.com/maps/preview/@46.061400,-118.331500,16z",,$1100,power, (Walla walla),Aluminum fishing boat,https://kpr.craigslist.org/boa/5901203360.html,
5,,,2016-12-11 07:34,"I have a 20' Apollo Cabin Boat up for sale.  It has a 455 Olds engine and a Berkely Jet.  The Trailer is in great shape and DOES NOT GO WITH  the boat.  The boat does not run right now.  I think the gaskets between the heat exchanger and the exhaust manifolds need to be replaced.  It has some electronics and appliances.  the buyer gets all the life jackets, tow ropes, bumpers, etc.  It has been stored inside (note the dust)  $500. Clear title in hand.   John- show contact info",,5896704709,,20,,,,,$500,power, (Kennewick),20' Apollo Jet Boat (Pleasure boat) price reduced,https://kpr.craigslist.org/boa/5896704709.html,
6,good,,2016-12-11 05:33,"This boat is in great condition, very light use, never had a tear. Perfect for those who don't want to deal with the heat of a fiberglass hull OR want to have the option of deflating for travel. I had an 8HP Honda on there and it pushed 4 of us around with ease. This beauty comes with a ton of extras: Bimini top, life jackets, anchor, rope, electric and hand pump, patch kit, cushioned seat pads, extra cushioned seat for the front.",,5891465455,,12,,Saturn,,,$575,power, (Benton City),Winter Special: 12' Saturn Inflatable Boat with Bimini Top,https://kpr.craigslist.org/boa/5891465455.html,
7,,"['46.213576', '-119.126043']",2016-12-10 17:48,This is actually 2 4x6 boats that clamp together to make 1 12' boat with a divider in the middle----not home made--- no title--bill of sale transfer  email if interested,,5914348635,46.213576,12,-119.126043,,"https://maps.google.com/maps/preview/@46.213576,-119.126043,16z",,$300,power, (kennewick),4x12 folding boat--poly,https://kpr.craigslist.org/boa/5914348635.html,
8,excellent,,2016-12-10 14:16,"2011 Northwest Jet 196 Freedom  80 hours total time, Samson sport tower CALL show contact info ""WILL CONSIDER PART TRADE FOR OPEN OR CENTER CONSOLE ALUMINUM Powered by Honda 150HP Includes: Honda 8HP Kicker with Remote Control, Samson Sports Fishing Tower, Lowrance HDS-7 Fishfinder/GPS, VHF Radio, Stereo, Dual Wipers, Compass, Cockpit Lights, Washdown Pump, Rod Holders, River Anchor w/Nest Galvanized EZ Loader Tandem Axle Trailer with Brakes, Spare Tire & Carrier Northwest Jet Boats' 196 Freedom Outboard Series is a craft that shows off our trademark skills and extensive experience while keeping your costs in check. Experience the ultimate in a smooth ride with our new 18 degree hull. Then relax and enjoy the ease and comfort of optional hydraulic steering and our premium top, side curtain and backdrop package to shield you from the elements",80,5881182507,,21,,Northwest Jer,,196 Freedom,$39995,power, (Portland),2011 Northwest 196 Freedom,https://kpr.craigslist.org/boa/5881182507.html,2011
9,,"['46.206891', '-116.896288']",2016-12-10 10:16,"full top for night fishing, pole holders,lots of storage and room, boat runs great, $5800 FIRM,TRADE FOR SMALLER BOAT THIS BOAT TAKES UP ALL THE ROOM IN MY SHOP,OR MAY TAKE GUNS,ATV show contact info or show contact info LEWISTON ID, CLEAN TITLE",,5888182788,46.206891,21,-116.896288,,"https://maps.google.com/maps/preview/@46.206891,-116.896288,16z",,$5800,power, (lewiston),"PRICE LOWERED, TRADE 21 catorina jet boat,115 evenrude,",https://kpr.craigslist.org/boa/5888182788.html,
