,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,,2016-12-20 16:01,"87 Bayliner capri, really nice boat. 457 hours.all licenced and ready to fish. Must sell.Galvanized trailer, tires like new,great shape other than rear upholstery weathered.omc 4 cyl inboard, omc cobra outdrive. Has full top. Cash only no trades $1,000 obo, cash talks.",457,5904296564,,17,,Bayliner,,capri 1750,$1000,power, (Ephrata),Bayliner capri for Christmas,https://moseslake.craigslist.org/boa/5904296564.html,
1,,,2016-12-19 16:48,"1993 BAREFOOT SANGER 200hp XRI fuel injected Mercury outboard. Excellent condition Dual batteries NEVER BEEN IN SALT WATER!! EVER!! Original trailer in perfect condition to prove its never seen salt water. Bimini top Custom cover Always stored indoors Never been left on the water over night. These boats are getting hard to find, cause everybody destroyed them in the salt water. This boat skis awesome and goes 60+ and turns like an Indy car. You won't find another in as good of shape, that hasn't been in salt.",900,5917027245,,20,,Sanger,,Barefoot,$11500,power, (WA),BAREFOOT SANGER,https://moseslake.craigslist.org/boa/5917027245.html,1993
2,,,2016-12-19 12:48,"Looking for Unwanted/Used/Broken mastercraft-ski centurion -Supra - bayliner searay Let me know what you have, I can pick up with cash Text show contact info Ski wakeboard inboard",,5908749509,,17,,,,,$1,power, (Anywhere),Looking for Unwanted/Used/Broken mastercraft-ski centurion -Supra - ba,https://moseslake.craigslist.org/boa/5908749509.html,
3,new,[],2016-12-18 19:12,2006 Sea Ray 18 ft. .  Total hours on boat is 40 hours.  3.0 Mercruiser   In new condition and always garaged .  So new that all it has needed is an oil change. This is one of a kind. I have installed a custom built  swim platform and Bimini cover.  Other add on's include  an  out drive wing that totally enhances the performance and  a new 17x15 Merc. prop that is the best for matching RPM to the engine.  The trailer has side rails a folding tongue  and a spare tire. The boat includes  all covers and side curtains.  This is a new boat that needs a family.,40,5924958928,,18,,Sea Ray,https://maps.google.com/?q=loc%3A+Wild+Goose+Rd%2E+NE+at+Valley+Moses+Lake+WA+US,18 ft. SPORT,$15000,power, (Moses Lake Wa.),2006 Sea Ray 18 ft. Sport,https://moseslake.craigslist.org/boa/5924958928.html,2006
4,excellent,,2016-12-18 15:35,"1993 BAREFOOT SANGER 200hp XRI fuel injected Mercury outboard. Excellent condition Dual batteries NEVER BEEN IN SALT WATER!! EVER!! Original trailer in perfect condition to prove its never seen salt water. Bimini top Custom cover Always stored indoors Never been left on the water over night. These boats are getting hard to find, cause everybody destroyed them in the salt water. This boat skis awesome and goes 60+ and turns like an Indy car. You won't find another in as good of shape, that hasn't been in salt.",900,5918624843,,20,,Sanger,,Barefoot,$11500,power, (WA),BAREFOOT SANGER,https://moseslake.craigslist.org/boa/5918624843.html,1993
5,,,2016-12-18 10:14,"2005 Moomba Mobius LSV, 21', V-drive, balast system, wakeboard tower with speakers, stereo, heater, bimini top, boat cover, tandem axle trailer with swing away tongue, open bow, fiberglass swim deck, tons of storage, 143 hours on the boat, 20 hours on the engine.",,5924372822,,21,,Moomba,,Mobius LSV,$27500,power,,2005 Moomba Mobius LSV,https://moseslake.craigslist.org/boa/5924372822.html,2005
6,,,2016-12-17 10:36,"Boat lift. Decent shape. Just needs a little cleaning up. Be ready for next summer. $500 9 ft long X 8.5 ft wide, was used for a 21ft jet boat. You haul. Call or text show contact info",,5917182987,,9,,Na,,Na,$500,human, (Moses Lake),Boat lift,https://moseslake.craigslist.org/boa/5917182987.html,
7,good,"['47.615000', '-117.704000']",2016-12-17 09:32,"1 owner, runs excellent. 30 horsepower Suzuki motor. Recently serviced.  Has been winterized.  Calkins trailer included. Stored in covered area",,5923140248,47.615000,15,-117.704000,Smoker Craft,"https://maps.google.com/maps/preview/@47.615000,-117.704000,16z",AOGPR,$2150,power,,Smoker Craft,https://moseslake.craigslist.org/boa/5923140248.html,1992
8,good,,2016-12-16 01:13,"1991 550 SX kawasaki jetski and a 1985 550 JS kawasaki jetski, nice condition and both have aftermarket bolt on part's, run excellent- buy both for $1500 or $1200 for the '91 and $700 for the'85 if you were to only buy one of them, call for details",,5917471624,,6,,KAWASAKI,,550 SX-JS,$1500,power, (Moses Lake),Kawasaki 550 stand-up jetski's,https://moseslake.craigslist.org/boa/5917471624.html,
9,excellent,"['47.137400', '-119.289100']",2016-12-13 14:50,15 FT PELLICAN FIBERGLASS CANOE 1 SET OARS GOOD SHAPE $200 LOCATED IN MOSES LAKE YOU PICK UP NO EMAILS CALL COY @ 7501362,,5918240986,47.137400,15,-119.289100,PELLICAN,"https://maps.google.com/maps/preview/@47.137400,-119.289100,16z",,$200,human, (Moses Lake),15 FT FIBERGLASS CANOE,https://moseslake.craigslist.org/boa/5918240986.html,
