,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,,2016-12-11 14:36,1991 yamaha superjet new motor just rebuilt less than 20 hours on motor. Yamaha waveraider cylinder punched 90 over. R&d head. Very clean machine. Runs excellent pulls hard. 1600 obo,20,5915345327,,20,,Yamaha,,Superjet,$1600,power, (ephrata),1991 yamaha superjet,https://moseslake.craigslist.org/boa/5915345327.html,1991
1,good,,2016-12-11 10:34,"87 Bayliner capri, really nice boat. 457 hours.all licenced and ready to fish. Galvanized trailer, tires like new. Will text more pics if wanted,great shape other than rear upholstery weathered.omc 4 cyl inboard, omc cobra outdrive. Has full top. Cash only no trades $1,600 obo, cash talks.",457,5904296564,,17,,Bayliner,,capri 1750,$1600,power, (Ephrata),87 Bayliner capri for Christmas,https://moseslake.craigslist.org/boa/5904296564.html,
2,,"['47.321959', '-119.633589']",2016-12-09 13:55,"1975 18ft American Jet Boat, good paint, fresh small block chevy 350, 2hrs run time on new motor, runs great, boat & trailer currently tabbed into next year, all lights work on trailer, good tires, call for more info, will take to lake for test drive for serious buyers only Clean & Clear titles for both boat and trailer, interested in trades for two decent snowmobiles $5,000 OBO 509-four,3,one-00nine,nine",2,5912746034,47.321959,18,-119.633589,,"https://maps.google.com/maps/preview/@47.321959,-119.633589,16z",,$5000,power, (ephrata),1975 American Jet Boat,https://moseslake.craigslist.org/boa/5912746034.html,
3,,"['47.137400', '-119.289100']",2016-12-08 06:45,"1974 18' Silverline Tr-Hull boat, great condition. Bullet proof 165 hp Mercruiser & Mercruiser outdrive. New upholstery, 52# thrust 24V Minn Kota bow mounted electric trolling motor powered by 2 deep cycle batteries with foot control. Evinrude 6hp kicker with easy steer from outdrive, Lowrance fish finder with temp & speed indicators. Umbrella convertible top, new swivel seats up front. Very good Easy Loader trailer with new tires. This is a very good running & great fishing boat with lots of room to move around & very stable tri-hull construction & nice deep sides for safety. call me at 5O9 43I-84O6 Ok, I guess I need to edit this ad to tell everyone, no responses back to your personal email, no paypal, no payments, no cashiers checks with the promise that you will have a third party get back to me with pickup instructions etc...etc...etc",,5875774680,47.137400,18,-119.289100,Silverline,"https://maps.google.com/maps/preview/@47.137400,-119.289100,16z",,$4000,power, (Moses Lake),1974 18' Silverline Tri-Hull,https://moseslake.craigslist.org/boa/5875774680.html,1974
4,excellent,"['47.724800', '-116.789000']",2016-12-07 12:12,'04 Fish and Ski - This has been a great boat for our family but time to get a new one! So many details: Complete fishing outfit including: 2 live wells Scotty electric downriggers Color fishfinder 200 HP Yamaha 4-stroke main and an optional Yamaha 9.9hp 4-stroke long-shaft kicker ($1000.00) Full Canvas with fish drop Dual-aux batteries Bow mount electric motor tandem axle trailer,250,5909741540,47.724800,21,-116.789000,Crestliner,"https://maps.google.com/maps/preview/@47.724800,-116.789000,16z",2050 Sportfish,$22000,power, (Coeur d'Alene),2004 Crestliner 2050,https://moseslake.craigslist.org/boa/5909741540.html,2004
5,,"['47.137400', '-119.289100']",2016-12-07 09:29,2016 jon boat 14 foot 8 hp 4stroke motor nice trailer   new larance fish finder  new seats pole holders  i just bought boat want salmon boat for river.... motor cost 2400  boat 1150 at Cabela's call. Ed show contact info or tex asking 3000.00 firm,20,5909455857,47.137400,14,-119.289100,,"https://maps.google.com/maps/preview/@47.137400,-119.289100,16z",,$3000,power, (moseslake),2016 Boat and trailer  motor,https://moseslake.craigslist.org/boa/5909455857.html,2016
6,,"['47.137400', '-119.289100']",2016-12-07 09:28,2016 jon boat 14 foot 8 hp 4stroke motor nice trailer   new larance fish finder  new seats pole holders  i just bought boat want salmon boat for river.... motor cost 2400  boat 1150 at Cabela's call. Ed show contact info or tex asking 3000.00 firm,20,5909454094,47.137400,14,-119.289100,,"https://maps.google.com/maps/preview/@47.137400,-119.289100,16z",,$3000,power, (moseslake),2016 Boat and trailer  motor,https://moseslake.craigslist.org/boa/5909454094.html,2016
7,good,,2016-12-07 07:47,1962 15hp Evinrude Outboard. Oldie but goodie! Runs great. Comes with double fuel line hose assembly and 6 gallon Johnson Fuel tank. $175.00. Please email if interested.,,5909242416,,3,,Evinrude,,,$175,power, (moses lake),1962 15HP Evinrude Outboard,https://moseslake.craigslist.org/boa/5909242416.html,1962
8,,,2016-12-06 20:15,"Looking for Unwanted/Used/Broken mastercraft-ski centurion -Supra - bayliner searay Let me know what you have, I can pick up with cash Text show contact info Ski wakeboard inboard",,5908749509,,17,,,,,$1,power, (Anywhere),Looking for Unwanted/Used/Broken mastercraft-ski centurion -Supra - ba,https://moseslake.craigslist.org/boa/5908749509.html,
9,good,,2016-12-02 16:30,Selling my Merc 200 20hp Twin-boat motor in very good shape complete. This is a VINTAGE 1968 2stroke motor it's believed to have low hours and is original.  Runs smooth won't be disappointed . Has been setting for 3 years. It's electric or pull start . I had this hooked up to steering in front of boat so handle is missing off motor. Call or text show contact info,,5902924278,,49,,Mercury 200 Twin,,S/N2296491,$700,power, (Moses Lake),VINTAGE Merc 200 20hp twin boat motor,https://moseslake.craigslist.org/boa/5902924278.html,1968
