,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,"['48.088100', '-123.119800']",2016-12-20 09:27,"""The Boston Whaler 13 Sport is pure, uncomplicated fun. Like the first 13-foot Whaler hull introduced in 1958, the Sport features ""unsinkable"" Unibond construction and a twin sponson hull for lateral stability and superior performance."" Your opportunity to own a legend. Whalers are second to none, and have a reputation for being the Mercedes of runabouts. They are very high quality, unsinkable and are one of the few boats on the market that actually appreciate -- protecting your investment. This boat has been used very lightly and is in excellent condition, save for a couple of minor dings in the gelcoat. The upholstery on the seats are also showing some wear. It is fast, extremely stable, and did I say unsinkable? Check out the online videos of the manufacturer driving one of these after they sawed it in half. Great peace of mind when you have your family out on the water. The 40hp Mercury outboard, also in excellent condition, has plenty of power to water ski, pull the tube, or whatever. The boat weighs less than 1,000 pounds and pulls really well behind my Ford Ranger 4cyl. It comes with a 2001 EZ Loader galvanized trailer, bimini top, and full length stainless steel side rails. Also included are bow and seat cushions (shown in featured photo). It is suitable for sport or fishing. It has a large anchor locker in the bow, and a great amount of space at the stern for gear (cooler, crab pots, tackle boxes, etc.).",,5923151852,48.088100,13,-123.119800,Boston Whaler,"https://maps.google.com/maps/preview/@48.088100,-123.119800,16z",130 Sport,$9450,power," (Sequim, WA)",2001 Boston Whaler 13' Sport,https://olympic.craigslist.org/boa/5923151852.html,2001
1,fair,,2016-12-19 18:12,Needs head gasket replaced has 4cylinder motor. Seats aren't terrible but have some weather checking 500$,,5903890660,,16,,,,,$500,power, (Forks),1989 boat 16ft,https://olympic.craigslist.org/boa/5903890660.html,
2,good,[],2016-12-19 12:59,"MERCURY, 25 HP SHORT SHAFT !! RUNS GREAT !!  Outboard has been fully checked and serviced. CREDIT CARDS ACCEPTED I also Repair, Buy, Sell and Trade Outboards",,5919459765,,18,,MERCURY,https://maps.google.com/?q=loc%3A+%37%33+James+Page+Road+Port+Angeles+WA+US,MERCURY,$900,power, (Port Angeles),25 HP MERCURY SHORT SHAFT,https://olympic.craigslist.org/boa/5919459765.html,1986
3,like new,[],2016-12-19 11:37,"Fishing, hunting, scuba diving, work boat or just plain Pleasure Boating. This Custom built Makai21ft Aluminum boat has very  few hours and is like Brand New. This is a one of a kind Alum. hull w/ small sleeper and storage.it has ample room to move and stay out of the weather. The 135 H.P  Saltwater series V-6 Mercury Optimax outboard motor has plenty of power to make this craft scoot. The boat has Top quality Sunbrella enclosure that keeps you out of the Elements. Equipped w/ all the Sonar and GPS w/ mapping you will ever need.  CB Radio and dual battery this boat is well equipped. The large fuel cell allows for long trips  and this extremely versatile boat has a custom tandem axle trailer w/ brand new tires so you can Hook up and roll. this boat is priced at less than half of its value. At $13,500   call Darren at show contact info",25,5925749807,,21,,MAKAI,https://maps.google.com/?q=loc%3A+Freya+at+Joseph+Spokane+WA+US,,$13500,power, (N.SPOKANE),"CUSTOM MAKAI Alum. boat,135 OptiMax.n trailer",https://olympic.craigslist.org/boa/5925749807.html,2003
4,excellent,"['48.403926', '-122.369334']",2016-12-18 18:52,"1981 24' Glasply Alaskan bulk head repowered two years ago with twin 2002 Honda 130hp four stroke outboards. The outboards were never used 0 hours on the outboards when I installed them. Installed fish hold where inboards used to be, dual bilge pumps, wash down pump, trim tabs, marine head, radar, dual Raymarine fish finders/GPS units and electric pot puller. The boat cruses at 28mph @ 4000 RPMs or 38mph at 5200 RPMs. Its sitting on a 2008 galvanized EZ Loader trailer with electric over hydraulic disk brakes that were rebuilt 2 months ago. Make Offer over 50k into it.",350,5886614938,48.403926,27,-122.369334,Glasply,"https://maps.google.com/maps/preview/@48.403926,-122.369334,16z",24ft,$31000,power,,24' Glasply outboards,https://olympic.craigslist.org/boa/5886614938.html,1981
5,good,"['48.063397', '-123.350372']",2016-12-18 15:02,"1976 BAYLINER-BUCCANEER-SLOOP, SHALLOW DRAFT FIXED LEAD KEEL- TRAILER (REBUILT- 2 SPARE TIRES)- 2004 8hp HORSEPOWER MERCURY OUTBOARD EXTRA LONG-SHAFT WITH BATTERY CHARGER (SERVICED IN 2014). IVE OWNED THE VESSEL FOR THE LAST 15 YEARS AND BEEN REFITTING HER. COMES WITH ONE OF EVERTHING AND MORE, ITS OVER EQUIPPED. NEW: MAINSL' PORTLIGHTS (WINDOWS) RIGGING LIFE LINES, MOTOR MOUNT, INTERIOR CUSTOMIZED, THE UPHOLSTERY  REDONE. 3 MAINSL'S 3 JIBS, BOTTOM PAINT, VHF RADIO, DEPTH SOUNDER & FISH FINDER, PADDLES,2 INFLATABLE DINGHYS + OARS, CUSHIONS, LIFE JACKETS (KIDS AND UP) PILLOWS, 2 RADAR REFLECTORS, DROUGE, 2 FUEL TANKS, BAILERS MANUAL & ELECTRIC BILGE PUMPS, HEAD (BASIC), STOVE, HEATER, FLAIRS, SPARES, 2 HOUSE BATTERIES, NIGHT LIGHT, ROPE , LINES , CUSTOM COMPASS, PROPANE BARBEQUE, NEW CUSTOM BOOM TENT, BINOCULARS, CHARTS, MAPS, THE BEST SAN JUAN ISLAND'S BOOK, 3 ANCHORS, (ONE ALL CHAIN 150' + CLAW- 1 50'CHAIN WITH 100' ROPE DANFORTH, EMERGENCY GEAR, EMERGENCY TILLER, SAIL COVERS +_CUSTOM PVC FRAME FOR WINTER COVER-TARPS AND WOOD BLOCKS, FANS AND MOISTURE COLLECTORS, LIGHT BULBS MOUNTED WITH CANS AND ELECTRIC ON AND OFF TIMER WITH MULTI-PLUG PANEL CUPS, GLASSES, DISHES, PANS, FOG HORN, BOAT HOOK, VACUUM, BUNGIE CORDS, FIRE EXTINQUISHERS, TOOLS, HYDROLIC JACK, LUG WRENCH, TWO SLEEPING BAGS (JUST WASHED), SMALL ICE CHEST, FENDERS, BOARDING STEP AND LADDER, BROMETER-CLOCK, SMOKE DETECTORS, 2 FIVE GALLONS WATER JUGS WITH SPIGOTS, 110 12 VOLT MARINE BATTERY CHARGER, AND MORE. TRAILER LICENSE TABS GOOD THROUGH JULY 2015.  VIRTUALLY EVERTHING I REBUILT WAS OVER DONE, BEEFED-UP, BEEN OUT ALL DAY WITH 7 ADULTS AND NOT FELT CROWDED. TWO CAN GO TO THE SAN JUAN ISLANDS FOR WEEKS. THIS VESSEL TRUELY SAILS WELL. $7250.00 REED show contact info",,5904548652,48.063397,21,-123.350372,,"https://maps.google.com/maps/preview/@48.063397,-123.350372,16z",,$7250,sail," (PORT ANGELES, WA.)",BAYLINER BUCCANEER  21' SLOOP,https://olympic.craigslist.org/boa/5904548652.html,
6,good,,2016-12-18 10:28,For sale 1995 17' Glastron and Force 120hp motor. Original owner. Less than 250 hours on both. 90% fresh water. Garaged. Boat needs a little work. Accessories included. Easyloader galvanized trailer.,250,5924391436,,17,,Glastron/ Force,,,$2500,power, (Fox Island),Glastron Boat and Motor,https://olympic.craigslist.org/boa/5924391436.html,1995
7,,"['48.088100', '-123.119800']",2016-12-18 10:25,3.5 hp 1 to 6 Gear ratio needs coil ran it for winter crab this year worked crest coil cost is 18 30 dollars on the Internet it does have aspare parts motor that comes with it show contact info,,5919114246,48.088100,0,-123.119800,,"https://maps.google.com/maps/preview/@48.088100,-123.119800,16z",,$250,power,,Crab pot puller,https://olympic.craigslist.org/boa/5919114246.html,
8,good,,2016-12-18 08:19,"For sale 1999 mercury 4-stroke, long shaft (20"") 9.9 with remote controls (17' long). Runs good only selling because my new boat needs a 25"" shaft engine. 360-461-sixsixzeroeight Possible trade for hunting rifles.",,5905387208,,20,,mercury,,9.9,$1200,power, (port angeles),1999 mercury 9.9 long shaft with controls,https://olympic.craigslist.org/boa/5905387208.html,1999
9,good,,2016-12-18 00:39,"Ingrid 38 ft Bluewater cutter rigged sailboat. $45 500.00 .o.b.c.o. Designed by William Atkin and based on Colin Archer Lifeboats. She was commisioned and built by Bluewater Boats in Woodenville Washington in 1979. Laid up by hand fiberglass cloth, no blisters whatsoever.Specs can be found at http://bluewaterboats.org/ingrid-38/ She was in the yard summer 2014, Bottom sanded, epoxy barrier coat and 2 coats of Petit Trinidad, 2 new thruhulls, shaft removed , new cutlass bearing, prop sent for balancing it is 3 bladed, and new zincs. Built a new teak and mahogany toerail the old one was tired,3 coats of varnish and 3 coats of paint. Built a new deck propane locker ,cockpit locker and aft deck hatch from old growth mahogany and varnished. Replaced fresh water pump and fuel pump. Has phase 3 smart charger,   prevalier house batteries and new starting battery.   Ferryman v twin diesel S30M , 900 original hours . Engine and engine room freshly painted recently.  Spa creek alternator control,   Aries windvane,   Avon Liferaft is out of date,   Icom vhf,    Icom m 700 single sideband radio,   Espar forced air diesel heater,  Raritan saniflush sysem,    Furuno 1720 Radar,   Three burner gimbled propane stove with oven.  All sails except for spinnaker are new, Main, storm jib, Jib, Yankee Jib, Yankee staysail all made of very heavy cruising dacron.  There are tons of spares for cruising,   loads of blocks and gear, Two   45lb cqr anchors on the bow with full chain and rode also, chain in stern for stern anchoring also.  Moorage is $216.00 monthly or $1470.00 yearly .Please call Leon at show contact info Thank you.",900,5923970991,,45,,ingrid 38 bluewater boats,,,$45500,sail, (winchester bay oregon),Ingrid 38ft bluewater cutter rigged sailboat,https://olympic.craigslist.org/boa/5923970991.html,1979
