,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,,2016-12-11 12:28,1999 Smokercraft Canadian 14 foot aluminum lake boat on a new 2016 EZ loader trailer.,,5915182902,,14,,Smokercraft,,Canadian,$1500,human, (Port Angeles),14' Smokercraft Canadian and New 2016 Trailer,https://olympic.craigslist.org/boa/5915182902.html,1999
1,good,"['48.063397', '-123.350372']",2016-12-11 05:48,"1976 BAYLINER-BUCCANEER-SLOOP, SHALLOW DRAFT FIXED LEAD KEEL- TRAILER (REBUILT- 2 SPARE TIRES)- 2004 8hp HORSEPOWER MERCURY OUTBOARD EXTRA LONG-SHAFT WITH BATTERY CHARGER (SERVICED IN 2014). IVE OWNED THE VESSEL FOR THE LAST 15 YEARS AND BEEN REFITTING HER. COMES WITH ONE OF EVERTHING AND MORE, ITS OVER EQUIPPED. NEW: MAINSL' PORTLIGHTS (WINDOWS) RIGGING LIFE LINES, MOTOR MOUNT, INTERIOR CUSTOMIZED, THE UPHOLSTERY  REDONE. 3 MAINSL'S 3 JIBS, BOTTOM PAINT, VHF RADIO, DEPTH SOUNDER & FISH FINDER, PADDLES,2 INFLATABLE DINGHYS + OARS, CUSHIONS, LIFE JACKETS (KIDS AND UP) PILLOWS, 2 RADAR REFLECTORS, DROUGE, 2 FUEL TANKS, BAILERS MANUAL & ELECTRIC BILGE PUMPS, HEAD (BASIC), STOVE, HEATER, FLAIRS, SPARES, 2 HOUSE BATTERIES, NIGHT LIGHT, ROPE , LINES , CUSTOM COMPASS, PROPANE BARBEQUE, NEW CUSTOM BOOM TENT, BINOCULARS, CHARTS, MAPS, THE BEST SAN JUAN ISLAND'S BOOK, 3 ANCHORS, (ONE ALL CHAIN 150' + CLAW- 1 50'CHAIN WITH 100' ROPE DANFORTH, EMERGENCY GEAR, EMERGENCY TILLER, SAIL COVERS +_CUSTOM PVC FRAME FOR WINTER COVER-TARPS AND WOOD BLOCKS, FANS AND MOISTURE COLLECTORS, LIGHT BULBS MOUNTED WITH CANS AND ELECTRIC ON AND OFF TIMER WITH MULTI-PLUG PANEL CUPS, GLASSES, DISHES, PANS, FOG HORN, BOAT HOOK, VACUUM, BUNGIE CORDS, FIRE EXTINQUISHERS, TOOLS, HYDROLIC JACK, LUG WRENCH, TWO SLEEPING BAGS (JUST WASHED), SMALL ICE CHEST, FENDERS, BOARDING STEP AND LADDER, BROMETER-CLOCK, SMOKE DETECTORS, 2 FIVE GALLONS WATER JUGS WITH SPIGOTS, 110 12 VOLT MARINE BATTERY CHARGER, AND MORE. TRAILER LICENSE TABS GOOD THROUGH JULY 2015.  VIRTUALLY EVERTHING I REBUILT WAS OVER DONE, BEEFED-UP, BEEN OUT ALL DAY WITH 7 ADULTS AND NOT FELT CROWDED. TWO CAN GO TO THE SAN JUAN ISLANDS FOR WEEKS. THIS VESSEL TRUELY SAILS WELL. $7250.00 REED show contact info",,5904548652,48.063397,21,-123.350372,,"https://maps.google.com/maps/preview/@48.063397,-123.350372,16z",,$7250,sail," (PORT ANGELES, WA.)",BAYLINER BUCCANEER  21' SLOOP,https://olympic.craigslist.org/boa/5904548652.html,
2,good,,2016-12-10 17:34,"Ingrid 38 ft Bluewater cutter rigged sailboat. $45 500.00 .o.b.c.o. Designed by William Atkin and based on Colin Archer Lifeboats. She was commisioned and built by Bluewater Boats in Woodenville Washington in 1979. Laid up by hand fiberglass cloth, no blisters whatsoever.Specs can be found at http://bluewaterboats.org/ingrid-38/ She was in the yard summer 2014, Bottom sanded, epoxy barrier coat and 2 coats of Petit Trinidad, 2 new thruhulls, shaft removed , new cutlass bearing, prop sent for balancing it is 3 bladed, and new zincs. Built a new teak and mahogany toerail the old one was tired,3 coats of varnish and 3 coats of paint. Built a new deck propane locker ,cockpit locker and aft deck hatch from old growth mahogany and varnished. Replaced fresh water pump and fuel pump. Has phase 3 smart charger,   prevalier house batteries and new starting battery.   Ferryman v twin diesel S30M , 900 original hours . Engine and engine room freshly painted recently.  Spa creek alternator control,   Aries windvane,   Avon Liferaft is out of date,   Icom vhf,    Icom m 700 single sideband radio,   Espar forced air diesel heater,  Raritan saniflush sysem,    Furuno 1720 Radar,   Three burner gimbled propane stove with oven.  All sails except for spinnaker are new, Main, storm jib, Jib, Yankee Jib, Yankee staysail all made of very heavy cruising dacron.  There are tons of spares for cruising,   loads of blocks and gear, Two   45lb cqr anchors on the bow with full chain and rode also, chain in stern for stern anchoring also.  Moorage is $216.00 monthly or $1470.00 yearly .Please call Leon at show contact info Thank you.",900,5876340420,,45,,ingrid 38 bluewater boats,,,$45500,sail, (winchester bay oregon),Ingrid 38ft bluewater cutter rigged sailboat,https://olympic.craigslist.org/boa/5876340420.html,1979
3,good,,2016-12-10 17:25,Boat is approved for up to 3hp Anchor Crab pot davit Anchor windlass Oar locks Very light Safe Portable Easy to store Feel free to make offer,,5914328831,,10,,Porta-bote,,Genesis,$200,human, (Sequim),Porta bote Genesis 10',https://olympic.craigslist.org/boa/5914328831.html,
4,good,"['47.829960', '-122.633514']",2016-12-10 14:48,OBO.  Convenient Slide top for stand up driving.  4 cylinder motor is seized up.    Interior good.  No rot or leaks.  Have title. Will consider trade call Gary show contact info or 3004,,5885605749,47.829960,19,-122.633514,BellBoy,"https://maps.google.com/maps/preview/@47.829960,-122.633514,16z",,$900,power, (Poulsbo),19' BellBoy 1982 Slide Top/Trailer,https://olympic.craigslist.org/boa/5885605749.html,1982
5,,"['47.831596', '-122.630768']",2016-12-10 14:48,Good condition call Gary show contact info,,5885607960,47.831596,7,-122.630768,,"https://maps.google.com/maps/preview/@47.831596,-122.630768,16z",,$100,human, (Poulsbo),7' Colombia tender,https://olympic.craigslist.org/boa/5885607960.html,
6,fair,,2016-12-10 13:40,I have a ten foot Livingston for sale decent condition perfect for lake fishing and calm day crabbing and fishing in kelp beds.  Also comes with a 4 horse motor also has a fuel tank with it too.,,5914078701,,10,,Livingston,,,$400,power, (Port angeles),10 ft livingston,https://olympic.craigslist.org/boa/5914078701.html,
7,fair,,2016-12-10 10:46,Needs head gasket replaced has 4cylinder motor. Seats aren't terrible but have some weather checking 500$,,5903890660,,16,,,,,$500,power, (Forks),1989 boat 16ft,https://olympic.craigslist.org/boa/5903890660.html,
8,excellent,"['48.088100', '-123.119800']",2016-12-10 09:39,"""The Boston Whaler 13 Sport is pure, uncomplicated fun. Like the first 13-foot Whaler hull introduced in 1958, the Sport features ""unsinkable"" Unibond construction and a twin sponson hull for lateral stability and superior performance."" Your opportunity to own a legend. Whalers are second to none, and have a reputation for being the Mercedes of runabouts. They are very high quality, unsinkable and are one of the few boats on the market that actually appreciate -- protecting your investment. This boat has been used very lightly and is in excellent condition, save for a couple of minor dings in the gelcoat. The upholstery on the seats are also showing some wear. It is fast, extremely stable, and did I say unsinkable? Check out the online videos of the manufacturer driving one of these after they sawed it in half. Great peace of mind when you have your family out on the water. The 40hp Mercury outboard, also in excellent condition, has plenty of power to water ski, pull the tube, or whatever. The boat weighs less than 1,000 pounds and pulls really well behind my Ford Ranger 4cyl. It comes with a 2001 EZ Loader galvanized trailer, bimini top, and full length stainless steel side rails. Also included are bow and seat cushions (shown in featured photo). It is suitable for sport or fishing. It has a large anchor locker in the bow, and a great amount of space at the stern for gear (cooler, crab pots, tackle boxes, etc.).",,5880206060,48.088100,13,-123.119800,Boston Whaler,"https://maps.google.com/maps/preview/@48.088100,-123.119800,16z",130 Sport,$9450,power," (Sequim, WA)",2001 Boston Whaler 13' Sport,https://olympic.craigslist.org/boa/5880206060.html,2001
9,good,,2016-12-10 08:00,"For sale 1999 mercury 4-stroke, long shaft (20"") 9.9 with remote controls (17' long). Runs good only selling because my new boat needs a 25"" shaft engine. 360-461-sixsixzeroeight Possible trade for hunting rifles.",,5905387208,,20,,mercury,,9.9,$1200,power, (port angeles),1999 mercury 9.9 long shaft with controls,https://olympic.craigslist.org/boa/5905387208.html,1999
10,excellent,"['48.757522', '-122.504525']",2016-12-09 14:08,"A beautiful specimen of the most popular sailboat ever sold. Family has cared for and loved her on many-a-adventure and now looks to pass her on to others to do the same. - 2014 Sails - 2014 Garmin GPS 541S Chartplotter - Dodger - Lazyjacks - whisker pole - Furled 150 Genoa (2014) - 2015 Macerator - Universal 5411 11hp diesel (~1200hrs) w/ 2013 transmission, 2013 cutlass bearings, 2015 exhaust - Fuel Tanks cleaned and inspected in 2013 - Newer Wheel Helm - TrueAmp20 Battery Charger - Hot Water - 9' Dingy w/ 4stroke 9.9hp sail boat, sailboat, islands, erickson, columbia, cal, live aboard, liveaboard, pearson",1200,5912742006,48.757522,30,-122.504525,Catalina,"https://maps.google.com/maps/preview/@48.757522,-122.504525,16z",30,$19750,sail," (Bellingham, WA)",1981 Catalina 30 - NEW SAILS!!,https://olympic.craigslist.org/boa/5912742006.html,1981
