,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,salvage,"['46.735200', '-117.172900']",2016-12-11 15:50,"I have a 1976 craftboat for sale! I got it as a project, but I have one too many projects. I haven't had the chance to run the motor, but I was told it worked. It had a Mercury 65HP Thunderbolt Ignition outboard motor. The boat will need the interior completely restored, but it will be an easy fix. Th boat comes with the trailer. $500 OBO",1,5915428208,46.735200,1,-117.172900,,"https://maps.google.com/maps/preview/@46.735200,-117.172900,16z",,$500,power, (Pullman),Boat,https://pullman.craigslist.org/boa/5915428208.html,
1,,,2016-12-09 19:02,"- 2 sided - depths and land contours - 23"" x 31"" - could be mailed in a tube w/Paypal payment to include postage",,5900196150,,0,,N/A,,N/A,$5,human," (Moscow, ID)","1991 Map of Lake Coer d'Alene, laminated",https://pullman.craigslist.org/boa/5900196150.html,1991
2,like new,,2016-12-09 12:24,Blue and white Cobalt open front boat with tan interior and with trailer.,20,5912610237,,23,,Cobalt,,,$55000,power,,2015 Cobalt 23' Boat,https://pullman.craigslist.org/boa/5912610237.html,2015
3,fair,"['46.977600', '-114.061900']",2016-12-07 07:47,Aluminum boat. 18'x4'. Seats 6-8. Includes trailer and oars.,,5909274718,46.977600,18,-114.061900,None,"https://maps.google.com/maps/preview/@46.977600,-114.061900,16z",None,$350,human,,Aluminum boat,https://pullman.craigslist.org/boa/5909274718.html,1950
4,salvage,"['46.394600', '-117.064500']",2016-12-06 16:19,"95, 19 ft Starcraft boat totaled hull needs repaired, rivets missing and some have heads sheared off. 115 h p Mercury out board, compression checked 145+ on all cylinders, lower unit checked okay, skage needs built up repaired, with new prop. Trailer in good shape, with spare tire. Asking  $3750.00 Contact phone or text; show contact info",,5908599161,46.394600,19,-117.064500,STARCRAFT,"https://maps.google.com/maps/preview/@46.394600,-117.064500,16z",FISHMASTER,$3750,power," (CLARKSTON, WA)",owner,https://pullman.craigslist.org/boa/5908599161.html,1995
5,,,2016-12-06 09:28,"1990 Almar aluminum jet stream bow rider. Kodiak 351 motor with 545 hrs. Boat runs great but interior needs a little tlc. $13,000 OBO. Call or text show contact info",545,5895014875,,18,,Almar aluminum,,Jet stream Bow Rider,$13000,power, (Lewiston),1990 Almar Aluminum jet boat,https://pullman.craigslist.org/boa/5895014875.html,1990
6,excellent,"['46.730900', '-116.989700']",2016-12-04 15:36,"19 foot Spectra speed boat.  Strong Harman Marine 460, Hydraulic Trim tabs, new interior,  Killer stereo.  This boat is a 9 out of 10 you won't find one in this shape.  No trades!",,5905527982,46.730900,19,-116.989700,,"https://maps.google.com/maps/preview/@46.730900,-116.989700,16z",,$7500,power, (Moscow),1977 Spectra Speed Boat,https://pullman.craigslist.org/boa/5905527982.html,
7,,,2016-11-26 09:35,"2005 Moomba Mobius LSV, 21', V-drive, ballast system, wakeboard tower w/speakers, stereo, heater, bimini top, boat cover, tandem axle trailer with swing away tongue, fiberglass swim deck, open bow, tons of storage, stored indoors, 143 hours on the boat, 20 hours on the engine.",,5853431712,,21,,Moomba,,Mobius LSV,$27500,power,,2005 Moomba Mobius LSV,https://pullman.craigslist.org/boa/5853431712.html,2005
8,,"['46.735200', '-117.172900']",2016-11-25 21:28,i have a 2cycle oil auto blender made by mercury works good mix gas 50/to1 auto blender,,5854900747,46.735200,4,-117.172900,,"https://maps.google.com/maps/preview/@46.735200,-117.172900,16z",,,power,,2cycle oil auto blender,https://pullman.craigslist.org/boa/5854900747.html,
9,good,,2016-11-25 15:04,"Livingston fiberglass boat with oars Good boat for fishing, etc. when you add a small outboard/trolling engine",,5876729761,,12,,Livingston,,LBC37300L788,$350,human," (Pullman, WA)",Livingston boat and oars,https://pullman.craigslist.org/boa/5876729761.html,1988
10,,"['46.733155', '-117.005768']",2016-11-21 12:49,"For sale: Wavesport Big EZ play boat. Used but still has plenty of life left. Good play boat or a nice bargain for someone who wants to get in to kayaking. Comes with everything pictured - no paddle. Cash only, no trades.",,5860166919,46.733155,7,-117.005768,,"https://maps.google.com/maps/preview/@46.733155,-117.005768,16z",,$200,human, (Moscow),Wavesport Big EZ kayak,https://pullman.craigslist.org/boa/5860166919.html,
11,good,"['46.730900', '-116.989700']",2016-11-20 07:16,"These boats were manufactured in Spokane with high freeboard hulls meaning  you get the driest ride on the choppiest water. Other hull design features unique to the Sun runners were the use of encapsulated stringers in the hull so virtually no rot. The hull is the strongest toughest design ever mass produced and was warrantied for life.    Turns on a dime and powers out of the hole briskly with the dual props and the 5.0 V8 engine. It gets buffed and hand rubbed twice a year and is kept inside. Factory bow cover is serviceable but needs some repair, the salon cover was repaired last year with new window panels and some stich work. The rear cover is good. With the covers on it can handle rough water and rainy days too. Trailer is nice and has new winch strap and new tires. Launches and recovers like a dream even in the wind. Needs some little things just like any boat 25 years old. That's part of the fun. Comes with two newer stern ropes and a new bow rope, decent fenders, nice life jackets ,push off stick, rear view mirror  and some other extras NO Trade or Payments. Will entertain an offer near the asking price.",,5884940069,46.730900,19,-116.989700,sunrunner,"https://maps.google.com/maps/preview/@46.730900,-116.989700,16z",195b,$3900,power,,1990 Sunrunner 195B runabout,https://pullman.craigslist.org/boa/5884940069.html,1990
12,excellent,,2016-11-16 16:37,"Very low hours looks amazing for its age , great eye appeal, winterized every year and stored inside, has cover as well. 350 Chevy Fish finder Many ski's, tube, ropes, life jackets, knee board. Open bow No hour meter Mercury inboard outboard, two props , one stainless steal and one regular. Great family boat, I hate to sell it but illness forces sale. $ 5000.00 OBO",,5879813247,,187,,Invader,,187,$5000,power,,1989 INVADER. OPEN BOW,https://pullman.craigslist.org/boa/5879813247.html,1989
13,,,2016-11-16 11:03,2005 Yamaha Super Jet.  $4500 - custom 760 cc blowsion custom professionally.                    installed engine.  Less than 20 hrs on new engine - recently replaced start button -recently replaced bilge pump -recently replaced bendix 1998 Kawasaki Sit Down Jet Ski + 2007 Boat Trailer  $2000 So much fun sad to see them go 509-432-603two,,5843218416,,8,,,,,$6500,power, (Palouse),Jet skis,https://pullman.craigslist.org/boa/5843218416.html,
14,,"['46.820900', '-118.286200']",2016-11-13 11:33,Built boat this last summer.  Floats great and no leaks.  15' long and 4' wide.  No trailer or motor.,,5874723323,46.820900,15,-118.286200,,"https://maps.google.com/maps/preview/@46.820900,-118.286200,16z",,$750,human, (Washtucna),1 of a kind wooden Jon Boat,https://pullman.craigslist.org/boa/5874723323.html,
15,good,[],2016-11-11 15:20,"12 ft aluminum boat for sale in Pullman.  Includes a Minnkota 36 lb thrust electric motor.  Also comes with one battery, one anchor, one throw cushion/float device. Does not include a trailer but it fits in the bed of a truck and is lightweight. Asking $650 obo! Please send me a message if interested!",,5872208405,,12,,,https://maps.google.com/?q=loc%3A+%32%31%35+NW+Cory+Lane+Pullman+WA+US,,$650,power, (Pullman),12 ft. Aluminum Boat for sale!,https://pullman.craigslist.org/boa/5872208405.html,
16,good,[],2016-11-09 16:14,"quick-n-easy roof rack....35.00,     4 each 1 foot carlisle oar extenders...10.00 each,   1 each 6 inch carlisle blade...10.00,   1 each 9.5 ft. carlisle oar with 8 inch blade and oarsleeve (no right)...30.00,    neoprene booties, sizes 9, 12, 13...5.00 each",,5869160963,,10,,NRS,https://maps.google.com/?q=loc%3A+Grand+Fir+Drive+at+Cedar+Moscow+WA+US,,$5,human, (Moscow),Raft gear for sale,https://pullman.craigslist.org/boa/5869160963.html,
