,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['47.591300', '-122.868600']",2016-12-20 18:02,"Tall bow and high sides. 2001 90hp Mariner. 97' 8hp Merc kicker. 20 gallon built in plastic tank. Galv trailer, very nice. GPS depth sounder/fish finder. Built in live well in console. Scotty down riggers.",,5927633300,47.591300,17,-122.868600,,"https://maps.google.com/maps/preview/@47.591300,-122.868600,16z",,$6700,power, (Seabeck),******17ft Western Aluminum Center Console******,https://seattle.craigslist.org/kit/boa/5927633300.html,
1,excellent,"['47.211300', '-122.412600']",2016-12-20 17:57,"Good day boaters! I have a 19' Bayliner Classic for sale- $3500.00 and it comes with a rust proof trailer. It has a brand new (never used in the water yet) propeller, brand new battery- both from West Marine- new Cobra VHF water proof radio, brand new blue top and cover, weather strap down slip cover, new radio, brand mounted fishing pole mounts, and $700.00 worth of toys and ropes and accessories  can also be added for an additional $250.00! This is a steal on a land docked and covered boat that is an excellent fishing boat, leisure lake and family boat to what ever you choose. Serious inquiries only. Lets talk about making this boat your next family toy!!! Price is firm and no trades please. Thank you",,5927628611,47.211300,19,-122.412600,Bayliner,"https://maps.google.com/maps/preview/@47.211300,-122.412600,16z",Classic,$3500,power,,Beautiful 19' Bayliner Classic w/trailer,https://seattle.craigslist.org/tac/boa/5927628611.html,1991
2,fair,[],2016-12-20 17:50,"(I apologize to those who were interested back in May.  Here's your second chance.) I will post pictures tonight. The transfer MUST happen Friday 12/23.  Anytime Friday but it must be Friday. Boat is in ROUGH condition.  I think it was licensed in 2005.  I have the title. The trailer will NOT be towable.  Wheel's are flat, not fixable, and rusted through the rims.  Will not tow.  Also the trailer is not licensed and I do not have the title. You MUST have another trailer or a flatbed. This is a project and or the piece of straw that breaks your marriage and starts your divorce. Floor and interior walls need replacing.  If it was me, (and I don't know what I'm doing), I'd pull floor and sides, coat the inside with some truck bed liner for head and noise insulation, then closed cell foam the inside for positive flotation, and put new exterior grade plywood in it.  That'd make a safeish lake boat out of it. The transom may actually be good.  It looks like they welded a heavy aluminum plate transom over the 1"" thick (or possibly 2x1"") plywood.  It had my wife on it so I could lift the tongue. No holes, not enough inspection for corrosion.  It is painted and superficially looks fine.  I have no way to garantee it's state.  (1960s aluminum 50 years later?)",,5927621941,,16,,Arkansas Traveller,https://maps.google.com/?q=loc%3A+NE+Stossel+Creek+Way+at+%33%34%38th+Ave+NE+Duvall+WA+US,unknown,,power,,Free 16' 1968 aluminum riveted boat,https://seattle.craigslist.org/see/boa/5927621941.html,1968
3,like new,"['47.862000', '-122.253200']",2016-12-20 17:25,"Samson wake tower ,8 interior speakers, 4 Samson tower speaker, 2 amps , remote control at driver position, custom made bimini, Brief Summary Sea-Doo delivers a sportboat fully ready for today's style of rapid action, high flying tow sports. The 230 Wake we tested took full advantage of the optional 430-hp Twin Rotax 4-TEC engines installed. Onboard there is room for 12 people or up to 2000 lbs of people and gear. You will always have the perfect wake by controlling up to 1000 lbs of ballast water and PerfectPass WakeboardPro speed control. There is plenty of room to stow your wakeboards onboard the twin racks on the standard tower and when you are done for the day you can stow your boat on the standard tandem axle trailer with disc brakes. Key Features Adjustable Height, Track and Swivel Bucket Padded/Bolstered Seating Rear-facing Passenger Seat Six Pull-Up Stainless Steel Cleats Stainless Steel Eyes Bow and Stern Driver/Passenger Console Glove Compartment Trailer, Custom-Matched Non-Skid Decking Non-Slip Grab Handle Wakeboard Tower and Racks Satellite-Ready Stereo 4 Tower Speakers,Remote PerfectPass WakeBoard Pro Speed Control Cockpit Controlled Dual Ballast Tanks Specifications Length Overall 23' 6'' 7.16 m Beam 8' 9'' 2.67 m Dry Weight 3,775 lbs. 1,712 kg Draft 12'' 30.5 cm Deadrise/Transom 20 deg. Max Headroom open Bridge Clearance 7' 6'' (no tower) 2.29 m Weight Capacity N/A Person Capacity N/A Fuel Capacity 53 gal. 200.6 l Water Capacity none Length on Trailer N/A Height on Trailer N/A Trailer Weight N/A Total Weight (Trailer, Boat, & Engine) N/A 2 x 215-hp Rotax Supercharged 4-TEC Starting at the bow, there is an ample anchor locker that has a cradle for the Danforth style anchor, and room for typical rode for a boat this size. Cleats are pull-up stainless steel and bow rails are low-profile and easy to reach. Seating in the bow is tremendous. At least six can comfortably gather up front. Large marine speakers deliver the tunes to the bow and lighted inset drinkholders with mirrors at the back are on both sides. Lift the seats up and you find a neat system for protecting gear stored inside. A rubberized grass mat system allows any water to drain down to the bottom and away while softening the bumps as you ride along. Under your feet, snap-in carpet softens the floor and makes clean up a snap at the end of the day. Three filler cushions convert the front into a spacious tanning salon. Stepping on back you find the first major surprise on the 230 Wake; a fold and stow retractable windscreen with door in the walkthrough. This pocket door system simply pulls out of the driver's side pod. You flip up the window and lock it in place, then lock the entire door in place with a barrel latch. Another great feature about this system is that it is all tempered glass so you have a truly open feeling looking forward while blocking the chilly morning breeze from the main cockpit.At the Controls The companion and driver's seats are comfortable bucket style with swivel and slide adjustments, to keep you in the conversation and give you a clear view ahead. Speakers to the sides of both seats provide loud, crisp sound to the main cockpit. A sturdy stainless grab bar gives the rider more confidence until they get used to the power of the optional 430hp supercharged engine package. The two boxes in the companion station house the stereo head, 12-volt adaptor and tons of room for bottles of tanning lotions, wallets and more. In the floor between the seats is a huge locker that has a rubber pad to protect the skis and any other long items you need to stow, or to keep the life jacket kit in easy reach. The helm station is laid out well for easy visibility of all instruments. With the Infinity sound system, you have a great PA system with the mic mounted to the left of the wheel for easy reach of the driver. In the middle of the instruments is the Perfect Pass system with 8 memory set points. Split throttle and shift levers are on the side gunnel with a padded arm rest with drinkholder just below. The controls for the ballast tanks are just below the armrest on the side panel. Our test model had another great option, electric retractable windows to really open up the feel underway. Push a button and the windows come down or go back up just like in your car. Overhead is a great wakeboard tower with tow point, racks and room to mount the Infinity sound systemCockpit Layout Moving on back, the aft cockpit offers another huge sitting space with wrap-around seating benches. Under the starboard bench is a handy carry-on Igloo cooler for drinks and beverages. Over on the port side is another padded storage box. The sunpad on the back covers the engine box. A standard pull-up ski post easily pulls out of the back of the stern bench seat for standard skiing. Under the pad, the table is stowed making it easy to find and easy to set up. The stern light stows in clips in the fiberglass tray that lifts out to gain access to the engines. With the engine cover down, the sunpad makes a great place to hang out at anchor, sit comfortably to put your skis or wakeboard on, or just relax and watch a sunset. Across the back are numerous handholds to get back aboard as well as a concealed telescoping swim ladder. The integrated swim platform also has a padded top to protect your favorite boards while you get set up for fun. The 230 Wake delivers the type of agility and control you need for boarding tricks. For performance, versatility, and precision this 230 represents a solid overall family package.",80,5918320375,47.862000,24,-122.253200,Brp/seadoo,"https://maps.google.com/maps/preview/@47.862000,-122.253200,16z",230 wake,$31000,power, (Lynnwood),2008 seadoo 230 wake,https://seattle.craigslist.org/sno/boa/5918320375.html,2008
4,excellent,"['48.994298', '-122.758548']",2016-12-20 17:24,The boats information and specs can be viewed at its posting under Vancouver craigslist. A Canadian registered boat moored in Blaine.,1500,5927598523,48.994298,57,-122.758548,Doran Schafer,"https://maps.google.com/maps/preview/@48.994298,-122.758548,16z",,$125000,sail, (whiterock),Sailboat 57 ft ketch Serenity,https://seattle.craigslist.org/sno/boa/5927598523.html,
5,excellent,,2016-12-20 17:23,"Time to Let Her Go. Have owned for 12 years, Kids all grown time for a new home. Has been a great ski boat, well taken care of and used only in fresh water. Over the years I have rebuilt the transmission direct drive replaced the clutches, overhauled the carburetor, new shaft seals. trailer has new tires, bearings. Have replaced the flooring. spare prop , Runs great, a true turn key boat. Interior great shape. stereo just a few years old. mooring cover matches. strong 351c with a lot of life left in her. a real fun boat to drive. Do Not Need Any Help Selling.  Please text or e-mail not always able to answer my phone. Thanks Dan  two five three- two two five-0355",700,5927597625,,19,,Ski Brendella,,short line,$6800,power, (Port Orchard),1991 Ski Brendella,https://seattle.craigslist.org/kit/boa/5927597625.html,1991
6,good,"['21.950136', '-159.359391']",2016-12-20 17:22,"65' Macgregor Pilothouse Sailboat Asking 175,000 (Survey value $185,000) Many updates, new batteries, newer sails , navigation electronics, and autopilot Located in Kauai Hawaii Coast Guard Documented at Seattle WA email for more info!",1800,5887377186,21.950136,65,-159.359391,Macgregor,"https://maps.google.com/maps/preview/@21.950136,-159.359391,16z",Pilothouse,$175000,sail, (Kauai),65' Sailboat,https://seattle.craigslist.org/see/boa/5887377186.html,1990
7,,"['47.673300', '-122.342600']",2016-12-20 17:18,"I've got a neat little Bullfrog for sale.  These boats make great tenders for yachts or just playing in the lakes or sound.  They have an aluminum bottom so you can beach them easily and with the hard sides, they don't puncture like a regular old inflatable or rib.  This boat does not have a trailer or motor and will need a bit of a pressure washing, a new piece of plywood for the floor and therefore is priced as such. These boats are notorious for being virtually unsinkable!  With the v-bottom aluminum hull, they track well and this one has a tremendous capacity of 4 people or 1090 lbs (on the coast guard plate) with people and gear! Not sure of the exact year,  but they have only been making these since the late 90's so it cannot be that old. E-mail is best.  Please include a phone number.  Serious buyers only.  Price is FIRM and FAIR.  Possibly open to trades.  No projects though.",,5927583347,47.673300,10,-122.342600,,"https://maps.google.com/maps/preview/@47.673300,-122.342600,16z",,$1995,power, (Can Deliver),Bullfrog Tender / Dinghy,https://seattle.craigslist.org/see/boa/5927583347.html,
8,fair,"['48.017100', '-122.067200']",2016-12-20 17:18,"1975 Bayliner Runabout -- New boat cover -- Literally brand new (0 miles) tires and rims -- New hardware on the trailer -- Trailer's been rewired and has new LED lights -- Trailer tabs are current -- Boat is registered, but just expired -- New (still in boxes) lounge seats -- Rebuilt 1985 Mercury motor -- New heavy duty outboard motor tolling w/breaks stand -- Mercury motor control cables Throttle controls need to be rebuilt. The interior of the boat is gutted. -- needs floor repaired and new carpet -- needs new carpet -- pulled the motor to clean and reinforce the transom.",,5924458646,48.017100,15,-122.067200,Bayliner,"https://maps.google.com/maps/preview/@48.017100,-122.067200,16z",Runabout,$1600,power, (Lake Stevens),1975 Bayliner Runabout,https://seattle.craigslist.org/sno/boa/5924458646.html,1975
9,,[],2016-12-20 17:12,"Sub-leasing our 52 slip on F-Dock for the month of January at nearly half price. Available the entire month. Dock side 50 & 30 amp power, water, trash. Slip side pump out available (not included). Email with questions.",,5927586842,,52,,,https://maps.google.com/?q=loc%3A+%32%36%30%31+West+Marina+Place+Seattle+WA+US,,$500,human, (Elliot Bay Marina),Elliott Bay Marina Moorage - 52' Slip,https://seattle.craigslist.org/see/boa/5927586842.html,
