,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,fair,,2016-12-20 15:44,"KING 10-14 Foot 12"" wheels",,5927495533,,12,,,,,$575,power, (BURLINGTON),KING BOAT TRAILER,https://skagit.craigslist.org/boa/5927495533.html,
1,new,"['48.478600', '-122.334500']",2016-12-20 14:42,"2016 StabiCraft 1410 comes with new Honda 50. Custom designed as Yacht tender and fishing boat, this all aluminum boat can flat out go. Only eight hours on the unit from rigging and sea trail. Comes with Icom M324G VHF radio installed on panel and Garmin Echomap 54DV installed on the panel, LED running lights, bilge, and fuel separator and 6 gallon fuel tank. Also included is brand-new King 2016 trailer. This a sweet set up that will not disappoint. Call Bill at show contact info",8,5927422718,48.478600,15,-122.334500,stabiCraft,"https://maps.google.com/maps/preview/@48.478600,-122.334500,16z",1410 Custom,$19999,power, (Burlington),New StabiCraft Aluminum 1410 Honda 50,https://skagit.craigslist.org/boa/5927422718.html,2016
2,like new,[],2016-12-20 13:12,"Hewescraft 180 Open Fisherman. Center Console, Yamaha 115, Yamaha 8, EZ Loader Trl, remaining warranty, Garmin gps/ff/depth, Scotty rod holder mounts, Cannon mounts and wired, storage tip seat,  excellent boat and new condition. 50 hours.",50,5927281798,,18,,Hewescraft,https://maps.google.com/?q=loc%3A+%31%32th+at+anacopper+anacortes+WA+US,180 OpenFisherman,$29900,power, (anacortes),2016-Hewescraft 18,https://skagit.craigslist.org/boa/5927281798.html,2016
3,,"['48.201100', '-122.378000']",2016-12-20 10:12,Water resistance 30 amp 50' with extra head.,,5926906185,48.201100,0,-122.378000,,"https://maps.google.com/maps/preview/@48.201100,-122.378000,16z",,$95,power, (Stanwood),Dock Boat Electrical Cord,https://skagit.craigslist.org/boa/5926906185.html,
4,,"['48.478600', '-122.334500']",2016-12-20 08:28,"Selling because we don't have enough time to use it. Has new mercruiser 4.3x/V6 engine that's been used about 10 times, previous owner had put in by a shop when the old engines block cracked over the winter 2 years ago. Alpha one out drive New 5% tinted windows New Boss audio waterproof sound system Boat sits on a 1995 shoreland'r trailer with hydraulic brakes Titles in hand Price is OBO Call or text with any questions 360-391-o9o9 Key words: inboard outboard open bow ski wake tube wakeboard bayliner",,5926849474,48.478600,20,-122.334500,Bluewater,"https://maps.google.com/maps/preview/@48.478600,-122.334500,16z",,$4000,power, (Burlington),20ft Bluewater lake boat,https://skagit.craigslist.org/boa/5926849474.html,1994
5,,,2016-12-20 08:22,"SNOCO Fits 10-14 Foot Painted NEW Lights NEW Bunks NEW Coupler Good  12"" tires Solid old Trailer Title in Hand",,5890137267,,12,,,,,$450,power, (BURLINGTON),SNOCO BOAT TRAILER,https://skagit.craigslist.org/boa/5890137267.html,
6,,,2016-12-20 08:20,LIVINGSTON 10 Foot FiberglassFugly But it floats Needs lots of TLC OBO,,5895016649,,10,,,,,$100,power, (BURLINGTON),LIVINGSTON,https://skagit.craigslist.org/boa/5895016649.html,
7,,"['48.478600', '-122.334500']",2016-12-20 08:17,"1988 15.5 ft smokercraft with 2014 25 hp outboard. $4,000.00 or best offer phone show contact info or text with any ?",,5903064728,48.478600,16,-122.334500,Smokercraft,"https://maps.google.com/maps/preview/@48.478600,-122.334500,16z",15.5,$4000,power, (Burlington),Smokercraft 15.5 ft boat,https://skagit.craigslist.org/boa/5903064728.html,
8,good,,2016-12-20 08:16,"E Z LOADER Galvanized 10 - 14 Foot 12"" Galvanized wheels w/ good tires Good lights w / NEW wiring NEW Tongue Jack NEW Bunks Added W/ NEW Brackets / Treated Wood / Carpet 2' Coupler Title in hand",,5898408523,,12,,,,,$600,power, (BURLINGTON),EZ LOADER TRAILER,https://skagit.craigslist.org/boa/5898408523.html,
9,,,2016-12-20 08:15,10 Foot Fiberglass Dinghy Good Condition Painted with a Brush NO TITLE $ 250,,5890688180,,10,,,,,$250,human, (BURLINGTON),10 FOOT DINGHY,https://skagit.craigslist.org/boa/5890688180.html,
10,,,2016-12-20 08:14,"8 Foot Semi V bottom Pram Sailing Version NO Sail Kit Made by HALL's Plastics Mann rd FIR ISLAND , WA. $ 275   OBO",,5890688400,,8,,,,,$275,human, (BURLINGTON),8  FOOT PRAM,https://skagit.craigslist.org/boa/5890688400.html,
11,,,2016-12-20 08:14,DINGHY 8 Foot Fiberglass VERY GOOD Condition Includes Oars $ 375   OBO,,5890688621,,8,,,,,$375,human, (BURLINGTON),DINGHY  /  8 FOOT,https://skagit.craigslist.org/boa/5890688621.html,
12,good,,2016-12-20 08:14,HEWESCRAFT 12 Foot Aluminum Good condition No leaks Title in Hand,,5912328070,,12,,HEWESCRAFT,,,$550,power, (BURLINGTON),HEWESCRAFT,https://skagit.craigslist.org/boa/5912328070.html,
13,excellent,,2016-12-20 08:13,SEA KING  Aluminum 14 Foot VERY GOOD Condition Title in HAND $ 650   FIRM,,5898257480,,14,,,,,$650,human, (BURLINGTON),SEA KING 14 FOOT ALUMINUM,https://skagit.craigslist.org/boa/5898257480.html,
14,excellent,,2016-12-20 08:13,"LOWE LINE Aluminum 14 FOOT 56"" BEAM / 19"" DEEP Excellent condition Title in hand OBO",,5890689725,,14,,LOWELINE,,,$875,power, (BURLINGTON),LOWE 14 FOOT ALUMINUM,https://skagit.craigslist.org/boa/5890689725.html,
15,like new,[],2016-12-20 06:43,"This is a barely used 2017 Klamath Windshield model 16EXWWelded Aluminum that we just took in on trade. It has a Tohatsu 40hp 4-stroke that just had it's 20hr service, Canvas with side and rear fish curtain, storage coverm Lowrance Elite-7ti GPS/Sonar, front seats with storage boxes, stern rails, bow rails, front bow storage, spare tire and an EZ Loader trailer.  This boat is like new inside and out and a great buy at only 16,995. Give us a call for more information show contact info Keywords-Hewescraft, Alumaweld, Kingfisher, North River, Weldcraft, Duckworth, Thunderjet, Aluminum, Seasport, Allied,Oregon Boat Company, Stabicraft, River Hawk, Tulalip, RH Boats, Northwest, Sunchaser, EZ Loader,Defiance, NW, Raider, Yamaha, Honda, Mercury, Suzukipuget sound , salmon , tuna , halibut , bass , marlin , fishing , fish , steelhead , largemouth , smallmouth , chinook , coho , silvers , kokanee , trout , cowlitz , columbia , crab , shrimp , razorclam , rods , reels outboard , inboard , boat , motor , trailer , mercury , Yamaha , evinrude , honda , suzuki , tohatsu , nissan , minnkota , minn kota , mercruiser , volvo , jet , ezloader , escort , calkins , carni , bayliner , searay , fourwinns , smokercraft , chriscraft , glasply , starcraft , chaparral , sundancer , hatteras , hewescraft , raider , alumweld , duckworth , defiance , grady white , trophy , boston whaler , pro-line , stipper , c-dory , pursuit , sportfisher , glacier bay , arima , seaswirl , larson , colbalt , bluewater , olympic , osprey , northriver , carver, keywords , key words , yamaha , prop , 225 , fourstroke , four-stroke, Catamaran, Hewescraft, hewes craft, Aluminum, Aluminum Boats, Duckworth, North River, fishing, Boulton, northriver, Raider, jet boat, Weldcraft, Alumaweld, Alumacraft, King Fisher, River Hawk, Smokercraft, Lund, Thunderjet, EZ loader trailer, Off Shore, Sea Wolf, Hewes, Pacific Cruiser, Yamaha, Honda, Mercury, Suzuki, OS, Used Boats, fishing, cruiser, Grady White, Sea Sport, Robalo, Trophy, Hewescraft, G3, Lund, Lowe, Legend, Duckworth, Riverhawk, Stingray, Bayliner, Wellcraft, Excel, OMC, Northwest,Mercursier, Volvo, Chevy, motor, ski boat, long block, 4.3 engine, 4.3 motor, Seattle Boat Show, fly bridge, fishing, cruiser, cruising, sundancer, larson, four winns, searay, sea ray, 305, 3055, 300SB, 310da, 300da, 310, 300, 31' Searay 280, sea ray 280, sundancer 280, seadancer280, sundaner 260, sundancer260, sea ray, searay, sea ray sundancer 280,Tiara, Tiara 31, tiara 3100, monterey, monterey boat, chaparral, amberjack, bayliner, bayliner 2655, bayliner 28', sea ray 26', searay 26', four winns, fourwinns, Meridian, Meridian Boat, Meridian 341, Cobalt boats, cobalt, 30,31,32,33,34,35,36,24, 24, 26, Maxum, SCR, SE, Maxum boat, 245, 2455, 240DA, Cabin Cruiser, Sundancer 240, 24 Sundancer, , sea ray cruiser, meridain,Vista 358, vista 378, fourwinns, four winns, four wins, fourwins, 400 dancer, sundancer 40, searay 400, sea ray 400, searay 40, sea ray 40, 320, sundancer 320, sundancer 310, sundancer 300, sundancer 340, sundancer 360, sundancer 380, sundancer 400, 32, 33, 34, 35, 36, 360, seattle boat show, 2900 tiara, Down-Riggers, Down Riggers, fishing, fishing boat, Olympic, bayliner, sea sport, seasport, orca, arima, seahawk, monaro, hewes, gradywhite, grady white, double eagle, striper, trophy,crab, prawns, trap, traps, down riggers, down rigger, fish, lobsterboat yacht cabin cruiser pilothouse wheelhouse wheel pilot house trailerable fuel efficient fishing crabbing salmon inboard, driftboat, pontoon, clackacaft, Lavro, willys, alumaweld, allied, arima",20,5910044746,,16,,Klamath,https://maps.google.com/?q=loc%3A+%31%31%30%37%31+Josh+Green+Lane+Mount+Vernon+WA+US,16EXW,$16995,power, (Mount Vernon),2017 Klamath 16EXW Aluminum Boat,https://skagit.craigslist.org/boa/5910044746.html,2017
16,excellent,,2016-12-20 06:14,17 foot lowe fm 175 Run like new only used about 20 times wife and kids are not in to It anymore always in my shop Lots of fishing room 4 seats that can be Moved to the front or back lots of storges Live well 12k obo cash is king No e-mails or pay pal ask for alan Call or text show contact info,,5915339583,,17,,Lowe,,Fm 175,$12000,power, (Oak harbor),17 foot lowe,https://skagit.craigslist.org/boa/5915339583.html,2009
17,,"['48.758438', '-122.502151']",2016-12-20 00:01,Clean 77 Cal Twenty-Seven -- Seven-thousand-two-hundred-twenty-five dollars Eighteen Horse Diesel,,5890762247,48.758438,27,-122.502151,,"https://maps.google.com/maps/preview/@48.758438,-122.502151,16z",,$7220,sail, (Bellingham),Cal twenty-seven,https://skagit.craigslist.org/boa/5890762247.html,
18,excellent,,2016-12-19 20:50,Commercial troll gurdies Kolstran,,5912556253,,3,,kolsrtan,,,$1500,power,,TROLL GURDIES,https://skagit.craigslist.org/boa/5912556253.html,
19,,,2016-12-19 18:02,"Stable canoe with no leaks. 37 inches wide. 15.5 feet long. Not perfect, but that's why it's priced so cheap.",,5907085949,,16,,,,,$220,human, (Alger),CANOE,https://skagit.craigslist.org/boa/5907085949.html,
20,,"['49.191906', '-123.134261']",2016-12-19 10:42,"The Winter Chinook fishery is under way in Vancouver, BC waters until the end of March. These tasty Feeder Chinook are anywhere from 8-20 lbs. We drop Crab & Prawn traps on all of these charters. Take advantage of the great exchange rates on the US Dollar and call Spring Loaded Fishing Charters to book a charter today. We offer fully guided salmon fishing charters within 30minutes from the dock on our 27' Grady White Sailfish. *Fully licensed and insured *Transport Canada approved All you need to bring is your fishing license, food and beverages of your choice. We supply the boat, fuel, fishing gear, tackle and bait for your charter. Departing from Vancouver Marina located near Vancouver International Airport. Check out our website for more detailed information. http://springloadedfishingcharters.com",,5910330320,49.191906,27,-123.134261,,"https://maps.google.com/maps/preview/@49.191906,-123.134261,16z",,,power,,"Salmon Fishing Charters Vancouver, BC",https://skagit.craigslist.org/boa/5910330320.html,
