,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['48.500400', '-122.630900']",2016-12-11 16:13,"10' dingy with outboard bracket, no leaks",,5915452936,48.500400,10,-122.630900,Avon,"https://maps.google.com/maps/preview/@48.500400,-122.630900,16z",,$350,human, (Anacortes),Avon inflatable,https://skagit.craigslist.org/boa/5915452936.html,
1,excellent,,2016-12-11 14:32,17 foot lowe fm 175 Run like new only used about 20 times wife and kids are not in to It anymore always in my shop Lots of fishing room 4 seats that can be Moved to the front or back lots of storges Live well 12k obo cash is king No e-mails or pay pal ask for alan Call or text show contact info,,5915339583,,17,,Lowe,,Fm 175,$12000,power, (Oak harbor),17 foot lowe,https://skagit.craigslist.org/boa/5915339583.html,2009
2,,"['48.310601', '-122.643127']",2016-12-11 13:29,"High quality 4 air chamber Incept raft. Not Walmart crap, look up the brand. Raft, bag, high output pump, patch kit, Brand New motor mount still in box. Everything you need. New this boat was over $800 several years ago. Mount was $125 . Cleaning out garage, everything you see for $200.00 I will meet you anywhere public on Whidbey island. 3six0-20two-27four3",,5915261677,48.310601,85,-122.643127,Incept,"https://maps.google.com/maps/preview/@48.310601,-122.643127,16z",,,power,,Incept raft,https://skagit.craigslist.org/boa/5915261677.html,
3,fair,"['48.440704', '-122.327271']",2016-12-11 10:44,"We have a Reinell 267 Boat, I believe it was from 1976 and is either 26' or 27'.  We're also including a Galvanized Dual Axle Trailer .  We originally purchased this as a project boat, but we also bought a farm at the same time and just have had no time to work on it.  We're asking $1500 and we do have the title.  It's got a 350 Merc with a volvo penta outdrive.  It's sitting on a good condition galvanized dual axle trailer that's worth almost as much as what we're asking for the boat and trailer.  The floor was removed on the center line to replace a gas tank and needs to be replaced.  The interior needs some TLC, but it's a good project boat.  I included the best pictures I could get of the interior.  There is a bathroom/ head to the right (where you see the door open) and a bed / cabin is behind the head / shower.  With that floor out these are the best pictures I can get.  We have a replacement fuel tank and a range in the last picture, they are not installed, but are sitting on the chair part of the dinette in the last picture.  Those came with the boat but have not been tested by us.  There is also a manual flush toilet that was thrown in when we bought it that we would include. The previous owner had passed away but we were told by the family that the engine did run, and they did take it out on the water about a year before the guy passed.  That would have been about 4 years ago so I imagine it will need some work before it will run just given the time it's been sitting.  We have never tried to start it. Email me if you have additional questions.",,5899604082,48.440704,26,-122.327271,Reinell,"https://maps.google.com/maps/preview/@48.440704,-122.327271,16z",267,$1500,power, (Mount Vernon),Reinell Boat with Galvanized Dual Axle Trailer for Sale,https://skagit.craigslist.org/boa/5899604082.html,1976
4,excellent,"['48.034200', '-122.564100']",2016-12-11 07:52,"1968 Boston Whaler Classic in great shape.  25 Hp Honda Four Stroke.  Blue Bimini Top, 2 gas tanks, Life Jackets, Flares and safety equipment included.",,5908574273,48.034200,13,-122.564100,Boston Whaler,"https://maps.google.com/maps/preview/@48.034200,-122.564100,16z",Boston Whaler,$3699,power, (Freeland),1968 Boston Whaler Classic,https://skagit.craigslist.org/boa/5908574273.html,1968
5,excellent,"['48.509607', '-121.683344']",2016-12-11 02:46,"The tubes are 10' Maxxons. I am a certified pipe welder and custom built the frame from 1.5"" x .065 tig welded 6061 T-6 aluminum tube and measures 5'x 5'. perferated aluminum floor, rope seat, 2pc composit Cataract oars w/ oar rights, rod holder mount in deck, 4 gear bags and a tray. frame is bare alum. and all hardware is stainless. Boat will handle any water you've got the nerve to tackle, I've never felt limited by the boats design or integrity. You can fish standing up while floating down the river in this boat, and if ya gotta pee or land a fish....you'll love it! $800 firm, tubes cost $750 alone.",,5914608049,48.509607,10,-121.683344,Maxxon,"https://maps.google.com/maps/preview/@48.509607,-121.683344,16z",PT10,$800,human, (Concrete),10' Class V pontoon boat,https://skagit.craigslist.org/boa/5914608049.html,
6,,"['48.758438', '-122.502151']",2016-12-10 22:02,Clean 77 Cal Twenty-Seven -- Seven-thousand-two-hundred-twenty-five dollars Eighteen Horse Diesel,,5890762247,48.758438,27,-122.502151,,"https://maps.google.com/maps/preview/@48.758438,-122.502151,16z",,$7220,sail, (Bellingham),Cal twenty-seven,https://skagit.craigslist.org/boa/5890762247.html,
7,,"['49.191906', '-123.134261']",2016-12-10 19:54,"The Winter Chinook fishery is under way in Vancouver, BC waters until the end of March. These tasty Feeder Chinook are anywhere from 8-20 lbs. We drop Crab & Prawn traps on all of these charters. Take advantage of the great exchange rates on the US Dollar and call Spring Loaded Fishing Charters to book a charter today. We offer fully guided salmon fishing charters within 30minutes from the dock on our 27' Grady White Sailfish. *Fully licensed and insured *Transport Canada approved All you need to bring is your fishing license, food and beverages of your choice. We supply the boat, fuel, fishing gear, tackle and bait for your charter. Departing from Vancouver Marina located near Vancouver International Airport. Check out our website for more detailed information. http://springloadedfishingcharters.com",,5910330320,49.191906,27,-123.134261,,"https://maps.google.com/maps/preview/@49.191906,-123.134261,16z",,,power,,"Salmon Fishing Charters Vancouver, BC",https://skagit.craigslist.org/boa/5910330320.html,
8,good,,2016-12-10 16:10,"Just in time for Christmas 12ft V-hull John boat and trailer, comes with everything you need, 6hp motor that runs good, 3gal external gas tank, deep cycle marine battery, LED light bar on bow. All required navigation lights, 3 life vests, 55lbs thrust trolling motor and two paddles. Has custom boat blind that can be put up in 5min with one man, blind can be removed and put away for fishing season. Me and the wife want to kayak hunt and need the money from this to buy kayaks, so priced to sell at $1000/obo.  Video of motor in comments. Title in hand!!",100,5914256824,,12,,,,,$1000,power,,12ft V-hull John boat and trailer,https://skagit.craigslist.org/boa/5914256824.html,1997
9,excellent,,2016-12-10 13:09,"8' fiberglass hull made by Columbia. Good condition just needs to be finished out with some seats and oar locks, very light, very stable hull.",,5884547761,,8,,Columbia,,,$100,human, (Skagit),Dingy Project.,https://skagit.craigslist.org/boa/5884547761.html,
