,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,"['47.692800', '-116.785000']",2016-12-11 16:14,boat motor traile all in good condition 16 foot Starcraft fishing boat full canopy enclosure 40 horsepower Mercury motor ready to fish live wells put electric trolling motor 4 swivel seats interior all in good condition canopy in good condition trailer tires and spare tire good condition,,5915454057,47.692800,16,-116.785000,Starcraft,"https://maps.google.com/maps/preview/@47.692800,-116.785000,16z",walleye,$6200,power, (CDA),16 foot Starcraft aluminum fishing boat,https://spokane.craigslist.org/boa/5915454057.html,1994
1,,,2016-12-11 14:47,"1996 Nitro Bass Boat. Low hours excellent condition. 17 foot. Mercury 115 hp. Live well, fish finder and 41 lbs thrust trolling motor. Extra set of swivel seats.",,5908385786,,17,,,,,$6900,power, (Post Falls),1996 Nitro Bass Boat,https://spokane.craigslist.org/boa/5908385786.html,
2,,"['47.733089', '-116.912899']",2016-12-11 13:45,Blown outboard motor. Shell is in amazing shape. Hand painted and jell coated original 1986 leather seats minor tears. Comes with trailer great condition. Battery is new. 2600 obo,,5915282141,47.733089,20,-116.912899,,"https://maps.google.com/maps/preview/@47.733089,-116.912899,16z",,,power,,Boat blown outboard motor,https://spokane.craigslist.org/boa/5915282141.html,
3,good,,2016-12-11 12:33,"1993 Skeeter Bass Boat 2010 Mercury out Board 225 with Skeeter Trailer 1993 Trolling motor 2 fish finders $10,500.00 OBO OR Trade ? no Texting",325,5892305142,,19,,Skeeter,,200-sx BT,$10500,power, (ST Ignatius MT),1993 Skeeter bass boat,https://spokane.craigslist.org/boa/5892305142.html,1993
4,excellent,"['47.494300', '-117.583400']",2016-12-11 12:03,"here is your chance to own a really cool boat only 125 boats ever made this boat is foam filled super safe for rought waters ask me how i know i have been in really nasty days in rock lake when other boaters load their boats to their trailer,running for their life im still catching fish it has a similar hull like a whaler really stable boat that my kids enjoyed fishing from,i build the casting deck its solid as it should,enought space for life jackets and extra gear it has six rod holders in the gunwhale and much more room to place your fishing gear,its a great boat safe for the kids,its only 16 feet but it feels much bigger tons of space for 2 adults and 2 kids im serious,there are a few videos of this boats in youtube,1968 trailer,the outboard its a 9.5hp evinrude running like new and a super simple and reliable air cooled 3hp eska kicker,trailer and boat are both register and title in hand,new spare tire on trailer too,comes with a 15hp mariner outboard motor,i did not used this motor because i didn't want to mess with getting a boaters license,also included 2 adult life jackets and 2 kids life jackets,big bobber cooler,anchor and rope everything you need to be in the water,all this for only $2700,this boat should hold its value very well,less then 10 in existence today,i have build this boat as a fishing machine very solid,i hate to sell it but moving out of state,now that you read all this ask your self how many of your buddies own a Chris Craft",,5908687399,47.494300,16,-117.583400,Chris Craft,"https://maps.google.com/maps/preview/@47.494300,-117.583400,16z",Castaway,,power,,AWESOME  1968 Chris Craft Castaway,https://spokane.craigslist.org/boa/5908687399.html,1968
5,excellent,,2016-12-11 11:59,"2009 Cobalt 276 open bow boat with tandem axle trailer.  Exceptional condition, low hours.  Volvo Penta 8.1GIDP",125,5915143748,,27,,Cobalt,,276,$79900,power, (Coeur d'Alene),276 Cobalt,https://spokane.craigslist.org/boa/5915143748.html,2009
6,like new,[],2016-12-11 11:39,"Fishing  ,Hunting, Scuba Diving , working ' or just Plain Boating. This   Custom built MAKAI  21ft  Aluminum Boat that has very few Hours and is like Brand New. is a One of a kind Custom Alum. Hull w/ small sleeper and ample room to move and stay out of the weather. The 135 Saltwater series Mercury 135 OPTIMAX Outboard motor is plenty of power to make this craft scoot. The boat has Top Quality Sunbrella enclosure that keeps you out of the Elements. w/ all the Sonar and GPS  Mapping you will ever need w/ the state of the art Electronics Package. Also equipped w/ C B Radio The Large fuel cell allows for long trips and is an Extremely versatile Boat. The custom Tandem axle trailer has new tires and is ready to Haul you where you want to take it. This is a one of a kind  Overbuilt Boat $14,000 OBO !    Weather is no Problem ! LETS GO FOR A BOAT RIDE    AT LONG  LAKE",25,5892542100,,22,,MAKAI,https://maps.google.com/?q=loc%3A+Freya+at+Joseph+Spokane+WA+US,,$14000,power, (N.SPOKANE),"CUSTOM MAKAI Alum. boat,135 OptiMax.n trailer",https://spokane.craigslist.org/boa/5892542100.html,2005
7,good,[],2016-12-11 11:39,This is a great Tender  or Dive boat  Scuba in style.  Or every  day runner this is a great Inflatable Craft w/ no leaks and complete w/ custom Trailer. The 25 HP  Evinrude  motor is in great running condition w/ many upgrades and Electric start capable. Only  $1500 for all that.  call me show contact info or come see at Precision Propeller,,5886946895,,14,,YUKON / ZODIAC,https://maps.google.com/?q=loc%3A+Freya+at+Joseph+Spokane+WA+US,,$1500,power, (N.SPOKANE),14 ft. YUKON / ZODIAC  W/ MOTOR,https://spokane.craigslist.org/boa/5886946895.html,
8,,"['46.061400', '-118.331500']",2016-12-11 11:12,"16ft Smoker Craft fishing boat, motor and trailer. Runs good and ready to go. Electric winch for the anchor and 12v battery. Keywords: hunting, duck, outboard, 14, 15, 17, 18",,5890678137,46.061400,16,-118.331500,,"https://maps.google.com/maps/preview/@46.061400,-118.331500,16z",,$1100,power, (Walla Walla),Aluminum fishing boat,https://spokane.craigslist.org/boa/5890678137.html,
9,,"['47.649600', '-117.258100']",2016-12-11 10:58,"This boat has been in the family since 1970. The restoration is mostly done.  Almost ready for paint. I have many new parts, some that have been re-chromed and some very rare parts.  Motor has been rebuilt it is in very good condition straight six.  Comes with new  Canvas top.  Trailer and new chrome parts and accessories are  worth the asking price. 1500 OBO. Call Jim. 509-868-6i58.  I might do a possible trade. It's possible that I might part the boat out.",,5874358310,47.649600,24,-117.258100,Owens,"https://maps.google.com/maps/preview/@47.649600,-117.258100,16z",Flagship,$1500,power, (Spokane Valley),1965 Owens flagship 24 foot,https://spokane.craigslist.org/boa/5874358310.html,1965
