,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,"['47.425300', '-120.327300']",2016-12-20 09:43,"Emotion Kayaks Spitfire 8 Sit On Top Kayak - The Spitfire 8 is equipped with great features like the Comfort Rest Seat and a tankwell with Cargo Net Lacing System that is typically found on more expensive kayaks. The extra volume and high capacity (up to 240 pounds) makes this kayak the perfect fit for just about any size paddler from kids to adults. The self-bailing scupper holes drain water from the cockpit and tankwell so that you'll never again have to worry about swamping the boat. Molded-in foot wells offer comfortable and secure foot bracing. Length: 8 ft Width: 31.5 in Deck Height: 15 in Weight: 38 lbs Cockpit Area: 46 in x 21 in Max Capacity: 240 lbs Bought this kayak over the summer but as I now live in an apartment I don't have room for it. Great condition, only used a few times. Would make a great Christmas present for a person who loves being on the river! Bought for $350, will take $200 OBO Double-sided paddle included. text or email :) Thanks for looking!",,5926973416,47.425300,8,-120.327300,,"https://maps.google.com/maps/preview/@47.425300,-120.327300,16z",emotion spitfire 8,$200,human,,Kayak *Barely used!*,https://wenatchee.craigslist.org/boa/5926973416.html,
1,good,"['48.513875', '-122.607765']",2016-12-20 09:23,"1979 Chris Craft Catalina. Twin 350's (new in '86) approx. 800 hrs., Fiberglass , hard bottom (alum.) inflatable dingy with motor, downriggers, extra props., complete. Same owner for 34 years. Age/ health forces sale. Owner located in  Cashmere WA. Boat moored in Anacortes, WA. @ Cap Sante Marina. possible partial trade, offer. Terry show contact info",812,5923450429,48.513875,31,-122.607765,Chris Craft,"https://maps.google.com/maps/preview/@48.513875,-122.607765,16z",Catalina,$15000,power, (Cashmere),31' Chris Craft Catalina,https://wenatchee.craigslist.org/boa/5923450429.html,1979
2,like new,"['48.850258', '-119.409714']",2016-12-20 08:49,"THIS IS A COMPLETE FLYBOARDING SETUP PAID LOTS MORE THAN I AM SELLING IT FOR WILL FIT A SEADOO OR YAMAHA, WILL TRADE FOR ANOTHER TOY",15,5926883351,48.850258,40,-119.409714,FLY X,"https://maps.google.com/maps/preview/@48.850258,-119.409714,16z",FLY X,$1100,power, (OROVILLE),FLYBOARD SETUP,https://wenatchee.craigslist.org/boa/5926883351.html,2015
3,,"['47.646540', '-120.073185']",2016-12-19 20:33,"Sea Swirl P-14 Boat.  Classic fiberglass boat from the 60's. Hull is in great shape. Dimensions: 13""10"" long and 65"" wide. These boats were are small light and fast.. usually outfitted with 20-40 hp but some people put 45 to 60hp on them. Do not know what hp they were rated at.  No motor, no trailer no title.  Sold with bill of sale.. Dept of Licensing can issue title for  about $50.  I can transport the boat for buyer if needed.  Great winter project then hit the lakes next summer with this cool little boat. Lots of info on these boat on the internet..""Google"" or ""You tube"" Sea Swirl P-14 for more info.  Boat is located in Waterville. If post is up then boat is still available. Thanks",,5895446286,47.646540,14,-120.073185,Sea Swirl,"https://maps.google.com/maps/preview/@47.646540,-120.073185,16z",P-14,$250,power, (Waterville),Sea Swirl P-14,https://wenatchee.craigslist.org/boa/5895446286.html,1961
4,like new,[],2016-12-19 14:46,"2006 Sea Ray 18 ft. SPORT  in like new condition.  3.0 Mercruser  4 cyl. engine  . Total hours on boat and motor is a very soft total of 40 hours.  Just never got used. The trailer is a sea ray with a swing tongue, side rails and a spare tire.   The add on are a custom ordered swim platform , and a out drive wing that really enhanced the performance of the boat.  The Bimini top is also new  as well as all the other covers and side curtains. Always garaged and maintained. The oil is fresh and now winterized. This is a very nice family boat. Pulls very strong with the new 17x15 prop and the sport wing on the outdrive.  Really one of a kind....",40,5926060514,,18,,Sea Ray,https://maps.google.com/?q=loc%3A+Wild+Goose+Rd%2E+NE+at+Valley+Moses+Lake+WA+US,SPORT,$15000,power, (Moses Lake Wa.),2006 Sea Ray 18 ft. Sport,https://wenatchee.craigslist.org/boa/5926060514.html,2006
5,good,,2016-12-19 11:13,Selling a great running and condition 1997 Mercury 8hp 2 stroke SS outboard.  It has some bumps and minor bruises on cowl but inside it looks like brand new and has been well cared for.  700.00.  Call or text show contact info,,5884512987,,8,,mercury,,8hp,$700,power, (wenatchee),1997 Mercury 8hp 2 stroke short shaft,https://wenatchee.craigslist.org/boa/5884512987.html,1997
6,excellent,"['47.705700', '-120.276000']",2016-12-19 08:47,"1988 Bay Liner Trophy 21' Fishing Boat. 6,000$ FIRM as is. 200hp Mercury Main Motor, 9.9hp 4 stroke Mercury Kicker, 2 fish finders, 2 Down riggers, In excellent condition, has been in storage for many years. Hasn't been started in 3 years but was stored indoors with stabilized fuel. Will not answer text messages.",,5925495514,47.705700,21,-120.276000,Bayliner,"https://maps.google.com/maps/preview/@47.705700,-120.276000,16z",21' Trophy,$6000,power," (Entiat, WA)",1988 Bayliner Trophy 21' Fishing Boat,https://wenatchee.craigslist.org/boa/5925495514.html,1988
7,,"['47.425300', '-120.327300']",2016-12-19 06:58,"I have this 1990 20' travel trailer. Story goes with it. I had to purchase this trailer which was on a lot down at the pot holes, in order to get the lot. The person just put that trailer on the lot in the end of April 2016. I have the paper work, and he paid $4000.00 for the trailer the same day put 4 new tires on it. I have brought it home a spiffed it up and checked things out.    I would like to use it for some terading power for a 16, 17, 18 foot deep V aluminum boat.  I have cash also. Thanks for looking",,5900179939,47.425300,20,-120.327300,,"https://maps.google.com/maps/preview/@47.425300,-120.327300,16z",,,power,,part trade + cash,https://wenatchee.craigslist.org/boa/5900179939.html,
8,good,,2016-12-18 18:00,"Sears electric trolling motor, sold the boat and have no need for it, forward and reverse fits boat or canoe, composite shaft text 509- 69 nine zero 777 and I will contact you right back.",,5896646980,,1,,sears,,,$40,power, (Wenatchee),Electric trolling motor,https://wenatchee.craigslist.org/boa/5896646980.html,
9,fair,,2016-12-18 02:20,"Have a 1980 bayliner mutiny with trailer for sale engine runs good out drive works well, just recently changed some parts and changed all fluids boat still needs a little tlc, the seats need replaced, still work but are falling apart. Could use new carpet and new cover built for the engine. Just few small things. List of new parts Exhaust bellow Drive bellow Water inlet Starter Head gasket + top end gaskets Timing set Tuned up new plugs/wires and points. Battery Asking 1000 obo or trade for toyota 4runner, jeep cherokee, wheeler, project, snowmobile, tent trailer. Or ??? Thanks for looking. Email or txt is best contact. Clean titles for both.",,5919313171,,17,,Bayliner,,Mutiny,$1000,power, (East wenatchee),1980 bayliner mutiny,https://wenatchee.craigslist.org/boa/5919313171.html,1980
