,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,like new,"['44.426800', '-88.993200']",2016-12-20 18:35,"Selling my near new crestliner raptor 1850 this thing is in mint condition very low hours on this setup..I am the original owner and custom ordered this when I bought it. Has a 175 mercury pro xs with a  4 blade stainless steel prop..sits on a shorelander trailer. Has 4 capitan chairs and one  butt seat custom  cover very easy to put on and take off. Two lorance hds5 one at the wheel and one up front both have covers for them 80 lb thrust  minnkota terrova I pilot. On board charger, swim ladder, radio. Lots of room for all your gear...has custom  stainless steel bars on the  sides to mount rod holders...this boat is a must see if your seriously looking for a boat,great river boat and also an awesome  big water boat. Like I said it's in mint condition with very low hours I'm sure I'm forgetting something so please don't hesitate to ask questions or if you want more pics My name is Sean and my number is show contact info text or call Only please emails won't be responded to thanks for looking",30,5927550096,44.426800,18,-88.993200,Crestliner,"https://maps.google.com/maps/preview/@44.426800,-88.993200,16z",raptor 1850,$22000,power, (iola),2010 Crestliner raptor 1850,https://appleton.craigslist.org/boa/5927550096.html,
1,fair,"['43.755944', '-89.065218']",2016-12-20 18:35,Century Resorter year 1960 17 ft. Has Interceptor motor 170 hp.  Great project boat. All original. Hull in good condition. Needs to be refinished and seating redone. Motor turns over (Only 339 hours on motor). and bottom is good!. Comes with double axle trailer.  If your looking for a project boat this is it!  No money orders or checks.   Price is cash on pick up,0339,5918354599,43.755944,17,-89.065218,Century,"https://maps.google.com/maps/preview/@43.755944,-89.065218,16z",Resorter,$4500,power," (Markesan,Wi)",Century Resorter 17 ft,https://appleton.craigslist.org/boa/5918354599.html,1960
2,,"['43.757108', '-89.063759']",2016-12-20 18:32,"1971 Glastron V156. 15 ft tri hull had been in storage about 27 years. Boat is in like new condition including new boat shine. Great for skiing or fishing. Rated up to 85 hp. Hull transom, seats all in like new condition. You could own a classic for less than new boat price. Asking 1950.00 for the boat only. Can add used boat trailer with brand new tires for 300.00 extra Can add Brand new trailer for 600.00 extra. Cash on pick up,sorry no checks or Paypal. Call show contact info",,5887364017,43.757108,15,-89.063759,Glastron,"https://maps.google.com/maps/preview/@43.757108,-89.063759,16z",V156,$1500,power," (Markesan,Wi,)",vintage Glastron Boat,https://appleton.craigslist.org/boa/5887364017.html,1971
3,,"['44.470100', '-88.916400']",2016-12-20 18:29,Ezload  trailer ..spare tire..Bimini top.. great condition very low hours  fun  family boat ..13000 thanks for looking text or call only please emails won't be responded to my name is Sean and my number is show contact info,,5927543955,44.470100,19,-88.916400,,"https://maps.google.com/maps/preview/@44.470100,-88.916400,16z",,$13000,power, (manawa),2001 bow rider 5.0 merc crownline,https://appleton.craigslist.org/boa/5927543955.html,2001
4,excellent,"['44.022000', '-88.543600']",2016-12-20 16:41,I have a 16ft flat back canoe with a very nice trailer that I custom fit it to that canoe. Trailer has New heavy duty wiring all the way down and painted. The canoe has no leaks and the transom is in very good shape. Got a different boat for hunting. Comes with one paddle and is registered for 3years,,5927421280,44.022000,16,-88.543600,,"https://maps.google.com/maps/preview/@44.022000,-88.543600,16z",,$400,power,,16ft flat back cannoe/trailer,https://appleton.craigslist.org/boa/5927421280.html,
5,good,"['44.183400', '-89.195300']",2016-12-20 15:07,"FOR SALE is this 505 Racing Sailboat, built in Milwaukee, Wi. Wooden Mast and Boom. Hull looks to be in very good condition no cracks. Mel Jones Main Sail and Jib in very nice condition no holes come in original sail bags. Tiller looks to be modified.  Great restoration project for the winter months. Boat length is 16' 8"" built in 1970. Does NOT come with a trailer. Asking $750. Call me at: 9 two zero - 6 two two - 3 five 6 five. Thank you for looking!",,5927295135,44.183400,200,-89.195300,Gestreifte/Milwaukee,"https://maps.google.com/maps/preview/@44.183400,-89.195300,16z",505,$750,sail, (WILD ROSE),SAILBOAT 505  - WOODEN BOAT & MAST,https://appleton.craigslist.org/boa/5927295135.html,1970
6,good,,2016-12-20 09:46,"condition: good length overall (LOA): 17 make / manufacturer: Triton model name / number: TR-17 propulsion type: power year manufactured: 1999 Red 17 foot triton with a 120 hp force engine. 24 volt 55# thrust motor guide trolling motor. Nice boat runs good, it has a few minor problems, windshield is cracked and needs a new pump for the live well as well as normal scratches. May also need 1 new trolling motor battery. Has eagle view fish finders on the counsel as well as on the trolling motor. $5000 I accept cash at time of pick up or would be willing to meet at a local bank that your check is drawn on. May consider a trade of a Deep V boat in similar condition, year and motor size",,5926784472,,17,,Triton,,Tr 17,$5000,power,,99 17' Triton,https://appleton.craigslist.org/boa/5926784472.html,1999
7,,,2016-12-19 22:19,"40 ft Gibson Lazycruz Houseboat. 2 4cyl Volvo Penta motors,  Fridge/stove, Stand up head, Air conditioning, sleeps 6+. Needs minor motor work. Great winter project.  Storage this winter. $9900.00 O.B.O Partial trades considered.  Please call show contact info Thank you.",,5926386600,,40,,,,,$9900,power, (Winneconne),Gibson Lazycruz houseboat,https://appleton.craigslist.org/boa/5926386600.html,
8,good,"['44.321000', '-88.941000']",2016-12-19 17:55,14' boat and trailer 10 hp outboard trolling motor. Looking to sell nice boat,,5926143158,44.321000,14,-88.941000,,"https://maps.google.com/maps/preview/@44.321000,-88.941000,16z",,$1600,power, (Weyauwega),15 v bottom fishing boat,https://appleton.craigslist.org/boa/5926143158.html,
9,good,,2016-12-19 17:34,1975 15 foot lund with a 25hp Johnson the motor also has electric start. Im asking $900.00 OBO. Please only call my name is Tony,,5926119388,,15,,lund,,25hp Johnson,$900,power, (Beaver Dam WI),15 Foot Lund Electric Start,https://appleton.craigslist.org/boa/5926119388.html,
10,excellent,[],2016-12-19 16:47,"Great fishing boat with floor, rod storage, live well, Johnson foot operated trolling motor, three swivel seats, electric anchor winch, radio, other storage and Sea Nymph trailer. Motor is a 40 horse Johnson with power tilt and trolling panel by the stainless prop. Always stored inside and well maintained. I am only selling because I am old so I bought a pontoon boat. It is a Fishing Machine model.",,5926061564,,16,,Sea Nymph,https://maps.google.com/?q=loc%3A+school+rd+at+Greenwood+Greenville+WI+US,Fishing Machine,$4200,power, (Greenville),Sea Nymph 16' Fishing boat,https://appleton.craigslist.org/boa/5926061564.html,1993
11,good,"['44.065600', '-89.266600']",2016-12-19 15:47,"Great looking boat for sale.  A 1999 Harris Kayot Deck Boat.  20 Foot Deck Boat.  This boat has very low hours.  Runs great with new custom cover and carpet.  The seating is in great shape with minimal wear for the age.  I recently got a pontoon boat so I don't need this boat anymore.  The boat gets up to 45 mph no problem. Comes with trailer.  It's ready to go.  Currently in storage in Wautoma, WI.  I also have a lift available that I used with this boat.",,5897458316,44.065600,20,-89.266600,Harris,"https://maps.google.com/maps/preview/@44.065600,-89.266600,16z",Kayot 20V,,power,,Harris Kayot 20V Deck Boat,https://appleton.craigslist.org/boa/5897458316.html,1999
