,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['43.751156', '-89.058952']",2016-12-20 18:33,"1971 Glastron V156 Sporter. 15 ft tri hull had been in storage about 27 years. Boat is in like new condition including new boat shine. Great for skiing or fishing. Rated up to 85 hp. Hull transom, seats all in like new condition. You could own a classic for less than new boat price. . Can add used boat trailer with brand new tires for 300.00 extra Can add Brand new trailer for 600.00 extra. Cash on pick up,sorry no checks or Paypal. Call show contact info",,5887359841,43.751156,15,-89.058952,Glastron,"https://maps.google.com/maps/preview/@43.751156,-89.058952,16z",v156 Sporter,$1500,power," (Markesan,Wi,)",vintage boat,https://eauclaire.craigslist.org/boa/5887359841.html,
1,good,,2016-12-20 15:37,"Selling a gently used 2006 sx 230 with a trailer. Boat is very clean with cover, no rips or tares or sunburent vinyl...very very gently care of. Boat does have a small room that can be used for a porta potty otherwise has lots of storage.... Boat only has 115 hours on it, and has had all its maintance taken care and is ready to hit the water.  Boat has past a used yamaha jet boat inspection...great for cruising or skiing or tubing or just about any type of water fun....text or call me for details",115,5927304311,,23,,yamaha,,sx 230,$19995,power,,2006 Yamaha sx230,https://eauclaire.craigslist.org/boa/5927304311.html,2006
2,,"['45.817614', '-91.893511']",2016-12-20 14:43,"Selling my boat to upgrade to a larger one Boat is really nice shape. Has a cover some small tears i will take picture when i can Super nice boat for fishing the front trolling motor was taken off Fish finder not included engine runs perfect 25 Hp Mercury 1998 4 storke bigfoot Tiller Trailer pulls great has rollers on it Boat has all lights live well as pictured has rear mount trolling motor 4 trolling pole holders All 4 Pedestal stool seats might be more I'm forgetting There is one burn in the carpet on the side compartment cover so it would easy to replace but i haven't had the time to ( it is about as round as a pop can) show contact info please call or text with questions Thank you Tags: Northwoods , Lund , lowe , alumacraft , boat 16 17 foot",,5927260966,45.817614,16,-91.893511,Northwoods,"https://maps.google.com/maps/preview/@45.817614,-91.893511,16z",1675 DLX,$4200,power, (Spooner),2000 Northwoods 1675 DLX CLEAN,https://eauclaire.craigslist.org/boa/5927260966.html,2000
3,,,2016-12-20 13:57,"Nice small boat lift for a 12-14' fishing boat, light and easy to get in/out of water.  $750",,5927191556,,0,,,,,$750,power, (Holcombe),Covered Aluminum Boat Lift(Fishing Boat),https://eauclaire.craigslist.org/boa/5927191556.html,
4,excellent,"['43.838613', '-91.260939']",2016-12-20 10:20,"Please contact Roger between the hours of 8-5PM at 608FiveThreeNine5151 After 5 contact Roger at 507FourFiveTwo7603 This Carver 396 Aft Cabin Motor Yacht is an extremely clean, cruiser that features an spacious flybridge, covered aft deck, open salon, and two staterooms to insure room, comfort, and convenience. Whether you are planning a day on water or a weekend getaway this 40' Carver is ready to accommodate. On deck we start at the top with a flybridge with radar arch, bimini top and full enclosure. The centerline helm station has captain's chair, full instrumentation and electronics. Starboard is a companion seat and wet bar with ice maker, and port side we have a wraparound guest lounge. The bridge provides ample room for family & guests and there is more room a few steps down with an enclosed aft deck with hard top. It features a casual seating or dining area, wing door access to the side decks, and stairway to an integrated swim platform. The aft deck provides plenty of room to relax or entertain. The carpeted salon is bright, airy, and inviting. As you enter the salon you find a large leather settee with two built-in recliners to starboard. There is a cherry table for dining or cocktails. Port side is a loveseat and an entertainment center with television, DVD, and AM/FM/CD stereo. The galley is forward, port side, and features cherry cabinets, a full-size refrigerator/freezer, electric cooktop, microwave oven, coffee maker, and counter top with circular sink. There are two luxurious staterooms. The forward guest stateroom features a island queen berth, cedar-lined hanging locker, and head and vanity starboard with separate shower stall port side. The master aft stateroom has island queen berth with cedar-lined hanging locker, TV with VCR, and en-suite head with vanity and shower stall. This 40' ACMY is equipped with twin Crusader 370-hp engines with very low hours. Mechanical features include Kohler generator, three-zone reverse cycle HAC, and Halon fire suppression. She is very clean, well equipped, carefully maintained, and ready to cruise. Call now for more information and to schedule a showing of this Carver 396 Motor Yacht. FLYBRIDGE.... Open Flybridge with Radar Arch Bimini Top with Full Enclosure Carpeted Deck Centerline Helm with Captain and Companion Seats Wraparound Guest Lounge Wet Bar with Ice Maker Drink Holders AFT DECK... Aft Deck with Hardtop Full Eisenglass Enclosure Carpeted Deck Blue Accent Lighting Deck Furniture Included Flat Screen TV Combo w/ DVD Wing Door Access to Side Decks Stairway to Swim Platform Sony Speakers ACOMMODATIONS Full Beam Salon Accented in Cherry Carpeted Deck Seven Feet of Headroom Long Wraparound Leather Sofa to Starboard w / Recliner Leather Love Seat to Port with Coffee Table w/ Recliner Entertainment Center with TV and Stereo Step-down Galley Port Side Guest Stateroom Forward with Offset Queen Berth Forward Guest / Day Head with Vanity and Shower Master Aft Cabin with Queen Berth and en suite Head Compartment Sunbrella Carpet Liner in Salon DECK & HULL... Stainless Steel Bow Rail Anchor with Roller Windlass Bow Fender Racks Extra Fenders Extra Wide Side Deck Walkways w/ Drains Swim Platform with Boarding Ladder Hot & Cold Freshwater Transom Shower Windshield Glare Cover Side Deck Entry Doors for easy Aft Deck Entry Deck Sun Pads ELECTRONICS & NAVIGATION Garmin 2010C GPS Horizon Intriped VHF Radio Standard Horizon Depth Finder Trim Tab Indicators Fire Boy Zintex Fire Suppression Three Carbon Monoxide Detectors Kenwood Stereo on Bridge Four Speakers Flat Screen TV with DVD on Aft Deck 22"" Panasonic TV in Salon Kenwood DVD Player Kenwood Sound System 15-disk CD Changer 13"" Stateroom TV MECANICAL & ELECTRICAL... Twin 370-hp Mecruiser 8.1L EFI Engines with only 352 hours Cruise 20 knots @ 3200 RPM Kohler 10-kW Generator Two Battery Chargers New 15-gallon Water Heater VacuFlush Heads Central Vacuum",352,5908400173,43.838613,40,-91.260939,Carver,"https://maps.google.com/maps/preview/@43.838613,-91.260939,16z",396,$127500,power, (LACROSSE),2002 CARVER 396,https://eauclaire.craigslist.org/boa/5908400173.html,
5,excellent,"['45.062124', '-94.058933']",2016-12-19 15:47,"2015 Kingfisher Boats 2025 SC XP, 250HP Mercury Verado and EZLoader Trailer Herculean Strong and Well Constructed. For the hardcore angler looking for that massive casting deck, incredible stability on the roughest waters and ridiculous holeshot, this 20 foot beast leads, where others can't always follow. This is a fisherman's dream rig with the 9' center rod locker for 10 + rods and the 2 side lockers you can secure enough rods for all the species you want to pursue for a weeks trip. If you are a Muskie or Bass fisherman this is a great boat for you. She handles Mille Lacs and Leech like a dream when we have been up there chasing Smallies and Muskies. Plenty of room on the front deck for two guys to be casting. She is set up as a true multispecies rig Traxstech tracks on both gunnels and 2 on the bow and one on the dash 3 Humminbird depthfinders mounted on the Traxstech mounts. There is a Humminbird 859 CI HD Combo on the bow and a Humminbird 859CI HD DI on the dash along with a Humminbird 899CI HD SI on the dash. All three and the MinnKota 112 Terrova I-Pilot with I-Link are networked together with the ethernet hub. There is a high speed transducer along with the side imaging transducer for the 899CI HD SI. Dual bank Pro Sport 20 AMP charger for the two 31 Series AGM start batteries along with a battery switch. There is a MinnKota MK330D three bank battery charger for the three 31 Series deep cycle trolling motor batteries. Drivers seat has SmoothMoves supension system. Comes with 1 Butt seat, Passenger seat with airride and another seat on a standard pedestal. The Verado has a stainlees prop and just had the oil changed in August. The EZLoader had the carpet on the bunks replaced with Caliber skins and she slides off in the shallowest landing. The motor has 126 hours and 54 minutes on it. I have a printout of the hours ran at the different RPM ranges. The Talon and brackets for the Talon and the Vexilar are not included. Will sell without the electronics if you don't like MinnKota or Humminbird for a discounted price. $54,750 Gary lund, crestliner, alumacraft, starcraft, smokercraft, triton, tracker, ranger, nitro, yar craft, warrior, skeeter, stratos",127,5925919230,45.062124,20,-94.058933,Kingfisher,"https://maps.google.com/maps/preview/@45.062124,-94.058933,16z",2025 Flex SC XP,$54750,power, (Howard Lake),2015 20' Kingfisher 250HP Mercury Verado with tons of extras,https://eauclaire.craigslist.org/boa/5925919230.html,2015
6,new,"['45.519700', '-91.826600']",2016-12-19 14:46,water/snow tube approx 40in when inflated have 10 new in box 4handles and 1 pulling hookup.$40 each,,5895171909,45.519700,40,-91.826600,,"https://maps.google.com/maps/preview/@45.519700,-91.826600,16z",,$40,power, (rice lake),water/snow tube approx 40in when inflated  4handles,https://eauclaire.craigslist.org/boa/5895171909.html,
7,,,2016-12-19 13:10,"2014 TMC Pontoon - 15' Fishing Model, comes with 2 MinnKota winches and CD/radio. Price includes 25hp Mercury motor and a trailer. Please contact Mike at show contact info for further information.",,5925739113,,15,,,,,$12000,power," (Cumberland, WI)",2014 TMC Pontoon/Motor/Trailer - 15' Fishing Model,https://eauclaire.craigslist.org/boa/5925739113.html,
8,like new,"['44.823947', '-91.546197']",2016-12-19 12:16,VERY CLEAN ONE OWNER 4.3L 2 BBL with single axle ezeeloader roller trailer. I have clean il title's for both boat and trailer I am dealer with dnr. i have had for 6 year's run's good very stable compared to other brand's. it is blue and white in color interior like new. low hour's this price for a running boat. other than cleaning I have done very little in repair's. I am an auto repair shop also do some marine mostly IO's engine drive line show contact info 10am to 6 pm 7 day's RATED FOR 8 PEOPLE OR 1200 LB'S boat is uncovered and inside in the clean up process THIS WAS BOUGHT OFF OF BOAT ANGLE HAVE PAPER WORK will consider trade,200,5922292150,44.823947,20,-91.546197,sea ray,"https://maps.google.com/maps/preview/@44.823947,-91.546197,16z",20 FT OPEN BOW,$5000,power, (2536 W MOHOLT DR),89 20 FT OPEN BOW SEA RAY,https://eauclaire.craigslist.org/boa/5922292150.html,1989
9,good,"['45.509595', '-91.836948']",2016-12-19 00:49,"16 foot StarCraft Aluminum Resort Style Fishing Boat.. I am the 2nd owner since boat was new. 4 rows of seating. Old trolling motor included. Anchor-Mate Anchor system. Trailer with extra wheels and tires included.  Hasn't been used much at all in the last 20 years. Can use a little minor cosmetic refurbishing  to make it look like new (would make a nice off season winter project)...but all in all a very well built, straight and sound boat. $895 AlumaCraft Fischer 15 14 Lowe Ranger Cabela's",,5905494013,45.509595,16,-91.836948,StarCraft,"https://maps.google.com/maps/preview/@45.509595,-91.836948,16z",,$895,power," (Rice Lake, Wi)",16' StarCraft Aluminum Resort Style Fishing Boat,https://eauclaire.craigslist.org/boa/5905494013.html,1987
10,like new,"['45.201300', '-92.551400']",2016-12-18 15:15,"FOR SALE $27,800 -- 2008 Ranger 618T w/Yamaha F90 VERY CLEAN - LOADED. Features a Yamaha F90 4-Stroke EFI with Titan Steering on a Ranger Trail custom trailer with Spare Tire, Swing Tongue, and Brakes. Upgrades include a Minnkota Terrova trolling motor (foot-controlled) on the bow, new 2-Bank On-Board Charger, Lowrance GPS, a depth-finder in the bow, a bow shield, and a Ranger custom travel cover. Fewer than 300 hours on this boat and motor! Perfect condition. If you need a 3000 lb. cantilever boat lift and red Pier Pleasure canopy to match, let's talk! Available for viewing/pick up in Polk County, Wisconsin, by December 20. MAKE OFFER!",300,5914070661,45.201300,18,-92.551400,Ranger,"https://maps.google.com/maps/preview/@45.201300,-92.551400,16z",618T,$27800,power,,2008 Ranger 618T for sale,https://eauclaire.craigslist.org/boa/5914070661.html,2008
11,good,,2016-12-18 13:03,1992 tracker tournament V 17 40 horse Johnson runs good 2 anchor mates remote trolling motor Live Well,,5924437806,,17,,,,,$3000,power, (Boyd),Tournament V 17,https://eauclaire.craigslist.org/boa/5924437806.html,
12,,"['44.871800', '-91.926500']",2016-12-18 12:50,"14' fiberglass Lakeland boat. Steering wheel, depth finder, front mounted trolling motor, livewell, dual batteries, new trailer tires, new steal trailer tongue, 25 horse mariner motor like new. Make offer.",,5924421114,44.871800,14,-91.926500,,"https://maps.google.com/maps/preview/@44.871800,-91.926500,16z",,$4000,power, (Menomonie),14' Lakeland boat,https://eauclaire.craigslist.org/boa/5924421114.html,
13,,"['44.958700', '-91.319500']",2016-12-18 10:46,"Blue Perception America Sport Kayak 11'. Great for small lakes, streams and rivers. Has rear bulk head with neoprene cover for storage. Blue in color with padded seat and foot pegs. Used just a few times. Like new, the tag is still attached. Price is $450 for Kayak. Have a new Harmony paddle for $50. No text or email. Call show contact info",,5916390955,44.958700,11,-91.319500,,"https://maps.google.com/maps/preview/@44.958700,-91.319500,16z",,$450,human, (Chippewa Falls),Perception America Sport Kayak 11',https://eauclaire.craigslist.org/boa/5916390955.html,
14,,"['44.958700', '-91.319500']",2016-12-18 10:46,New Harmony Kayak Paddle. No emails or text. Call show contact info,,5921059777,44.958700,230,-91.319500,,"https://maps.google.com/maps/preview/@44.958700,-91.319500,16z",,$50,human, (Chippewa Falls),New Harmony Kayak Paddle,https://eauclaire.craigslist.org/boa/5921059777.html,
15,,"['44.958700', '-91.319500']",2016-12-18 10:01,Used Kayak Paddle. Works good. $40  No emails or text. Call show contact info,,5924205869,44.958700,230,-91.319500,,"https://maps.google.com/maps/preview/@44.958700,-91.319500,16z",,$40,human, (Chippewa Falls),Kayak Paddle,https://eauclaire.craigslist.org/boa/5924205869.html,
16,good,"['45.235600', '-91.519700']",2016-12-18 09:23,"I have a 1998 Alumicraft, 15' boat, with electric start Mercury 25hp, Minnkota 50lb thrust trolling motor, electric anchor mate, 2 batteries with boxes, new gas tank and hose, Humminbird Helix 5 SI, GPS locator, 3 mounts for rod holders, new tires with tubes last year, 20lb river anchor, I put a deck in the front of it, it will come with a swivel seat but it will not be mounted, it has a swivel seat mounted on the back, has eye hooks for a cooler to strap down on the front, person fishing in the front can either sit on the cooler or you can mount the swivel seat on. If there is something else you want pics of please let me know and I will send you whatever you need. This boat was bought brand new in 1998 by my grandfather and he passed away in 2000, this boat has little to no hours on it. I bought the trolling motor, batteries, gas tank, hoses, Humminbird locator all New last year in May. Been a great boat, I know the whole rig has less than 20hours on it. I am not looking to make money off the boat, I am looking to get my money out of it that I have put into it since I bought it last year, it sat in storage for years after my grandfather passed, all the lights work great, everything has been taken very good care of... Once again, contact me with any questions. I know this is not the best time of year to buy a boat so I can work with someone as far as storing it over the winter inside until spring if needed. I am looking to get a bigger boat so my wife and kids can go with me and fish comfortably.. Thanks for looking.",10,5924166261,45.235600,15,-91.519700,Alumicraft,"https://maps.google.com/maps/preview/@45.235600,-91.519700,16z",F9,$2100,power, (chetek),1998 Alumicraft 15' with Motor,https://eauclaire.craigslist.org/boa/5924166261.html,1998
17,,"['45.251300', '-91.133000']",2016-12-18 02:59,"Would like to sell don't have time to get running.has some sort of fuel issue has new points, new condensers, and one new coil.",,5923976328,45.251300,0,-91.133000,,"https://maps.google.com/maps/preview/@45.251300,-91.133000,16z",,$150,power, (Holcombe),1955 Johnson 10 hp,https://eauclaire.craigslist.org/boa/5923976328.html,
