,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,"['43.651875', '-90.332743']",2016-12-20 13:57,"This 16' Alumacraft 165 CS is in nice shape and ready to fish! This package includes a Humminbird 698 SI at the drivers console and a Humminbird Helix 7 at the bow. Minn Kota trolling motor and Live Well. A onboard charger is included to maintain the Minn Kota trolling motor battery. A bunk trailer will take this rig to any lake anytime with ease! It has been stored indoors at all times. Gas 2 cycle, Yamaha, 50 hp. Upgrades: Depth Finder, Anchormate, Anchors, River Anchors, Boat Cover, Spare tire mounted on the trailer. This will also include: Tackle boxes, ropes, Frabil Extended Net, Fishing Poles, Fenders and Life Jackets $12,000 *Cash, Check or Money order only",,5890168278,43.651875,16,-90.332743,Alumacraft,"https://maps.google.com/maps/preview/@43.651875,-90.332743,16z",Classic 165 CS,$12000,power," (Hillsboro, WI)",2011 Alumacraft Classic 165 CS with upgrades and more...,https://lacrosse.craigslist.org/boa/5890168278.html,2011
1,good,"['43.480700', '-91.133300']",2016-12-20 12:26,"Aluminum workboat that ties together in the middle. 14' wide 32' in length (Pictured) This unique boat has a nice foundation to build a houseboat on. It could be made into a work boat and put a crane & power on it. Make a cabin, it's has lots of options. I also have and is available seperate to add on: A hydraulic self contained crane, a pod for power to bolt onto the back & a cab for the controls to be mounted inside (Pictured)  All kinds of potentials. You can build it yourself or I can build it for you. Price can be negotiated depending on what you want.  It can also be delivered. Asking $7,500.00 or the best offer.. for the Pontoon Platform as is without any of the add on described above.",,5926956710,43.480700,32,-91.133300,,"https://maps.google.com/maps/preview/@43.480700,-91.133300,16z",,$7500,power, (De Soto),Pontoon Platform,https://lacrosse.craigslist.org/boa/5926956710.html,
2,excellent,"['43.480700', '-91.133300']",2016-12-20 12:21,"The Rutledge Has 4 bedrooms, a big galley or kitchen, nice salon or living room with big flat screen TV and surround sound, full bathroom with shower.  Ready to go and live anywhere on the water.  Steel hull, 871 Detroit powered engine, 4 blade, 48"" stainless steel prop, shop built 64 ft. in length and 14 ft. beam, oil coolers for transmission and hydraulic steering. 2 new fuel tanks that hold a 1000 gallons of fuel.  2 anchors at the bow with hydraulic pullers.  Inside floor was sand blasted and refinished with 2 part epoxy paint. It has a closed cooling system.  Perfect family boat. Taken out of the water last season and has new outside and bottom paint.  No more pumping sewer tanks.. A brand new composting toilet has been  installed. Also a new cutlass bearing replaced in shaft and resurfaced with stainless steel this spring.  If you'd like to leave it where it's at in Lacrosse the slip can be transferred.  Put it back in the water Aug 2 of 2016.  It is a beautiful one of a kind boat.  Have a 5 axle boat trailer that you can take the boat out of the water at the Marina, but boat cannot be hauled down the highway.  The trailer is just for taking out of the water.. whatever reason Asking $20,000.00 firm unless you have cash.  Delivery of the boat can only be done by water.",,5927038370,43.480700,64,-91.133300,Shop built,"https://maps.google.com/maps/preview/@43.480700,-91.133300,16z",Big Boat Cruiser,$20000,power, (LaCrosse WI),Big Cruiser Boat  *The Rutledge*,https://lacrosse.craigslist.org/boa/5927038370.html,1959
3,excellent,"['43.838613', '-91.260939']",2016-12-20 10:20,"Please contact Roger between the hours of 8-5PM at 608FiveThreeNine5151 After 5 contact Roger at 507FourFiveTwo7603 This Carver 396 Aft Cabin Motor Yacht is an extremely clean, cruiser that features an spacious flybridge, covered aft deck, open salon, and two staterooms to insure room, comfort, and convenience. Whether you are planning a day on water or a weekend getaway this 40' Carver is ready to accommodate. On deck we start at the top with a flybridge with radar arch, bimini top and full enclosure. The centerline helm station has captain's chair, full instrumentation and electronics. Starboard is a companion seat and wet bar with ice maker, and port side we have a wraparound guest lounge. The bridge provides ample room for family & guests and there is more room a few steps down with an enclosed aft deck with hard top. It features a casual seating or dining area, wing door access to the side decks, and stairway to an integrated swim platform. The aft deck provides plenty of room to relax or entertain. The carpeted salon is bright, airy, and inviting. As you enter the salon you find a large leather settee with two built-in recliners to starboard. There is a cherry table for dining or cocktails. Port side is a loveseat and an entertainment center with television, DVD, and AM/FM/CD stereo. The galley is forward, port side, and features cherry cabinets, a full-size refrigerator/freezer, electric cooktop, microwave oven, coffee maker, and counter top with circular sink. There are two luxurious staterooms. The forward guest stateroom features a island queen berth, cedar-lined hanging locker, and head and vanity starboard with separate shower stall port side. The master aft stateroom has island queen berth with cedar-lined hanging locker, TV with VCR, and en-suite head with vanity and shower stall. This 40' ACMY is equipped with twin Crusader 370-hp engines with very low hours. Mechanical features include Kohler generator, three-zone reverse cycle HAC, and Halon fire suppression. She is very clean, well equipped, carefully maintained, and ready to cruise. Call now for more information and to schedule a showing of this Carver 396 Motor Yacht. FLYBRIDGE.... Open Flybridge with Radar Arch Bimini Top with Full Enclosure Carpeted Deck Centerline Helm with Captain and Companion Seats Wraparound Guest Lounge Wet Bar with Ice Maker Drink Holders AFT DECK... Aft Deck with Hardtop Full Eisenglass Enclosure Carpeted Deck Blue Accent Lighting Deck Furniture Included Flat Screen TV Combo w/ DVD Wing Door Access to Side Decks Stairway to Swim Platform Sony Speakers ACOMMODATIONS Full Beam Salon Accented in Cherry Carpeted Deck Seven Feet of Headroom Long Wraparound Leather Sofa to Starboard w / Recliner Leather Love Seat to Port with Coffee Table w/ Recliner Entertainment Center with TV and Stereo Step-down Galley Port Side Guest Stateroom Forward with Offset Queen Berth Forward Guest / Day Head with Vanity and Shower Master Aft Cabin with Queen Berth and en suite Head Compartment Sunbrella Carpet Liner in Salon DECK & HULL... Stainless Steel Bow Rail Anchor with Roller Windlass Bow Fender Racks Extra Fenders Extra Wide Side Deck Walkways w/ Drains Swim Platform with Boarding Ladder Hot & Cold Freshwater Transom Shower Windshield Glare Cover Side Deck Entry Doors for easy Aft Deck Entry Deck Sun Pads ELECTRONICS & NAVIGATION Garmin 2010C GPS Horizon Intriped VHF Radio Standard Horizon Depth Finder Trim Tab Indicators Fire Boy Zintex Fire Suppression Three Carbon Monoxide Detectors Kenwood Stereo on Bridge Four Speakers Flat Screen TV with DVD on Aft Deck 22"" Panasonic TV in Salon Kenwood DVD Player Kenwood Sound System 15-disk CD Changer 13"" Stateroom TV MECANICAL & ELECTRICAL... Twin 370-hp Mecruiser 8.1L EFI Engines with only 352 hours Cruise 20 knots @ 3200 RPM Kohler 10-kW Generator Two Battery Chargers New 15-gallon Water Heater VacuFlush Heads Central Vacuum",352,5908400561,43.838613,40,-91.260939,Carver,"https://maps.google.com/maps/preview/@43.838613,-91.260939,16z",396,$127500,power, (LACROSSE),2002 CARVER 396,https://lacrosse.craigslist.org/boa/5908400561.html,
4,,,2016-12-20 09:27,"Rare projects up for grabs if anyone is interested in wrenching over the winter. Kawasaki JS550 stand up Race jetski project.  It is complete Minus Motor and Electronics Has many aftermarket parts that are worth good money Nice solid hull with Very cool professional paint job $299 Very rare American Jet Board aka Surfjet / jetsurf  jet surf .  The machine is complete but motor sat with some water in it Motor will need rebuild but all parts are there.  It is a 2 stroke so minimal difficulty $800. . .. . .if I cant get this out of it Ill hold onto it for a show piece or fix it up down the road sometime. 1993 kawasaki 750sx project Hull.   Its in pretty good shape,  Has footholds installed.  Includes the Hood and motor mounts and gas tank and driveshaft.  $300 1989 Kawasaki 650sx project.  Its complete but motor needs rebuild.  The compression is 150 psi and 60 psi.  $500 Shoot an email if you have any interest in these. jetmate jet mate thunderjet octane Polaris fx1 760  Yamaha seadoo skidoo sea doo xp hx Suzuki superjet 701 super jet waveblaster jet ski waverunner wave runner 750sx 650sx 550sx pjs sxr800 utv sxr 800 trailer 300sx 750 sxi",,5887234855,,2,,,,,$1,power,,Standup Jetski winter projects,https://lacrosse.craigslist.org/boa/5887234855.html,
5,,"['44.294500', '-93.281800']",2016-12-19 22:48,i have lots of parts boats let me know what u are looking for thanks,,5926406082,44.294500,1,-93.281800,,"https://maps.google.com/maps/preview/@44.294500,-93.281800,16z",,,power,,"mercruiser,volvo penta, omc stern drive stringer cobra parts also boat parts",https://lacrosse.craigslist.org/boa/5926406082.html,
6,like new,"['42.759400', '-91.119000']",2016-12-19 19:07,"Absolutely pristine 2006 C-Dory 16' Cruiser, everything in excellent to near perfect condition, has not been in the water since being totally (professionally) reconditioned/restored (this boat is like new), 50 Honda Four Stroke, low hours. Brand new, custom designed Sunbrella top (never exposed to elements at this point). Top was custom designed for extra headroom for taller guys, Stainless Steel tubular construction, special tube frame design for unobstructed fishing out each side, in dash depth finder, right side (Pilot side) electric wind shield wiper, left side manual wind shield wiper, pilot seat pedestal, electrical main switch, bilge pump, galvanized bunk type trailer with excellent tires, new bunks, has new spare tire, Bearing Buddies, easy to pull. Up to date/current Iowa registrations on boat and trailer. $19,650.00 OBO Delivery Available",,5926220346,42.759400,16,-91.119000,,"https://maps.google.com/maps/preview/@42.759400,-91.119000,16z",,,power,,C-Dory 16' Cruiser,https://lacrosse.craigslist.org/boa/5926220346.html,
7,,,2016-12-19 15:03,"2014 TMC Pontoon - 15' Fishing Model, comes with 2 MinnKota winches and CD/radio. Price includes 25hp Mercury motor and a trailer. Please contact Mike at show contact info for further information.",,5925915429,,15,,,,,$12000,power," (Cumberland, Wi)",2014 TMC Pontoon/Motor/Trailer - 15' Fishing Model,https://lacrosse.craigslist.org/boa/5925915429.html,
8,like new,,2016-12-19 15:00,"I am selling a 2013 sylvan mirage 820 with a 40hp yamaha four stroke. Boat is very clean and has been very well taken care of. Has infinity sound system, cover, hummingbird gps locator, built in fuel tank, ladder, and sun pad. With this cold weather warm thoughts are nice things to look forward too..call or text jared at 92039one8288 and scoop up this gem...",,5919228508,,20,,sylvan,,,$15995,power,,Clean 2013 Sylvan Mirage Cruise 820,https://lacrosse.craigslist.org/boa/5919228508.html,2013
9,excellent,"['44.049600', '-92.489600']",2016-12-19 12:54,"I've owned it since 2003 , Has a 6.2 litre v-8 mercruser motors, Bravo 3. Full camper incloser, Toilet. Sink. Added an extended swim platform. Great for kids jumping off the back to swim. Extended swim platform puts it close to 29ft. Up graded stereo and speakers. Trailer is twin axle. Been a GREAT BOAT.Call show contact info Jay",280,5889628471,44.049600,28,-92.489600,Rinker,"https://maps.google.com/maps/preview/@44.049600,-92.489600,16z",272 Sportcuddy,$22900,power," (rochester,mn)","2002 Rinker 272 Sport cuddy, With 03 Trailer",https://lacrosse.craigslist.org/boa/5889628471.html,2002
