,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['42.999300', '-88.219600']",2016-12-20 19:11,Scat 12 hovercraft rotex 503 all new bags,,5927585915,42.999300,12,-88.219600,,"https://maps.google.com/maps/preview/@42.999300,-88.219600,16z",,$5000,power,,hovercraft,https://milwaukee.craigslist.org/boa/5927585915.html,
1,,,2016-12-20 18:38,"Have a routinely inspected mooring in the McKinley basin - excellent location and a recent mooring ball. Available to rent for the 2017 season, or would be interested in trading even for mooring on the north side of the South Shore basin. Interested?",,5927552923,,35,,,,,$500,sail," (McKinley Basin, Milwaukee)",Mooring for rent (or trade),https://milwaukee.craigslist.org/boa/5927552923.html,
2,,"['43.756316', '-89.066591']",2016-12-20 18:34,"Century Resorter year 1960 17 ft. Has Interceptor motor 170 hp.  Great project boat. All original. Hull in good condition. Needs to be refinished and seating redone. Motor turns over and bottom is good!. Comes with double axle trailer.  If your looking for a project boat this is it!   Price is cash on pick up, no money order or bank checks. Must pick up in person!",339,5918351274,43.756316,17,-89.066591,Century,"https://maps.google.com/maps/preview/@43.756316,-89.066591,16z",Resorter,$4500,power," (Markesan,Wi)",Century Resorter,https://milwaukee.craigslist.org/boa/5918351274.html,1960
3,like new,"['43.757159', '-89.069080']",2016-12-20 18:31,"1971 Glastron V156. 15 ft tri hull had been in storage about 27 years. Boat is in like new condition including new boat shine. Great for skiing or fishing. Rated up to 85 hp. Hull transom, seats all in like new condition. You could own a classic for less than new boat price. Asking 1950.00for the boat only. Can add used boat trailer with brand new tires for 300.00 extra Can add Brand new trailer for 600.00 extra. Cash on pick up,sorry no checks or Paypal. Call show contact info",,5887365795,43.757159,15,-89.069080,Glastron,"https://maps.google.com/maps/preview/@43.757159,-89.069080,16z",V156,$1500,power," (Markesan,wi,)",vintage boat,https://milwaukee.craigslist.org/boa/5887365795.html,1971
4,,"['43.756217', '-89.066334']",2016-12-20 18:31,"Crestliner 14 ft boat. Beam 59 inches approx 19 inches deep. Very well made. Stable in th.e water and no leaks. Crestliner uses lots of ribs in it hull to made it solid.  Has built in oar locks and raised transom to help get in shallow bays Seat boards bad, they need replacing or not.. One man can handle.   Call show contact info cash on pick up no checks or paypal",,5890484753,43.756217,14,-89.066334,,"https://maps.google.com/maps/preview/@43.756217,-89.066334,16z",,$350,human, (Markesan),Duck hunting boat,https://milwaukee.craigslist.org/boa/5890484753.html,
5,like new,"['42.888291', '-88.330250']",2016-12-20 17:16,Used Hewitt Sectional dock/pier with new Cedar decking and 4' bench.,,5893832003,42.888291,20,-88.330250,,"https://maps.google.com/maps/preview/@42.888291,-88.330250,16z",,$1150,human,,"Hewitt Sectional Dock 20' with ""L""",https://milwaukee.craigslist.org/boa/5893832003.html,
6,good,"['43.176672', '-87.924914']",2016-12-20 16:53,"1985 Laguna 22-- $4000 --- -Fixed poured lead keel with 4' draft, very stable and seaworthy -Suzuki 6 horse outboard engine, runs very well, starts quicky and does not stall. steel 6 gallon gas tank -Hummingbird stern mount fish/depth finder -New hubble 110 v AC shore power inlet -New exterior grade circuit breaker -New CDI Flexfurl roller furler -popup cabin top with snap on canvas -New mast with airfoil spreaders, masthead and articulatign mastbase -New anchor/running lights -New Shakespear UHF antenna and in mast wiring -Two new burner stove with cobalt blue tiled top -Two Westmarine interior and two cockpit speakers -Deck access bow anchor locker with chain/rope rode and 27# Danforth -Shorelander carpeted bunk extendable trailer with new tires/ wiring/lights and trailer breaking and spare tire -New teak varnished grabrails and teak interior -portapotti under forepeak -New foam cushions with tan ribbed Sunbrella fabric -Rule 500 auto bilge with control switch -Folding stainless steel swim ladder -2 new inflatable blue bumpers Sails: -roller furling 150% genoa -Brand new North Sails 6oz heavy weight cuising main with 2 reef points",,5927436729,43.176672,22,-87.924914,Laguna,"https://maps.google.com/maps/preview/@43.176672,-87.924914,16z",L22,$4000,sail, (I-43 and Browndeer Rd.),1985 Laguna 22,https://milwaukee.craigslist.org/boa/5927436729.html,1985
7,,,2016-12-20 15:42,"For sale or trade 96 Glastron GS205 the boat is in good condition and has tons of new parts but does need a few small things, I bought the boat last year with a bad motor and swapped in a used 60k motor, come to find out the cam in this motor does not have the lob on it for the mechanical fuel pump, so it will need a cam and lifters, a new cam and set of lifters is 199. on summit and a few hours you'll be on the water! I can fire the motor on a electric pump so you can hear it run. New parts Cap and rotor Spark plugs Wires Coil Intake/exhaust gaskets Valve cover gaskets Oil pan gasket Rear main seal Timing cover gasket Starter Fuel pump and gaskets Oil and fuel filters I had the carb rebuilt, I also replaced the gimbal bearing, greased the u joints and changed the outdrive oil, the motor and outdrive were aligned, the interior is in good condition with only a one or two tears on the seats, the hull does have some dock rash on one side but most of it will buff out, it has a matching trailer with 2 new tires and all the lights work. Im only selling because i have too many other projects and picked up a new boat! $2000. takes it! its gotta go! Call or text for more info trade for cars,trucks,jetskis,motorcycle,atv,utv.camper,tools, or let me know what you have the worst i can say is no.",,5894757386,,20,,,,,$2000,power, (waterloo),1996 Glastron GS205 NEW PRICE,https://milwaukee.craigslist.org/boa/5894757386.html,
8,like new,"['43.387211', '-88.635807']",2016-12-20 13:12,"2012 Crownline 245 SS.  This boat is in amazing shape with only 68 hours on the engine.  Barely ever used.  Well maintained every year still and always stored inside.  This boat has a ton of storage, including ski storage.  Ample seating, snap in carpet, Stereo with controls off the rear swim deck.  Washdown station, Bathroom, and enough drink holders for everybody to have two!  Bimini top, snap on cover, and tandem axle trailer with Vault wheel bearings.  This is the perfect family boat, that can fly!  Contact Tanner for more info.",68,5912339427,43.387211,24,-88.635807,Crownline,"https://maps.google.com/maps/preview/@43.387211,-88.635807,16z",245SS,$58999,power, (Juneau),2012 Crownline 245 SS,https://milwaukee.craigslist.org/boa/5912339427.html,2012
9,,"['43.387335', '-88.635635']",2016-12-20 12:52,"1982 Suzuki 40 HP manual start 2-stroke short shaft.  Great runner!  Needs a 15"" transom.  Stored inside.",,5908217686,43.387335,0,-88.635635,,"https://maps.google.com/maps/preview/@43.387335,-88.635635,16z",,$800,power, (Juneau),Suzuki 40 HP Short Shaft,https://milwaukee.craigslist.org/boa/5908217686.html,1982
